# data from ifeffit
#------------------------
#   k         chi         chi       dchi         win
  0.0000000      -0.10463997E-01  -0.78100304E-01   0.11186396E-01    0.0000000
  0.50000000E-01  -0.11314950E-01  -0.77851010E-01   0.10829291E-01    0.0000000
  0.10000000      -0.12415425E-01  -0.77102090E-01   0.10472186E-01    0.0000000
  0.15000000      -0.13722324E-01  -0.75850407E-01   0.10115081E-01    0.0000000
  0.20000000      -0.15192547E-01  -0.74090694E-01   0.97579766E-02    0.0000000
  0.25000000      -0.16782996E-01  -0.71815722E-01   0.94008717E-02    0.0000000
  0.30000000      -0.18450570E-01  -0.69016820E-01   0.90437669E-02    0.0000000
  0.35000000      -0.20152171E-01  -0.65597085E-01   0.86866620E-02    0.0000000
  0.40000000      -0.21844700E-01  -0.60989117E-01   0.83295572E-02    0.0000000
  0.45000000      -0.23485058E-01  -0.55723673E-01   0.79724523E-02    0.0000000
  0.50000000      -0.25030145E-01  -0.49805487E-01   0.76153475E-02    0.0000000
  0.55000000      -0.26436863E-01  -0.42567247E-01   0.72582426E-02    0.0000000
  0.60000000      -0.27662112E-01  -0.34289328E-01   0.69011377E-02    0.0000000
  0.65000000      -0.28662794E-01  -0.25408237E-01   0.65440329E-02    0.0000000
  0.70000000      -0.29395808E-01  -0.15180757E-01   0.61869280E-02    0.0000000
  0.75000000      -0.29818056E-01  -0.43412470E-02   0.58298232E-02    0.0000000
  0.80000000      -0.29886440E-01   0.68069394E-02   0.54727183E-02    0.0000000
  0.85000000      -0.29557859E-01   0.18743459E-01   0.51156135E-02    0.0000000
  0.90000000      -0.28789214E-01   0.30177873E-01   0.47585086E-02    0.0000000
  0.95000000      -0.27537407E-01   0.41457166E-01   0.44014038E-02    0.0000000
  1.0000000      -0.25759338E-01   0.51755750E-01   0.40442989E-02    0.0000000
  1.0500000      -0.23411909E-01   0.60676920E-01   0.36871940E-02    0.0000000
  1.1000000      -0.20452020E-01   0.68071789E-01   0.33300892E-02    0.0000000
  1.1500000      -0.16836571E-01   0.73502735E-01   0.29729843E-02    0.0000000
  1.2000000      -0.12522465E-01   0.77313588E-01   0.26158795E-02    0.0000000
  1.2500000      -0.74713512E-02   0.79351663E-01   0.23644977E-02    0.0000000
  1.3000000      -0.18157944E-02   0.80023848E-01   0.22631733E-02    0.0000000
  1.3500000       0.40972687E-02   0.79695145E-01   0.21618488E-02    0.0000000
  1.4000000       0.99073179E-02   0.78741776E-01   0.20605244E-02    0.0000000
  1.4500000       0.15253833E-01   0.77434326E-01   0.19592000E-02    0.0000000
  1.5000000       0.19776294E-01   0.75782120E-01   0.18578756E-02    0.0000000
  1.5500000       0.23114181E-01   0.73508567E-01   0.17565511E-02    0.0000000
  1.6000000       0.24906973E-01   0.70228652E-01   0.16552267E-02    0.0000000
