 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000    12.000     2   2.5527
      2    22.944     6.000     2   3.6100
      3     9.375    48.000     3   3.8290
      4     6.725    48.000     3   4.3577
      5    55.473    24.000     2   4.4213
      6    10.641    48.000     3   4.7633
      7    16.263    96.000     3   4.7633
      8    18.934    12.000     2   5.1053
      9     8.223    12.000     3   5.1053
     10    43.982    24.000     3   5.1053
     11     9.054    12.000     4   5.1053
     12     3.667    12.000     4   5.1053
     13     1.826    48.000     4   5.1053 neglected
     14    36.866    12.000     4   5.1053
     15     2.325    48.000     4   5.1053 neglected
     16    27.781    24.000     2   5.7079
     17     8.546    48.000     3   5.9353
     18     5.485    48.000     3   5.9353
     19     5.916    48.000     3   5.9353
   17 paths kept,   19 examined.
 Done with module 5: F_eff.
