# name:     copper                                               Feff 8.20   
# formula:  Cu
# sites:    Cu1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, fcc
# POT  SCF  20  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.411 Rnm= 1.456 K  shell
# Pot 1 Z=29 Rmt= 1.358 Rnm= 1.395
# Gam_ch=1.729E+00 H-L exch
# Mu=-7.652E+00 kf=1.985E+00 Vint=-1.668E+01 Rs_int= 1.827
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950  Temp= 293.00  Debye_temp= 340.00  Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00764    100.00     12.00     2   2.5527
#           2       0.00944     22.94      6.00     2   3.6100
#           3       0.00860      9.37     48.00     3   3.8290
#           4       0.00952      6.73     48.00     3   4.3577
#           5       0.00972     55.47     24.00     2   4.4213
#           6       0.00976     10.64     48.00     3   4.7633
#           7       0.00976     16.26     96.00     3   4.7633
#           8       0.00985     18.93     12.00     2   5.1053
#           9       0.00985      8.22     12.00     3   5.1053
#          10       0.00985     43.98     24.00     3   5.1053
#          11       0.00985      9.05     12.00     4   5.1053
#          14       0.00985     36.87     12.00     4   5.1053
#          16       0.01007     27.78     24.00     2   5.7079
#          17       0.01021      8.55     48.00     3   5.9353
#          18       0.01021      5.48     48.00     3   5.9353
#          19       0.01021      5.92     48.00     3   5.9353
#    16/  17 paths used
#  xsedge+50, used to normalize mu           2.4907E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8976.549    -16.224  -1.500  1.99047E-02  2.87262E-02  1.20814E+00
    8977.111    -15.662  -1.450  1.78420E-02  3.07275E-02  1.07765E+00
    8977.654    -15.120  -1.400  1.57793E-02  3.27288E-02  8.56260E-01
    8978.178    -14.596  -1.350  1.07371E-02  3.53790E-02  8.10620E-01
    8978.682    -14.091  -1.300  5.69488E-03  3.80293E-02  7.51279E-01
    8979.168    -13.605  -1.250  7.47660E-04  4.08714E-02  7.06309E-01
    8979.635    -13.138  -1.200 -3.81961E-03  4.44815E-02  7.51211E-01
    8980.083    -12.691  -1.150 -8.38688E-03  4.80915E-02  7.99237E-01
    8980.511    -12.262  -1.100 -1.20470E-02  5.22909E-02  8.40840E-01
    8980.921    -11.853  -1.050 -1.43466E-02  5.73745E-02  7.67790E-01
    8981.311    -11.462  -1.000 -1.66461E-02  6.24581E-02  5.58565E-01
    8981.683    -11.091  -0.950 -1.67753E-02  6.89516E-02  1.93922E-01
    8982.035    -10.738  -0.900 -1.54577E-02  7.63851E-02 -1.43143E-01
    8982.369    -10.405  -0.850 -1.41400E-02  8.38185E-02 -3.79360E-01
    8982.683    -10.090  -0.800 -8.68757E-03  9.43293E-02 -4.15792E-01
    8982.978     -9.795  -0.750 -2.20149E-03  1.05609E-01 -3.92366E-01
    8983.254     -9.519  -0.700  4.28463E-03  1.16889E-01 -3.44193E-01
    8983.512     -9.262  -0.650  1.80818E-02  1.34292E-01 -3.18204E-01
    8983.750     -9.024  -0.600  3.18789E-02  1.51695E-01 -2.89682E-01
    8983.969     -8.805  -0.550  4.74487E-02  1.70668E-01 -2.62746E-01
    8984.169     -8.605  -0.500  7.01088E-02  1.95920E-01 -2.47882E-01
