 Ferrocene PUBLISHED DATA                                         Feff 8.10
 Abs   Z=26 Rmt= 1.254 Rnm= 1.300 K  shell
 Pot 1 Z= 6 Rmt= 0.847 Rnm= 1.043
 Pot 2 Z= 1 Rmt= 0.763 Rnm= 0.924
 Gam_ch=1.309E+00 H-L exch
 Mu= 5.790E+00 kf=2.396E+00 Vint=-1.608E+01 Rs_int= 1.514
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000    10.000     2   2.0681
        2     0.00000    33.068    20.000     3   2.7821
        3     0.00000     8.390    10.000     2   2.8339
        4     0.00000    12.372    20.000     3   2.9922
        5     0.00000     4.496    10.000     4   3.1505
        6     0.00000    11.878    20.000     3   3.2234
        7     0.00000    12.245    20.000     4   3.4962
        8     0.00000     6.182    40.000     4   3.7063
        9     0.00000    12.060    20.000     3   3.7833
       10     0.00000     5.882    40.000     5   3.8646
       11     0.00000    12.703    40.000     4   3.9375
       12     0.00000    23.007    20.000     3   4.0089
       13     0.00000    15.516    10.000     3   4.1361
       14     0.00000    10.533    10.000     4   4.1361
       15     0.00000     3.651    20.000     4   4.1361
       16     0.00000     4.995    10.000     4   4.1361
       18     0.00000     7.043    20.000     4   4.1361
       19     0.00000     4.356    20.000     4   4.1361
       21     0.00000     4.292    40.000     5   4.2103
       22     0.00000     7.507    20.000     5   4.2103
       23     0.00000     4.375    40.000     4   4.2863
       24     0.00000     5.896    40.000     5   4.3059
       25     0.00000     7.897    20.000     4   4.3788
       26     0.00000     4.847    20.000     4   4.3788
       27     0.00000     3.557    40.000     5   4.4204
       28     0.00000     3.281    40.000     5   4.4446
       29     0.00000     8.567    40.000     4   4.4973
       30     0.00000     2.804    40.000     6   4.5787
       31     0.00000     6.531    40.000     5   4.6516
       32     0.00000     4.105    40.000     3   4.6639
       33     0.00000     4.680    40.000     4   4.8222
       34     0.00000    10.178    40.000     4   4.8502
       35     0.00000     3.025    20.000     3   4.8720
       36     0.00000     4.652    20.000     6   4.9243
