 Ferrocene PUBLISHED DATA                                         Feff 8.10
 Abs   Z=26 Rmt= 1.254 Rnm= 1.300 K  shell
 Pot 1 Z= 6 Rmt= 0.847 Rnm= 1.043
 Pot 2 Z= 1 Rmt= 0.763 Rnm= 0.924
 Gam_ch=1.309E+00 H-L exch
 Mu= 5.790E+00 kf=2.396E+00 Vint=-1.608E+01 Rs_int= 1.514
 S02  1.000                                        Global sig2  0.00100
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
          1       0.00100    100.00     10.00     2   2.0681
          2       0.00100     33.07     20.00     3   2.7821
          3       0.00100      8.39     10.00     2   2.8339
          4       0.00100     12.37     20.00     3   2.9922
          5       0.00100      4.50     10.00     4   3.1505
          6       0.00100     11.88     20.00     3   3.2234
          7       0.00100     12.25     20.00     4   3.4962
          8       0.00100      6.18     40.00     4   3.7063
          9       0.00100     12.06     20.00     3   3.7833
         10       0.00100      5.88     40.00     5   3.8646
         11       0.00100     12.70     40.00     4   3.9375
         12       0.00100     23.01     20.00     3   4.0089
         13       0.00100     15.52     10.00     3   4.1361
         14       0.00100     10.53     10.00     4   4.1361
         16       0.00100      4.99     10.00     4   4.1361
         18       0.00100      7.04     20.00     4   4.1361
         19       0.00100      4.36     20.00     4   4.1361
         21       0.00100      4.29     40.00     5   4.2103
         22       0.00100      7.51     20.00     5   4.2103
         23       0.00100      4.37     40.00     4   4.2863
         24       0.00100      5.90     40.00     5   4.3059
         25       0.00100      7.90     20.00     4   4.3788
         26       0.00100      4.85     20.00     4   4.3788
         29       0.00100      8.57     40.00     4   4.4973
         31       0.00100      6.53     40.00     5   4.6516
         32       0.00100      4.10     40.00     3   4.6639
         33       0.00100      4.68     40.00     4   4.8222
         34       0.00100     10.18     40.00     4   4.8502
         36       0.00100      4.65     20.00     6   4.9243
   29/  34 paths used
 xsedge+50, used to normalize mu           3.1336E-04
 -----------------------------------------------------------------------
  e, e(wrt edge), k, mu=(1+chi)*mu0, mu0, chi @#
    7115.666      5.790   0.000  3.93672E-01  5.18114E-01 -1.19554E-01
    7115.675      5.799   0.050  4.09704E-01  5.27717E-01 -1.13378E-01
    7115.704      5.828   0.100  4.25745E-01  5.37319E-01 -1.07194E-01
    7115.751      5.875   0.150  4.73212E-01  5.65489E-01 -8.86575E-02
    7115.818      5.942   0.200  5.20742E-01  5.93658E-01 -7.00582E-02
    7115.904      6.028   0.250  5.94920E-01  6.35561E-01 -3.90515E-02
    7116.009      6.133   0.300  6.69216E-01  6.77464E-01 -7.92627E-03
    7116.132      6.256   0.350  7.58582E-01  7.21586E-01  3.55566E-02
    7116.275      6.399   0.400  8.48011E-01  7.65708E-01  7.91134E-02
