 #------------------------
 #  k         chi       		dchi
  0.0000000       -1.2329169          0.27280517E-01
  0.50000000E-01   -1.2085584         0.28132898E-01
  0.10000000       -1.1841998         0.27541137E-01
  0.15000000       -1.1598413         0.27060424E-01
  0.20000000       -1.1354827         0.27117630E-01
  0.25000000       -1.1111242         0.27245932E-01
  0.30000000       -1.0867656         0.27149163E-01
  0.35000000       -1.0624071         0.26884656E-01
  0.40000000       -1.0344286         0.26523588E-01
  0.45000000       -1.0050067         0.27041081E-01
  0.50000000      -0.97373874         0.26488582E-01
  0.55000000      -0.94115830         0.26876095E-01
  0.60000000      -0.90897431         0.26471086E-01
  0.65000000      -0.87770846         0.26441226E-01
  0.70000000      -0.84804310         0.26242393E-01
  0.75000000      -0.82039222         0.26325060E-01
  0.80000000      -0.79438085         0.26543309E-01
  0.85000000      -0.76877206         0.26098532E-01
  0.90000000      -0.73902708         0.25428501E-01
  0.95000000      -0.71233383         0.25360954E-01
  1.0000000      -0.67329435         0.24832585E-01
  1.0500000      -0.63874290         0.24755780E-01
  1.1000000      -0.59148790         0.25000923E-01
  1.1500000      -0.52922471         0.24781598E-01
  1.2000000      -0.47958679         0.25386396E-01
  1.2500000      -0.42849871         0.24545888E-01
  1.3000000      -0.35927800         0.25058655E-01
  1.3500000      -0.29216028         0.25030671E-01
  1.4000000      -0.21356628         0.24661851E-01
  1.4500000      -0.14130121         0.24748792E-01
  1.5000000      -0.85410844E-01     0.25076592E-01
  1.5500000      -0.33263452E-01     0.25252609E-01
  1.6000000       0.30779024E-01     0.24948510E-01
  1.6500000       0.94131931E-01     0.24930965E-01
  1.7000000       0.15926608         0.24225479E-01
  1.7500000       0.23328463         0.24276777E-01
  1.8000000       0.29151119         0.25034679E-01
  1.8500000       0.34096454         0.24070842E-01
  1.9000000       0.38590572         0.24630577E-01
  1.9500000       0.40899055         0.24561483E-01
  2.0000000       0.40768432         0.24407489E-01
  2.0500000       0.38118888         0.24448499E-01
  2.1000000       0.32911236         0.24276014E-01
  2.1500000       0.26668383         0.24253561E-01
  2.2000000       0.21252026         0.24511360E-01
  2.2500000       0.15506793         0.24775499E-01
  2.3000000       0.10544030         0.23997443E-01
  2.3500000       0.68817703E-01     0.23902885E-01
  2.4000000       0.42408316E-01     0.24566071E-01
  2.4500000       0.24420365E-01     0.24281902E-01
  2.5000000       0.95399985E-02     0.24044681E-01
  2.5500000      -0.25750823E-02     0.24172612E-01
  2.6000000      -0.10633527E-01     0.24042202E-01
  2.6500000      -0.19321649E-01     0.23806786E-01
  2.7000000      -0.28594061E-01     0.23967600E-01
  2.7500000      -0.36267708E-01     0.23715746E-01
  2.8000000      -0.46423611E-01     0.23801489E-01
  2.8500000      -0.56682570E-01     0.23609353E-01
  2.9000000      -0.67022972E-01     0.23524090E-01
  2.9500000      -0.75890695E-01     0.23942424E-01
  3.0000000      -0.82580240E-01     0.22944834E-01
  3.0500000      -0.90103794E-01     0.23857538E-01
  3.1000000      -0.95823936E-01     0.23405479E-01
  3.1500000      -0.10019638         0.23472184E-01
  3.2000000      -0.10333041         0.23282216E-01
  3.2500000      -0.10473233         0.24242018E-01
  3.3000000      -0.10358878         0.23582762E-01
  3.3500000      -0.10106684         0.23693027E-01
  3.4000000      -0.96642298E-01     0.22919309E-01
  3.4500000      -0.89511536E-01     0.23265255E-01
  3.5000000      -0.80848076E-01     0.23431199E-01
  3.5500000      -0.73610097E-01     0.23488225E-01
  3.6000000      -0.64124016E-01     0.23111459E-01
  3.6500000      -0.53052626E-01     0.23202119E-01
  3.7000000      -0.44796293E-01     0.22700022E-01
  3.7500000      -0.31073597E-01     0.22821729E-01
  3.8000000      -0.21382723E-01     0.23006441E-01
  3.8500000      -0.62766726E-02     0.22249196E-01
  3.9000000       0.52654482E-02     0.22587295E-01
  3.9500000       0.16964376E-01     0.22392636E-01
  4.0000000       0.25965686E-01     0.22833320E-01
  4.0500000       0.36161831E-01     0.22453221E-01
  4.1000000       0.45080082E-01     0.22315085E-01
  4.1500000       0.51788920E-01     0.22621917E-01
  4.2000000       0.57604332E-01     0.22312871E-01
  4.2500000       0.62984433E-01     0.22320956E-01
  4.3000000       0.67715765E-01     0.22172216E-01
  4.3500000       0.70728218E-01     0.21961179E-01
  4.4000000       0.71958362E-01     0.21757344E-01
  4.4500000       0.72055431E-01     0.21596067E-01
