# data from ifeffit
#------------------------
#   k         chi         e0
  0.0000000      -0.14956736        7133.3100
  0.50000000E-01  -0.16772651        7133.3100
  0.10000000      -0.18588565        7133.3100
  0.15000000      -0.20404480        7133.3100
  0.20000000      -0.22220395        7133.3100
  0.25000000      -0.24036310        7133.3100
  0.30000000      -0.23436301        7133.3100
  0.35000000      -0.22136405        7133.3100
  0.40000000      -0.20664846        7133.3100
  0.45000000      -0.19140368        7133.3100
  0.50000000      -0.17635663        7133.3100
  0.55000000      -0.16227942        7133.3100
  0.60000000      -0.15099813        7133.3100
  0.65000000      -0.14154683        7133.3100
  0.70000000      -0.13640806        7133.3100
  0.75000000      -0.13430781        7133.3100
  0.80000000      -0.13553929        7133.3100
  0.85000000      -0.13931420        7133.3100
  0.90000000      -0.14100171        7133.3100
  0.95000000      -0.14122068        7133.3100
  1.0000000      -0.13611781        7133.3100
  1.0500000      -0.12734487        7133.3100
  1.1000000      -0.10948661        7133.3100
  1.1500000      -0.80079090E-01    7133.3100
  1.2000000      -0.53366800E-01    7133.3100
  1.2500000      -0.24414439E-01    7133.3100
  1.3000000       0.16498297E-01    7133.3100
  1.3500000       0.57293499E-01    7133.3100
  1.4000000       0.10436764        7133.3100
  1.4500000       0.14642146        7133.3100
  1.5000000       0.17991392        7133.3100
  1.5500000       0.20989193        7133.3100
  1.6000000       0.25000257        7133.3100
  1.6500000       0.28989340        7133.3100
  1.7000000       0.33503644        7133.3100
  1.7500000       0.38678304        7133.3100
  1.8000000       0.42835551        7133.3100
  1.8500000       0.46271485        7133.3100
  1.9000000       0.48904098        7133.3100
  1.9500000       0.49418799        7133.3100
  2.0000000       0.47406296        7133.3100
  2.0500000       0.42789651        7133.3100
  2.1000000       0.35280115        7133.3100
  2.1500000       0.26795015        7133.3100
  2.2000000       0.19702214        7133.3100
  2.2500000       0.12329800        7133.3100
  2.3000000       0.59010204E-01    7133.3100
  2.3500000       0.11207056E-01    7133.3100
  2.4000000      -0.23983602E-01    7133.3100
  2.4500000      -0.48747588E-01    7133.3100
  2.5000000      -0.69206708E-01    7133.3100
  2.5500000      -0.87129515E-01    7133.3100
  2.6000000      -0.98810578E-01    7133.3100
  2.6500000      -0.11123064        7133.3100
  2.7000000      -0.12400289        7133.3100
  2.7500000      -0.13448160        7133.3100
  2.8000000      -0.14737905        7133.3100
  2.8500000      -0.15983276        7133.3100
  2.9000000      -0.17214102        7133.3100
  2.9500000      -0.18260745        7133.3100
  3.0000000      -0.18940045        7133.3100
  3.0500000      -0.19782818        7133.3100
  3.1000000      -0.20294464        7133.3100
  3.1500000      -0.20728708        7133.3100
  3.2000000      -0.20848995        7133.3100
  3.2500000      -0.20789936        7133.3100
  3.3000000      -0.20419751        7133.3100
  3.3500000      -0.19976880        7133.3100
  3.4000000      -0.19168756        7133.3100
  3.4500000      -0.18049442        7133.3100
  3.5000000      -0.16612961        7133.3100
  3.5500000      -0.15551453        7133.3100
  3.6000000      -0.14102974        7133.3100
  3.6500000      -0.12382084        7133.3100
  3.7000000      -0.11190728        7133.3100
  3.7500000      -0.91058665E-01    7133.3100
  3.8000000      -0.77472670E-01    7133.3100
  3.8500000      -0.55351443E-01    7133.3100
  3.9000000      -0.38636652E-01    7133.3100
  3.9500000      -0.21124063E-01    7133.3100
  4.0000000      -0.90688850E-02    7133.3100
  4.0500000       0.74213750E-02    7133.3100
  4.1000000       0.20510665E-01    7133.3100
  4.1500000       0.31914119E-01    7133.3100
  4.2000000       0.40781374E-01    7133.3100
  4.2500000       0.50324249E-01    7133.3100
  4.3000000       0.59348544E-01    7133.3100
  4.3500000       0.65994151E-01    7133.3100
  4.4000000       0.69907155E-01    7133.3100
  4.4500000       0.73053607E-01    7133.3100
  4.5000000       0.74443086E-01    7133.3100
  4.5500000       0.72714016E-01    7133.3100
  4.6000000       0.71813002E-01    7133.3100
  4.6500000       0.67544448E-01    7133.3100
  4.7000000       0.61380131E-01    7133.3100
  4.7500000       0.55923244E-01    7133.3100
  4.8000000       0.48379305E-01    7133.3100
  4.8500000       0.40178897E-01    7133.3100
  4.9000000       0.31495189E-01    7133.3100
  4.9500000       0.21472836E-01    7133.3100
  5.0000000       0.12841784E-01    7133.3100
  5.0500000       0.72131777E-02    7133.3100
  5.1000000      -0.87477776E-03    7133.3100
  5.1500000      -0.81563548E-02    7133.3100
  5.2000000      -0.14173457E-01    7133.3100
  5.2500000      -0.18803963E-01    7133.3100
  5.3000000      -0.23136573E-01    7133.3100
  5.3500000      -0.24646543E-01    7133.3100
  5.4000000      -0.25743531E-01    7133.3100
  5.4500000      -0.26229741E-01    7133.3100
  5.5000000      -0.23699793E-01    7133.3100
  5.5500000      -0.20940491E-01    7133.3100
  5.6000000      -0.17666944E-01    7133.3100
  5.6500000      -0.13085075E-01    7133.3100
  5.7000000      -0.74612860E-02    7133.3100
  5.7500000      -0.17131473E-02    7133.3100
  5.8000000       0.44362190E-02    7133.3100
  5.8500000       0.12208372E-01    7133.3100
  5.9000000       0.18993646E-01    7133.3100
  5.9500000       0.25781453E-01    7133.3100
  6.0000000       0.32193528E-01    7133.3100
  6.0500000       0.39553528E-01    7133.3100
  6.1000000       0.45251646E-01    7133.3100
  6.1500000       0.51367623E-01    7133.3100
  6.2000000       0.57563308E-01    7133.3100
  6.2500000       0.64797757E-01    7133.3100
  6.3000000       0.68422157E-01    7133.3100
  6.3500000       0.67005004E-01    7133.3100
  6.4000000       0.67247921E-01    7133.3100
  6.4500000       0.66845476E-01    7133.3100
  6.5000000       0.66595269E-01    7133.3100
  6.5500000       0.61405508E-01    7133.3100
  6.6000000       0.57907873E-01    7133.3100
  6.6500000       0.53670687E-01    7133.3100
  6.7000000       0.47466608E-01    7133.3100
  6.7500000       0.41241749E-01    7133.3100
  6.8000000       0.33493254E-01    7133.3100
  6.8500000       0.27780771E-01    7133.3100
  6.9000000       0.21741190E-01    7133.3100
  6.9500000       0.16294439E-01    7133.3100
  7.0000000       0.10130229E-01    7133.3100
  7.0500000       0.39830308E-02    7133.3100
  7.1000000       0.63271220E-03    7133.3100
  7.1500000      -0.25577993E-02    7133.3100
  7.2000000      -0.67528090E-02    7133.3100
  7.2500000      -0.85455079E-02    7133.3100
  7.3000000      -0.11273189E-01    7133.3100
  7.3500000      -0.12514193E-01    7133.3100
  7.4000000      -0.13317179E-01    7133.3100
  7.4500000      -0.14653889E-01    7133.3100
  7.5000000      -0.15413313E-01    7133.3100
  7.5500000      -0.14941281E-01    7133.3100
  7.6000000      -0.13242884E-01    7133.3100
  7.6500000      -0.13472136E-01    7133.3100
  7.7000000      -0.12262940E-01    7133.3100
  7.7500000      -0.11108311E-01    7133.3100
  7.8000000      -0.94540049E-02    7133.3100
  7.8500000      -0.79188453E-02    7133.3100
  7.9000000      -0.63322569E-02    7133.3100
  7.9500000      -0.37920813E-02    7133.3100
  8.0000000      -0.34246171E-02    7133.3100
  8.0500000      -0.24905274E-02    7133.3100
  8.1000000      -0.15899948E-02    7133.3100
  8.1500000      -0.35827682E-03    7133.3100
  8.2000000      -0.61588289E-03    7133.3100
  8.2500000      -0.12026078E-02    7133.3100
  8.3000000      -0.21773015E-03    7133.3100
  8.3500000      -0.25029163E-02    7133.3100
  8.4000000      -0.33734690E-02    7133.3100
  8.4500000      -0.34153443E-02    7133.3100
  8.5000000      -0.47192025E-02    7133.3100
  8.5500000      -0.65880574E-02    7133.3100
  8.6000000      -0.85588623E-02    7133.3100
