# Athena data file -- Athena version 0.8.056
# Saving 15mM_fc_trans_nov12.txt as chi(k)
# .  Element=Fe   Edge=K
# Background parameters
# .  E0=7110.770  Eshift=0.000  Rbkg=0.900
#------------------------
#   k         chi       dchi
  0.0000000       0.30594824E-01    0.0136670000000000
  0.50000000E-01   0.22702161E-01   0.0124806207726080
  0.10000000       0.14809498E-01   0.0112942415452161
  0.15000000       0.69168346E-02   0.0101078623178241
  0.20000000      -0.97582849E-03   0.0089214830904322
  0.25000000      -0.88684916E-02   0.0077351038630402
  0.30000000      -0.16761155E-01   0.0065487246356482
  0.35000000      -0.24653818E-01   0.0053623454082563
  0.40000000      -0.32546481E-01   0.0041759661808643
  0.45000000      -0.35489145E-01   0.0032455142632806
  0.50000000      -0.23221362E-01   0.0031014050189806
  0.55000000      -0.10953579E-01   0.0029572957746806
  0.60000000       0.13142040E-02   0.0028131865303806
  0.65000000       0.91856202E-02   0.0024648918808043
  0.70000000       0.60078574E-02   0.0016034969759492
  0.75000000       0.28300946E-02   0.0007421020710941
  0.80000000       0.10009945E-02   0.0003000508171424
  0.85000000       0.12527419E-02   0.0005049175728264
  0.90000000       0.15044894E-02   0.0007097843285104
  0.95000000       0.91040583E-02   0.0019270543958528
  1.0000000       0.23188398E-01    0.0032923672084614
  1.0500000       0.44058142E-01    0.0027137676465169
  1.1000000       0.70913192E-01    0.0015385432438665
  1.1500000       0.10364151        0.0011305445614098
  1.2000000       0.13828352        0.0009663982354752
  1.2500000       0.17159393        0.0018229683080804
  1.3000000       0.21320324        0.0017823311542293
  1.3500000       0.26061765        0.0006262149753172
  1.4000000       0.29292530        0.0003359035542839
  1.4500000       0.32531414        0.0002201542249491
  1.5000000       0.36936406        0.0000462884015998
  1.5500000       0.41758841        0.0007088962842977
  1.6000000       0.46725417        0.0016550988121849
  1.6500000       0.51079691        0.0022178984813888
  1.7000000       0.54300847        0.0006695201618415
  1.7500000       0.59917260        0.0016025877636547
  1.8000000       0.64226956        0.0012170109200738
  1.8500000       0.66108050        0.0009669667634658
  1.9000000       0.65849767        0.0023605312124099
  1.9500000       0.63589763        0.0027493274191690
  2.0000000       0.60316714        0.0010317978899587
  2.0500000       0.54595482        0.0010589577242389
  2.1000000       0.46540057        0.0029098897033857
  2.1500000       0.38900232        0.0004048443667884
  2.2000000       0.30211011        0.0010789982911786
  2.2500000       0.27125623        0.0013739549875828
  2.3000000       0.23224254        0.0025381891784442
  2.3500000       0.18736099        0.0031800365407735
  2.4000000       0.15618523        0.0016069477149433
