#------------------------
#   k         chi       dchi
  0.0000000      -0.81532572          0.0136670000000000
  0.50000000E-01  -0.83469642         0.0124806207726080
  0.10000000      -0.85406712         0.0112942415452161
  0.15000000      -0.87343782         0.0101078623178241
  0.20000000      -0.89280853         0.0089214830904322
  0.25000000      -0.91217923         0.0077351038630402
  0.30000000      -0.93154993         0.0065487246356482
  0.35000000      -0.95092064         0.0053623454082563
  0.40000000      -0.97029134         0.0041759661808643
  0.45000000      -0.97744011         0.0032455142632806
  0.50000000      -0.94703309         0.0031014050189806
  0.55000000      -0.91662608         0.0029572957746806
  0.60000000      -0.88621906         0.0028131865303806
  0.65000000      -0.85897781         0.0024648918808043
  0.70000000      -0.83969294         0.0016034969759492
  0.75000000      -0.82040806         0.0007421020710941
  0.80000000      -0.79874845         0.0003000508171424
  0.85000000      -0.77342489         0.0005049175728264
  0.90000000      -0.74810132         0.0007097843285104
  0.95000000      -0.71433329         0.0019270543958528
  1.0000000      -0.67338466          0.0032923672084614
  1.0500000      -0.62518772          0.0027137676465169
  1.1000000      -0.57066232          0.0015385432438665
  1.1500000      -0.51003997          0.0011305445614098
  1.2000000      -0.44740151          0.0009663982354752
  1.2500000      -0.38611309          0.0018229683080804
  1.3000000      -0.31666263          0.0017823311542293
  1.3500000      -0.24166212          0.0006262149753172
  1.4000000      -0.18214219          0.0003359035542839
  1.4500000      -0.12302484          0.0002201542249491
  1.5000000      -0.52838144E-01      0.0000462884015998
  1.5500000       0.20826315E-01      0.0007088962842977
  1.6000000       0.95137426E-01      0.0016550988121849
  1.6500000       0.16243897          0.0022178984813888
  1.7000000       0.21743762          0.0006695201618415
  1.7500000       0.29534541          0.0016025877636547
  1.8000000       0.35907371          0.0012170109200738
  1.8500000       0.39734713          0.0009669667634658
  1.9000000       0.41301469          0.0023605312124099
  1.9500000       0.40742272          0.0027493274191690
  2.0000000       0.39044247          0.0010317978899587
  2.0500000       0.34771950          0.0010589577242389
  2.1000000       0.28040865          0.0029098897033857
  2.1500000       0.21604330          0.0004048443667884
  2.2000000       0.14002323          0.0010789982911786
  2.2500000       0.11895931          0.0013739549875828
  2.3000000       0.86956745E-01      0.0025381891784442
  2.3500000       0.51770199E-01      0.0031800365407735
  2.4000000       0.27139036E-01      0.0016069477149433
  2.4500000       0.10714397E-01      0.0006799915673853
  2.5000000       0.76357682E-02      0.0011816233252898
  2.5500000      -0.15211047E-01      0.0013649178383316
  2.6000000      -0.25548576E-01      0.0012281220771704
  2.6500000      -0.26090919E-01      0.0004637015306400
  2.7000000      -0.41638530E-01      0.0027436111956876
  2.7500000      -0.41794990E-01      0.0024867305304167
  2.8000000      -0.58175169E-01      0.0027417233952527
  2.8500000      -0.65606198E-01      0.0014326233426061
  2.9000000      -0.79603761E-01      0.0017015416771420
  2.9500000      -0.97792033E-01      0.0016005073573497
  3.0000000      -0.10198576          0.0022831934186205
  3.0500000      -0.10820206          0.0039479738597096
  3.1000000      -0.11974037          0.0055924063671250
  3.1500000      -0.11191252          0.0011073467784643
  3.2000000      -0.11354740          0.0028433560638969
  3.2500000      -0.11430847          0.0028059809220438
  3.3000000      -0.10992844          0.0019690488609913
  3.3500000      -0.10012177          0.0022694342945045
  3.4000000      -0.85616912E-01      0.0015010067374949
  3.4500000      -0.81479700E-01      0.0017992959353031
  3.5000000      -0.69123020E-01      0.0004987592235079
  3.5500000      -0.55667281E-01      0.0010278813239255
  3.6000000      -0.43562366E-01      0.0013013305957915
  3.6500000      -0.28545886E-01      0.0013988575544480
  3.7000000      -0.18739298E-01      0.0013068317620473
  3.7500000      -0.12492348E-01      0.0011598073243175
  3.8000000       0.26323992E-02      0.0013823333955985
  3.8500000       0.15457874E-01      0.0015769099005136
  3.9000000       0.24860293E-01      0.0015997175577242
  3.9500000       0.33139908E-01      0.0012604059101816
  4.0000000       0.45942819E-01      0.0017981162106143
  4.0500000       0.48872520E-01      0.0017132647670696
  4.1000000       0.53198793E-01      0.0014942983093785
  4.1500000       0.67797397E-01      0.0017968747939021
  4.2000000       0.66814132E-01      0.0010457847283521
  4.2500000       0.71425311E-01      0.0024764577706035
  4.3000000       0.70770543E-01      0.0019307832101889
  4.3500000       0.68307464E-01      0.0010455186124043
  4.4000000       0.64648588E-01      0.0009631140389481
  4.4500000       0.54504044E-01      0.0000401975216808
  4.5000000       0.64778799E-01      0.0003633387929773
  4.5500000       0.54922104E-01      0.0020344401806750
  4.6000000       0.42413444E-01      0.0014490256224252
  4.6500000       0.42071147E-01      0.0003330424547729
  4.7000000       0.40667903E-01      0.0003806870801229
  4.7500000       0.22934325E-01      0.0006108372828675
  4.8000000       0.11554361E-01      0.0016809491273429
  4.8500000       0.11809083E-01      0.0029226311551155
  4.9000000      -0.12228737E-01      0.0029513372320751
  4.9500000      -0.44686011E-03      0.0001264352216929
  5.0000000      -0.16375409E-01      0.0004911109270795
  5.0500000      -0.24449050E-01      0.0012867759258404
  5.1000000      -0.27443592E-01      0.0021246502405532
  5.1500000      -0.37174645E-01      0.0016243700262879
  5.2000000      -0.47948860E-01      0.0006463053742321
  5.2500000      -0.47687677E-01      0.0003943814143086
  5.3000000      -0.41304151E-01      0.0005360678927856
  5.3500000      -0.43088521E-01      0.0012375295450083
  5.4000000      -0.49127211E-01      0.0022464525701037
  5.4500000      -0.45918776E-01      0.0015149326935016
  5.5000000      -0.39305015E-01      0.0002962427770307
  5.5500000      -0.40881921E-01      0.0010643450064403
  5.6000000      -0.42618885E-01      0.0020390908155576
  5.6500000      -0.34829710E-01      0.0014621296349477
  5.7000000      -0.24918349E-01      0.0009300864629391
  5.7500000      -0.18025561E-01      0.0013698281697881
  5.8000000      -0.96796641E-02      0.0015678133047166
  5.8500000       0.16266728E-02      0.0009577813660498
  5.9000000       0.92606127E-02      0.0009698233710358
  5.9500000       0.12249718E-01      0.0016938895512415
  6.0000000       0.14712414E-01      0.0029603466206625
  6.0500000       0.17755127E-01      0.0044522737811748
  6.1000000       0.23051999E-01      0.0030982874097124
  6.1500000       0.27975508E-01      0.0020176349862341
  6.2000000       0.30716314E-01      0.0024993561198544
  6.2500000       0.31377317E-01      0.0023492957616279
  6.3000000       0.30316932E-01      0.0013843657415414
  6.3500000       0.30497698E-01      0.0011103612977946
  6.4000000       0.31119090E-01      0.0009832356982265
  6.4500000       0.30996562E-01      0.0008561100986584
  6.5000000       0.29442912E-01      0.0008061115824774
  6.5500000       0.24916996E-01      0.0008033251425800
  6.6000000       0.13008788E-01      0.0014546691547528
  6.6500000       0.78477943E-02      0.0022589653401869
  6.7000000       0.12661104E-01      0.0033217199455602
  6.7500000       0.70491823E-02      0.0025996119872325
  6.8000000      -0.15955152E-02      0.0016086732516045
  6.8500000      -0.35715126E-02      0.0019210073387477
  6.9000000      -0.44055749E-02      0.0016937867617067
  6.9500000      -0.67679484E-02      0.0015898313942770
  7.0000000      -0.12152426E-01      0.0027268547801270
  7.0500000      -0.13954446E-01      0.0038430503411228
  7.1000000      -0.13199822E-01      0.0045119087728360
  7.1500000      -0.13519046E-01      0.0030534512517507
  7.2000000      -0.14121463E-01      0.0015949937306654
  7.2500000      -0.15216326E-01      0.0007419729081022
  7.3000000      -0.16985523E-01      0.0015941131846478
  7.3500000      -0.17879168E-01      0.0024462534611935
  7.4000000      -0.16559133E-01      0.0027381156397092
  7.4500000      -0.13646518E-01      0.0022011251845215
  7.5000000      -0.11639981E-01      0.0026440119497945
  7.5500000      -0.12668131E-01      0.0019952469114155
  7.6000000      -0.14463409E-01      0.0005584560775943
  7.6500000      -0.11151738E-01      0.0014139167644023
  7.7000000      -0.19839339E-02      0.0023302770041852
  7.7500000      -0.17618593E-02      0.0019083737244469
  7.8000000      -0.90061981E-02      0.0001816838911539
  7.8500000      -0.11724441E-02      0.0005164287699862
  7.9000000      -0.10166563E-03      0.0006036428265555
  7.9500000       0.25322706E-02      0.0019966230026137
  8.0000000       0.11127134E-01      0.0056384836782213
  8.0500000       0.63962242E-02      0.0026678148082772
  8.1000000       0.73716278E-02      0.0013030425645953
  8.1500000       0.84239481E-02      0.0015943847984164
  8.2000000       0.55910455E-02      0.0023375790671100
  8.2500000       0.22081787E-02      0.0006127325390749
  8.3000000       0.15839930E-02      0.0003266306801924
  8.3500000       0.83992795E-02      0.0006614934782609
  8.4000000       0.96734282E-02      0.0015450885857347
  8.4500000       0.24476189E-02      0.0025996336363563
  8.5000000       0.94979209E-02      0.0022890324178998
