 Ferrocene eclipsed structure                           Feff 6L.02    potph 4.12
 Abs   Z=26 Rmt= 1.120 Rnm= 1.283 K shell
 Pot 1 Z= 6 Rmt= 0.729 Rnm= 1.073
 Gam_ch=1.325E+00 H-L exch
 Mu=-4.338E+00 kf=2.569E+00 Vint=-2.948E+01 Rs_int= 1.412
 Path    6      icalc       2                           Feff 6L.02   genfmt 1.44
 -------------------------------------------------------------------------------
   3  10.000   3.7214    2.0700   -4.33800 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  26 Fe       absorbing atom
     1.6655    1.2055    0.0000  1   6 C     
    -1.6655    1.2055    0.0000  1   6 C     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  2.3535E+00  0.0000E+00  3.8018E-01  0.1016E+01  2.9547E+01  2.5690E+00
  0.200  2.3500E+00  1.5637E-02 -1.0472E+00  0.1016E+01  2.9630E+01  2.5764E+00
  0.400  2.3399E+00  3.0983E-02 -2.3540E+00  0.1016E+01  2.9848E+01  2.5986E+00
  0.600  2.3232E+00  4.5707E-02 -3.5447E+00  0.1015E+01  3.0111E+01  2.6351E+00
  0.800  2.3002E+00  5.9424E-02 -4.6265E+00  0.1015E+01  3.0280E+01  2.6854E+00
  1.000  2.2716E+00  7.1728E-02 -5.6076E+00  0.1015E+01  3.0191E+01  2.7489E+00
  1.200  2.2376E+00  8.2248E-02 -6.4969E+00  0.1016E+01  2.9698E+01  2.8250E+00
  1.400  2.1987E+00  9.0704E-02 -7.3026E+00  0.1016E+01  2.8727E+01  2.9129E+00
  1.600  2.1554E+00  9.6929E-02 -8.0317E+00  0.1018E+01  2.7307E+01  3.0121E+00
  1.800  2.1077E+00  1.0087E-01 -8.6894E+00  0.1020E+01  2.5564E+01  3.1221E+00
  2.000  2.0556E+00  1.0254E-01 -9.2797E+00  0.1023E+01  2.3680E+01  3.2425E+00
  2.200  1.9988E+00  1.0201E-01 -9.8048E+00  0.1026E+01  2.1841E+01  3.3730E+00
  2.400  1.9366E+00  9.9374E-02 -1.0266E+01  0.1030E+01  2.0199E+01  3.5136E+00
  2.600  1.8677E+00  9.4761E-02 -1.0662E+01  0.1035E+01  1.8862E+01  3.6642E+00
  2.800  1.8043E+00  8.8352E-02 -1.0994E+01  0.1030E+01  1.7907E+01  3.8249E+00
  3.000  1.6188E+00  8.0880E-02 -1.1098E+01  0.1057E+01  1.2909E+01  4.0344E+00
  3.200  1.6150E+00  8.4581E-02 -1.1601E+01  0.1131E+01  8.6387E+00  4.1626E+00
