# data from ifeffit
#------------------------
#   k         chi         chi       dchi         win
  0.0000000      -0.54088250       0.37806402       0.12954115E-02    0.0000000
  0.50000000E-01  -0.55172540       0.37810364       0.14370688E-02    0.0000000
  0.10000000      -0.56256820       0.37822267       0.15787261E-02    0.0000000
  0.15000000      -0.57341100       0.37842170       0.17203835E-02    0.0000000
  0.20000000      -0.58425380       0.37870171       0.18620408E-02    0.0000000
  0.25000000      -0.59509670       0.37906414       0.20036981E-02    0.0000000
  0.30000000      -0.60593950       0.37951091       0.21453554E-02    0.0000000
  0.35000000      -0.61678230       0.38004456       0.22870128E-02    0.0000000
  0.40000000      -0.62762510       0.38066828       0.24286701E-02    0.0000000
  0.45000000      -0.63846800       0.38138617       0.25703274E-02    0.0000000
  0.50000000      -0.61977700       0.38220340       0.27119847E-02    0.0000000
  0.55000000      -0.59754220       0.38312661       0.26862315E-02    0.0000000
  0.60000000      -0.57530730       0.38416442       0.25298639E-02    0.0000000
  0.65000000      -0.55248600       0.38532827       0.23734963E-02    0.0000000
  0.70000000      -0.51533000       0.38663386       0.22212111E-02    0.0000000
  0.75000000      -0.47817390       0.38810362       0.21655078E-02    0.0000000
  0.80000000      -0.44169150       0.38977169       0.21098046E-02    0.0000000
  0.85000000      -0.40640850       0.39169488       0.20641087E-02    0.0000000
  0.90000000      -0.37143560       0.39398273       0.20924460E-02    0.0000000
  0.95000000      -0.34373650       0.39691533       0.21207833E-02    0.0000000
  1.0000000      -0.32447970      -0.40396214       0.20638210E-02    0.0000000
  1.0500000      -0.32104590      -0.40814580       0.19950495E-02    0.0000000
  1.1000000      -0.32348150      -0.40624329       0.21459236E-02    0.0000000
  1.1500000      -0.32260110      -0.39864240       0.23357851E-02    0.0000000
  1.2000000      -0.31457380      -0.38210914       0.23064564E-02    0.0000000
  1.2500000      -0.29382280      -0.35894544       0.23499859E-02    0.0000000
  1.3000000      -0.26537450      -0.32783918       0.27264968E-02    0.0000000
  1.3500000      -0.22954970      -0.28612857       0.21858824E-02    0.0000000
