e (keV)         k		ksqchi         	ksqdchi			
8.33051	     0.0000000       -0.0000000        0.0000000
8.330519569  0.50000000E-01  -0.39539243E-02   0.98321420E-05
8.330548275  0.10000000      -0.16177097E-01   0.39687097E-04
8.330596119  0.15000000      -0.37211616E-01   0.90102658E-04
8.3306631    0.20000000      -0.67599584E-01   0.16161662E-03
8.330749219  0.25000000      -0.10788310       0.25476678E-03
8.330854476  0.30000000      -0.15860426       0.37009092E-03
8.33097887   0.35000000      -0.22030516       0.50812684E-03
8.331122402  0.40000000      -0.27259146       0.67361859E-03
8.331285071  0.45000000      -0.32291203       0.86618342E-03
8.331466878  0.50000000      -0.37138950       0.10861955E-02
8.331667822  0.55000000      -0.41071705       0.13303039E-02
8.331887904  0.60000000      -0.44164426       0.16006225E-02
8.332127123  0.65000000      -0.45960032       0.18896769E-02
8.33238548   0.70000000      -0.46088014       0.21920578E-02
8.332662975  0.75000000      -0.44628677       0.25050944E-02
8.332959607  0.80000000      -0.41410278       0.28232739E-02
8.333275376  0.85000000      -0.36223209       0.31521799E-02
8.333610284  0.90000000      -0.29303922       0.34684432E-02
8.333964328  0.95000000      -0.20970382       0.37274240E-02
8.334337511  1.0000000      -0.11168731       0.40133790E-02
8.33472983   1.0500000      -0.46258260E-02   0.42676613E-02
8.335141288  1.1000000       0.10649488       0.44813187E-02
8.335571883  1.1500000       0.21871057       0.46883133E-02
8.336021615  1.2000000       0.32885205       0.48655208E-02
8.336490485  1.2500000       0.42819786       0.50530331E-02
8.336978493  1.3000000       0.52033576       0.51804685E-02
8.337485638  1.3500000       0.59628666       0.53900592E-02
8.338011921  1.4000000       0.65932712       0.55403935E-02
8.338557341  1.4500000       0.69924489       0.56679229E-02
8.339121899  1.5000000       0.72216873       0.58523567E-02
8.339705594  1.5500000       0.71085754       0.60091275E-02
8.340308427  1.6000000       0.69016425       0.61132764E-02
8.340930398  1.6500000       0.66159369       0.61931416E-02
8.341571506  1.7000000       0.61458954       0.62555463E-02
8.342231751  1.7500000       0.55206239       0.65259538E-02
8.342911134  1.8000000       0.47878740       0.67952471E-02
8.343609655  1.8500000       0.40136380       0.70650140E-02
8.344327313  1.9000000       0.33299993       0.73579377E-02
8.345064109  1.9500000       0.28323925       0.76511437E-02
8.345820042  2.0000000       0.23976761       0.79515744E-02
8.346595113  2.0500000       0.19636717       0.82653072E-02
8.347389322  2.1000000       0.15122638       0.85802089E-02
8.348202668  2.1500000       0.10385433       0.88209457E-02
8.349035151  2.2000000       0.52920647E-01   0.90367466E-02
8.349886772  2.2500000      -0.10097979E-01   0.92526462E-02
8.350757531  2.3000000      -0.10116484       0.94740980E-02
8.351647427  2.3500000      -0.21233324       0.96930578E-02
8.352556461  2.4000000      -0.33037949       0.99583240E-02
8.353484632  2.4500000      -0.45246751       0.10219601E-01
8.354431941  2.5000000      -0.58778306       0.10726301E-01
8.355398387  2.5500000      -0.73651457       0.11273495E-01
8.356383971  2.6000000      -0.87593383       0.11534127E-01
8.357388693  2.6500000      -0.99014455       0.11715820E-01
8.358412552  2.7000000       -1.0828092       0.12326980E-01
8.359455549  2.7500000       -1.1508774       0.13056365E-01
8.360517683  2.8000000       -1.1861666       0.13742665E-01
8.361598955  2.8500000       -1.1820575       0.14442880E-01
8.362699364  2.9000000       -1.1296465       0.15444587E-01
8.363818911  2.9500000       -1.0312752       0.16448755E-01
8.364957595  3.0000000      -0.90894465       0.17336357E-01
8.366115417  3.0500000      -0.75868066       0.18246574E-01
8.367292377  3.1000000      -0.55888316       0.19176889E-01
8.368488474  3.1500000      -0.35003923       0.20259598E-01
8.369703708  3.2000000      -0.15893649       0.21408479E-01
8.37093808  3.2500000       0.43613115E-01   0.22391247E-01
8.37219159  3.3000000       0.24239058       0.23483996E-01
8.373464237  3.3500000       0.38886424       0.24711951E-01
8.374756022  3.4000000       0.51878004       0.25647401E-01
8.376066945  3.4500000       0.63850248       0.26417538E-01
8.377397004  3.5000000       0.71696259       0.26897264E-01
8.378746202  3.5500000       0.77349769       0.27711415E-01
8.380114537  3.6000000       0.82059498       0.28651045E-01
8.38150201  3.6500000       0.85596155       0.29683564E-01
8.38290862  3.7000000       0.88449550       0.30638935E-01
8.384334367  3.7500000       0.91054883       0.31487511E-01
8.385779253  3.8000000       0.93846114       0.32275380E-01
8.387243275  3.8500000       0.95392856       0.33557540E-01
8.388726436  3.9000000       0.96138723       0.34307912E-01
8.390228734  3.9500000       0.96544402       0.34900359E-01
8.391750169  4.0000000       0.94869341       0.35601510E-01
8.393290742  4.0500000       0.92114669       0.36306265E-01
8.394850453  4.1000000       0.86815188       0.37044962E-01
8.396429301  4.1500000       0.78228970       0.37934148E-01
8.398027286  4.2000000       0.69280643       0.38880104E-01
8.39964441  4.2500000       0.57793171       0.39474976E-01
8.40128067  4.3000000       0.45908717       0.39874817E-01
8.402936069  4.3500000       0.31799212       0.40176534E-01
8.404610605  4.4000000       0.14609252       0.40592761E-01
8.406304278  4.4500000      -0.97377241E-02   0.41095996E-01
8.408017089  4.5000000      -0.21911093       0.41725888E-01
8.409749038  4.5500000      -0.40713737       0.43231517E-01
8.411500124  4.6000000      -0.59831495       0.43851377E-01
8.413270347  4.6500000      -0.78054648       0.44409493E-01
8.415059708  4.7000000      -0.92314647       0.45088807E-01
8.416868207  4.7500000       -1.0279492       0.45772523E-01
8.418695844  4.8000000       -1.1078184       0.47381995E-01
8.420542617  4.8500000       -1.1486457       0.49287026E-01
8.422408529  4.9000000       -1.1299088       0.50164532E-01
