#------------------------
#   k         chi         dchi         e0
  0.71652300E-01  -0.13234385E-01   0.79294259E-03    20006.008
  0.36983496       0.38686547E-02   0.67567308E-03    20006.008
  0.51853727       0.17545068E-01   0.56514776E-03    20006.008
  0.63288090       0.25662194E-01   0.50643565E-03    20006.008
  0.72983203       0.31158660E-01   0.43844912E-03    20006.008
  0.81478411       0.31907794E-01   0.36006632E-03    20006.008
  0.89193649       0.28167047E-01   0.32914271E-03    20006.008
  0.96316537       0.21954196E-01   0.55356150E-03    20006.008
  1.0292612       0.12862915E-01   0.52140141E-03    20006.008
  1.0913645      -0.21817214E-03   0.53478582E-03    20006.008
  1.1501221      -0.15340701E-01   0.42750100E-03    20006.008
  1.2007575      -0.29339570E-01   0.31443506E-03    20006.008
  1.2544067      -0.41827999E-01   0.20878166E-03    20006.008
  1.3060294      -0.54340256E-01   0.67165964E-03    20006.008
  1.7391619      -0.38658383E-01   0.59276596E-03    20006.008
  1.7765217      -0.32450994E-01   0.44648673E-03    20006.008
  1.8133636      -0.26938602E-01   0.41488607E-03    20006.008
  1.8493511      -0.23776564E-01   0.39975842E-03    20006.008
  1.8811649      -0.21311628E-01   0.37375163E-03    20006.008
  1.9160008      -0.19869786E-01   0.34839855E-03    20006.008
  1.9499840      -0.19044748E-01   0.32901429E-03    20006.008
  1.9836151      -0.19485632E-01   0.30791553E-03    20006.008
  2.0165748      -0.20300691E-01   0.27960673E-03    20006.008
  2.0491166      -0.20875480E-01   0.24585002E-03    20006.008
  2.0810424      -0.21138475E-01   0.57789325E-03    20006.008
  2.1124873      -0.23346041E-01   0.83353209E-03    20006.008
  2.1434726      -0.23317412E-01   0.78968421E-03    20006.008
  2.1741220      -0.23124738E-01   0.73684077E-03    20006.008
  2.2042441      -0.22194614E-01   0.69347288E-03    20006.008
  2.2339616      -0.20476887E-01   0.63414286E-03    20006.008
  2.2632905      -0.18024484E-01   0.57556094E-03    20006.008
  2.2923444      -0.14227548E-01   0.52394495E-03    20006.008
  2.3181047      -0.10018590E-01   0.44511054E-03    20006.008
  2.3463861      -0.43900688E-02   0.33796131E-03    20006.008
  2.3744277       0.20107870E-02   0.36800730E-03    20006.008
  2.4019546       0.61532802E-02   0.48315785E-03    20006.008
  2.4293575       0.11392513E-01   0.46843519E-03    20006.008
  2.4563640       0.16759897E-01   0.45010615E-03    20006.008
  2.4831693       0.22127574E-01   0.43360937E-03    20006.008
  2.5095091       0.27653892E-01   0.40088066E-03    20006.008
  2.5357554       0.32452141E-01   0.37533361E-03    20006.008
  2.5616456       0.37882965E-01   0.36453482E-03    20006.008
  2.5873657       0.43583000E-01   0.34803715E-03    20006.008
  2.6127472       0.49383516E-01   0.29414962E-03    20006.008
  2.6378857       0.56531168E-01   0.41462149E-03    20006.008
  2.6603169       0.61516415E-01   0.52922115E-03    20006.008
  2.6850124       0.67648507E-01   0.51363652E-03    20006.008
  2.7095679       0.74115558E-01   0.48755122E-03    20006.008
  2.7338211       0.79545191E-01   0.47401266E-03    20006.008
  2.7578623       0.84389276E-01   0.42679744E-03    20006.008
  2.7816968       0.88595930E-01   0.39719685E-03    20006.008
  2.8054110       0.91691557E-01   0.37007882E-03    20006.008
  2.8288474       0.92972907E-01   0.33714497E-03    20006.008
  2.8521719       0.91796556E-01   0.39064074E-03    20006.008
  2.8751506       0.90583150E-01   0.35262574E-03    20006.008
  2.8981049       0.86117101E-01   0.12538424E-02    20006.008
  2.9208022       0.79435508E-01   0.11982182E-02    20006.008
  2.9410888       0.72133998E-01   0.11616161E-02    20006.008
  2.9635357       0.63363609E-01   0.11119887E-02    20006.008
  2.9856630       0.53833307E-01   0.10951326E-02    20006.008
  3.0077795       0.43467425E-01   0.10403581E-02    20006.008
  3.0296608       0.33510252E-01   0.10152858E-02    20006.008
  3.0514607       0.23531774E-01   0.94539525E-03    20006.008
  3.0730331       0.14047239E-01   0.88696331E-03    20006.008
  3.0944563       0.62447018E-02   0.55385652E-03    20006.008
  3.2992484      -0.34278419E-01   0.49581332E-03    20006.008
  3.3192914      -0.34760409E-01   0.79440688E-03    20006.008
  3.3391471      -0.34543406E-01   0.77397285E-03    20006.008
  3.3589541      -0.33837619E-01   0.77256332E-03    20006.008
  3.3766281      -0.31968035E-01   0.77408157E-03    20006.008
  3.3960846      -0.30751765E-01   0.78296323E-03    20006.008
  3.4155643      -0.28519234E-01   0.79323087E-03    20006.008
  3.4348683      -0.26211721E-01   0.78901361E-03    20006.008
  3.4541313      -0.23439105E-01   0.78907838E-03    20006.008
  3.4732230      -0.19745905E-01   0.80670852E-03    20006.008
  3.4922113      -0.16449667E-01   0.70188527E-03    20006.008
  3.6751470       0.12255366E-02   0.39180783E-03    20006.008
  3.6931073       0.11400016E-02   0.89655780E-03    20006.008
  3.7110428      -0.22537951E-03   0.96116302E-03    20006.008
  3.7288320      -0.93282548E-03   0.12954025E-02    20006.008
  3.7447768      -0.25083117E-02   0.15259003E-02    20006.008
  3.7624082      -0.36296217E-02   0.13589241E-02    20006.008
  3.7799583      -0.50323766E-02   0.87195719E-03    20006.008
  3.7974881      -0.61532379E-02   0.87107064E-03    20006.008
  3.8148785      -0.79043358E-02   0.90790672E-03    20006.008
  3.8322503      -0.10049034E-01   0.87464357E-03    20006.008
  3.8494264      -0.11087703E-01   0.36551938E-03    20006.008
  4.0162898      -0.25089781E-01   0.53932731E-03    20006.008
