 Nickel oxide                                                     Feff 8.10
 Ni O
 Ni O
 Thomassen, L
 An X-Ray Investigation of the System Cr~2~ O~3~ - Ni O
 Abs   Z=28 Rmt= 1.311 Rnm= 1.371 K  shell
 Pot 1 Z=28 Rmt= 1.378 Rnm= 1.454
 Pot 2 Z= 8 Rmt= 1.015 Rnm= 1.070
 Gam_ch=1.576E+00 H-L exch
 Mu= 5.560E-01 kf=2.135E+00 Vint=-1.681E+01 Rs_int= 1.699
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2   6.000   2.0850    2.4382    0.55598 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  28 Ni       absorbing atom
     2.0850    0.0000    0.0000  2   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.3939E+00  0.0000E+00 -2.9313E+00  1.004E+00  2.0652E+01  2.1356E+00
  0.100  3.3938E+00  4.7231E-02 -3.3406E+00  1.004E+00  2.0674E+01  2.1378E+00
  0.200  3.3932E+00  9.4012E-02 -3.7344E+00  1.004E+00  2.0737E+01  2.1445E+00
  0.300  3.3923E+00  1.3991E-01 -4.1129E+00  1.004E+00  2.0835E+01  2.1557E+00
  0.400  3.3909E+00  1.8455E-01 -4.4761E+00  1.005E+00  2.0961E+01  2.1712E+00
  0.500  3.3889E+00  2.2760E-01 -4.8242E+00  1.005E+00  2.1102E+01  2.1909E+00
  0.600  3.3862E+00  2.6880E-01 -5.1574E+00  1.006E+00  2.1244E+01  2.2149E+00
  0.700  3.3826E+00  3.0795E-01 -5.4758E+00  1.007E+00  2.1369E+01  2.2429E+00
  0.800  3.3780E+00  3.4495E-01 -5.7796E+00  1.008E+00  2.1459E+01  2.2748E+00
  0.900  3.3722E+00  3.7972E-01 -6.0690E+00  1.009E+00  2.1496E+01  2.3105E+00
  1.000  3.3649E+00  4.1226E-01 -6.3443E+00  1.010E+00  2.1464E+01  2.3499E+00
  1.100  3.3560E+00  4.4258E-01 -6.6056E+00  1.012E+00  2.1349E+01  2.3929E+00
  1.200  3.3452E+00  4.7073E-01 -6.8533E+00  1.013E+00  2.1142E+01  2.4393E+00
  1.300  3.3323E+00  4.9677E-01 -7.0873E+00  1.016E+00  2.0841E+01  2.4891E+00
  1.400  3.3170E+00  5.2077E-01 -7.3080E+00  1.018E+00  2.0449E+01  2.5421E+00
  1.500  3.2990E+00  5.4277E-01 -7.5155E+00  1.021E+00  1.9975E+01  2.5983E+00
  1.600  3.2782E+00  5.6281E-01 -7.7098E+00  1.024E+00  1.9433E+01  2.6576E+00
  1.700  3.2541E+00  5.8088E-01 -7.8911E+00  1.028E+00  1.8843E+01  2.7200E+00
  1.800  3.2265E+00  5.9696E-01 -8.0595E+00  1.032E+00  1.8225E+01  2.7855E+00
  1.900  3.1951E+00  6.1098E-01 -8.2150E+00  1.036E+00  1.7603E+01  2.8541E+00
  2.000  3.1596E+00  6.2282E-01 -8.3577E+00  1.041E+00  1.6997E+01  2.9258E+00
  2.200  3.0744E+00  6.3932E-01 -8.6048E+00  1.050E+00  1.5922E+01  3.0789E+00
  2.400  2.9660E+00  6.4366E-01 -8.7950E+00  1.058E+00  1.5159E+01  3.2485E+00
  2.600  2.8054E+00  6.7522E-01 -8.9541E+00  1.124E+00  1.0092E+01  3.4411E+00
  2.800  2.7525E+00  7.2529E-01 -9.1821E+00  1.215E+00  7.2446E+00  3.5879E+00
  3.000  2.7328E+00  7.4536E-01 -9.4267E+00  1.245E+00  6.3809E+00  3.7195E+00
  3.200  2.6865E+00  7.4105E-01 -9.6449E+00  1.257E+00  5.9566E+00  3.8621E+00
  3.400  2.6269E+00  7.2260E-01 -9.8469E+00  1.257E+00  5.7594E+00  4.0105E+00
  3.600  2.5589E+00  6.9318E-01 -1.0037E+01  1.249E+00  5.6885E+00  4.1643E+00
  3.800  2.4836E+00  6.5665E-01 -1.0217E+01  1.236E+00  5.6979E+00  4.3227E+00
  4.000  2.4034E+00  6.1659E-01 -1.0387E+01  1.223E+00  5.7630E+00  4.4854E+00
  4.200  2.3204E+00  5.7482E-01 -1.0550E+01  1.204E+00  5.8691E+00  4.6518E+00
  4.400  2.2340E+00  5.3364E-01 -1.0703E+01  1.187E+00  6.0072E+00  4.8215E+00
  4.600  2.1461E+00  4.9405E-01 -1.0846E+01  1.172E+00  6.1711E+00  4.9943E+00
  4.800  2.0576E+00  4.5613E-01 -1.0983E+01  1.156E+00  6.3565E+00  5.1696E+00
  5.000  1.9682E+00  4.2082E-01 -1.1108E+01  1.141E+00  6.5602E+00  5.3473E+00
  5.200  1.8787E+00  3.8816E-01 -1.1223E+01  1.127E+00  6.7800E+00  5.5271E+00
  5.400  1.7888E+00  3.5800E-01 -1.1332E+01  1.114E+00  7.0140E+00  5.7087E+00
  5.600  1.6987E+00  3.3026E-01 -1.1433E+01  1.102E+00  7.2609E+00  5.8919E+00
  5.800  1.6089E+00  3.0505E-01 -1.1531E+01  1.089E+00  7.5194E+00  6.0766E+00
  6.000  1.5190E+00  2.8237E-01 -1.1626E+01  1.079E+00  7.7887E+00  6.2626E+00
  6.500  1.2968E+00  2.3613E-01 -1.1862E+01  1.054E+00  8.5043E+00  6.7324E+00
  7.000  1.0806E+00  2.0215E-01 -1.2102E+01  1.034E+00  9.2739E+00  7.2076E+00
