#------------------------
#   k         chi       dchi           
  0.0000000      -0.16480359E-01      0.24703043E-02  
  0.50000000E-01  -0.51038449E-01     0.24362682E-02  
  0.10000000      -0.85596540E-01     0.24022320E-02  
  0.15000000      -0.12015463         0.23681958E-02  
  0.20000000      -0.15471272         0.23341597E-02  
  0.25000000      -0.18927081         0.23001235E-02  
  0.30000000      -0.16437582         0.22660873E-02  
  0.35000000      -0.13828873         0.22320512E-02  
  0.40000000      -0.10921312         0.21980150E-02  
  0.45000000      -0.77182694E-01     0.21639788E-02  
  0.50000000      -0.34333725E-01     0.21299426E-02  
  0.55000000       0.50547987E-02     0.20959065E-02  
  0.60000000       0.44905234E-01     0.20618703E-02  
  0.65000000       0.85874365E-01     0.20278341E-02  
  0.70000000       0.12494506         0.19937980E-02  
  0.75000000       0.15510254         0.19597618E-02  
  0.80000000       0.19254459         0.19257256E-02  
  0.85000000       0.22027960         0.18916895E-02  
  0.90000000       0.24553546         0.18755589E-02  
  0.95000000       0.26649019         0.18699591E-02  
  1.0000000       0.28780653         0.18643593E-02   
  1.0500000       0.29843309         0.18587594E-02   
  1.1000000       0.30825153         0.18531596E-02   
  1.1500000       0.31704550         0.18535863E-02   
  1.2000000       0.32457793         0.18683173E-02   
  1.2500000       0.32674649         0.18830482E-02   
  1.3000000       0.32371862         0.18977791E-02   
  1.3500000       0.32318850         0.19115958E-02   
  1.4000000       0.31313491         0.18696749E-02   
  1.4500000       0.30328173         0.18277540E-02   
  1.5000000       0.28743454         0.17858330E-02   
  1.5500000       0.26991440         0.17987272E-02   
  1.6000000       0.25244912         0.19242062E-02   
  1.6500000       0.23667055         0.20496852E-02   
  1.7000000       0.21851480         0.21325067E-02   
  1.7500000       0.19883733         0.20663904E-02   
  1.8000000       0.18607527         0.20002741E-02   
  1.8500000       0.16594128         0.19342314E-02   
  1.9000000       0.14528245         0.18683775E-02   
  1.9500000       0.12881757         0.18025235E-02   
  2.0000000       0.10824476         0.18218190E-02   
  2.0500000       0.85765706E-01     0.19089613E-02   
  2.1000000       0.62892521E-01     0.19743730E-02   
  2.1500000       0.42493831E-01     0.19735136E-02   
  2.2000000       0.25766307E-01     0.19726543E-02   
  2.2500000       0.76579420E-02     0.19284222E-02   
  2.3000000      -0.14913370E-01     0.18714799E-02   
  2.3500000      -0.38557417E-01     0.18946756E-02   
  2.4000000      -0.52244591E-01     0.20060839E-02   
  2.4500000      -0.74791372E-01     0.20544945E-02   
  2.5000000      -0.87741617E-01     0.19970076E-02   
  2.5500000      -0.10631362         0.19853373E-02   
  2.6000000      -0.12609558         0.21433281E-02   
  2.6500000      -0.13713802         0.22728050E-02   
  2.7000000      -0.14525345         0.22411969E-02   
  2.7500000      -0.15238170         0.22844447E-02   
  2.8000000      -0.15263540         0.27047153E-02   
  2.8500000      -0.15167195         0.29396931E-02   
  2.9000000      -0.14336418         0.23622247E-02   
  2.9500000      -0.13005211         0.20097265E-02   
  3.0000000      -0.11631288         0.21038992E-02   
  3.0500000      -0.93297195E-01     0.21517211E-02   
  3.1000000      -0.80980943E-01     0.21587951E-02   
  3.1500000      -0.58820254E-01     0.23077744E-02   
  3.2000000      -0.37822170E-01     0.24375043E-02   
  3.2500000      -0.16654715E-01     0.22300228E-02   
  3.3000000      -0.21683090E-02     0.21499275E-02   
  3.3500000       0.72612363E-02     0.21635359E-02   
  3.4000000       0.18580969E-01     0.19332241E-02   
  3.4500000       0.28810704E-01     0.23111286E-02   
  3.5000000       0.40622285E-01     0.33626164E-02   
  3.5500000       0.46119839E-01     0.35592903E-02   
  3.6000000       0.53235683E-01     0.29756773E-02   
  3.6500000       0.63021635E-01     0.21398517E-02   
  3.7000000       0.69683316E-01     0.23939092E-02   
  3.7500000       0.72545494E-01     0.23156605E-02   
  3.8000000       0.77768129E-01     0.23086591E-02   
  3.8500000       0.76265405E-01     0.26226683E-02   
  3.9000000       0.74385542E-01     0.22027051E-02   
  3.9500000       0.72760177E-01     0.27501741E-02   
  4.0000000       0.60167410E-01     0.36946981E-02   
  4.0500000       0.50811853E-01     0.29840895E-02   
  4.1000000       0.47301624E-01     0.29280329E-02   
  4.1500000       0.34558113E-01     0.27507287E-02   
  4.2000000       0.24168470E-01     0.24525813E-02   
  4.2500000       0.17567286E-01     0.25362767E-02   
  4.3000000       0.11222519E-01     0.27168180E-02   
  4.3500000      -0.15777536E-02     0.22676192E-02   
  4.4000000      -0.19479761E-02     0.24525403E-02   
  4.4500000      -0.64736394E-02     0.25064247E-02   
  4.5000000      -0.50384801E-02     0.22420616E-02   
  4.5500000      -0.55128489E-02     0.23399563E-02   
  4.6000000      -0.95035287E-02     0.20301190E-02   
  4.6500000      -0.13793432E-01     0.18937606E-02   
  4.7000000      -0.14245885E-01     0.46444758E-02   
  4.7500000      -0.25608953E-01     0.28083599E-02   
  4.8000000      -0.26192489E-01     0.20624356E-02   
  4.8500000      -0.29908212E-01     0.20365319E-02   
  4.9000000      -0.26769954E-01     0.20831409E-02   
  4.9500000      -0.26134740E-01     0.21636685E-02   
  5.0000000      -0.24651023E-01     0.21097016E-02   
  5.0500000      -0.21380110E-01     0.19852469E-02   
  5.1000000      -0.15768851E-01     0.21680527E-02   
  5.1500000      -0.17814271E-01     0.19517157E-02   
  5.2000000      -0.18213934E-01     0.21502461E-02   
  5.2500000      -0.16906012E-01     0.28580721E-02   
  5.3000000      -0.10780359E-01     0.36605434E-02   
  5.3500000      -0.11420514E-01     0.21155171E-02   
  5.4000000      -0.13455594E-01     0.21401899E-02   
  5.4500000      -0.71372303E-02     0.22562401E-02   
  5.5000000      -0.81886868E-02     0.21461612E-02   
  5.5500000      -0.89449815E-02     0.19433383E-02   
  5.6000000      -0.63517885E-02     0.19600952E-02   
  5.6500000      -0.62881711E-02     0.22226985E-02   
  5.7000000      -0.17031519E-02     0.21736515E-02   
  5.7500000      -0.48281959E-03     0.21246044E-02   
  5.8000000      -0.42611167E-03     0.20755574E-02   
  5.8500000      -0.48784562E-02     0.20265104E-02   
  5.9000000      -0.12700225E-02     0.20148745E-02   
  5.9500000       0.70980371E-03     0.20198712E-02   
  6.0000000       0.83796094E-02     0.20248680E-02   
  6.0500000       0.43941902E-02     0.20298647E-02   
  6.1000000       0.86566133E-02     0.21812291E-02   
  6.1500000       0.17978399E-01     0.25610567E-02   
  6.2000000       0.19542660E-01     0.29408843E-02   
  6.2500000       0.18457011E-01     0.33207119E-02   
  6.3000000       0.26945555E-01     0.36225653E-02   
  6.3500000       0.20064416E-01     0.35047387E-02   
  6.4000000       0.19285231E-01     0.33869120E-02   
  6.4500000       0.17921151E-01     0.32690854E-02   
  6.5000000       0.11216818E-01     0.31512587E-02   
  6.5500000       0.85220635E-02     0.28620158E-02   
  6.6000000       0.73931318E-02     0.25663782E-02   
  6.6500000       0.60418054E-03     0.22707406E-02   
  6.7000000       0.36246675E-02     0.20133990E-02   
  6.7500000      -0.31297560E-02     0.22610366E-02   
  6.8000000      -0.72869691E-02     0.25086742E-02   
  6.8500000      -0.52697693E-02     0.27563119E-02   
  6.9000000      -0.51563882E-02     0.29069756E-02   
  6.9500000      -0.55856166E-02     0.26776710E-02   
  7.0000000      -0.78316152E-02     0.24483664E-02   
  7.0500000      -0.95768747E-02     0.22190618E-02   
  7.1000000      -0.11275060E-01     0.20721879E-02   
  7.1500000      -0.96462772E-02     0.20839891E-02   
