 ni-complex n-propyl                                              Feff 8.10
 Abs   Z=28 Rmt= 1.336 Rnm= 1.420 K  shell
 Pot 1 Z= 7 Rmt= 0.766 Rnm= 0.998
 Pot 2 Z= 8 Rmt= 0.804 Rnm= 1.023
 Pot 3 Z= 6 Rmt= 0.878 Rnm= 1.103
 Gam_ch=1.576E+00 H-L exch
 Mu= 6.459E+00 kf=2.473E+00 Vint=-1.684E+01 Rs_int= 1.467
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2   2.000   1.9508    2.0904    6.45876 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  28 Ni       absorbing atom
     1.3794    1.3794    0.0000  2   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.1593E+00  0.0000E+00 -2.4482E+00  1.007E+00  2.3916E+01  2.4731E+00
  0.100  3.1590E+00  3.8449E-02 -2.8320E+00  1.007E+00  2.3935E+01  2.4750E+00
  0.200  3.1581E+00  7.6616E-02 -3.2032E+00  1.007E+00  2.3989E+01  2.4808E+00
  0.300  3.1565E+00  1.1423E-01 -3.5618E+00  1.007E+00  2.4075E+01  2.4904E+00
  0.400  3.1543E+00  1.5103E-01 -3.9079E+00  1.007E+00  2.4185E+01  2.5038E+00
  0.500  3.1513E+00  1.8680E-01 -4.2415E+00  1.008E+00  2.4311E+01  2.5209E+00
  0.600  3.1476E+00  2.2133E-01 -4.5629E+00  1.008E+00  2.4439E+01  2.5417E+00
  0.700  3.1430E+00  2.5446E-01 -4.8721E+00  1.008E+00  2.4557E+01  2.5661E+00
  0.800  3.1376E+00  2.8607E-01 -5.1694E+00  1.008E+00  2.4649E+01  2.5939E+00
  0.900  3.1312E+00  3.1605E-01 -5.4549E+00  1.008E+00  2.4698E+01  2.6252E+00
  1.000  3.1238E+00  3.4435E-01 -5.7287E+00  1.009E+00  2.4691E+01  2.6598E+00
  1.100  3.1152E+00  3.7091E-01 -5.9912E+00  1.009E+00  2.4611E+01  2.6975E+00
  1.200  3.1055E+00  3.9573E-01 -6.2423E+00  1.009E+00  2.4450E+01  2.7384E+00
  1.300  3.0944E+00  4.1880E-01 -6.4824E+00  1.010E+00  2.4198E+01  2.7824E+00
  1.400  3.0820E+00  4.4012E-01 -6.7114E+00  1.011E+00  2.3854E+01  2.8293E+00
  1.500  3.0680E+00  4.5972E-01 -6.9295E+00  1.012E+00  2.3420E+01  2.8790E+00
  1.600  3.0523E+00  4.7760E-01 -7.1368E+00  1.013E+00  2.2903E+01  2.9316E+00
  1.700  3.0347E+00  4.9377E-01 -7.3333E+00  1.015E+00  2.2315E+01  2.9869E+00
  1.800  3.0151E+00  5.0826E-01 -7.5190E+00  1.017E+00  2.1671E+01  3.0450E+00
  1.900  2.9931E+00  5.2105E-01 -7.6938E+00  1.020E+00  2.0989E+01  3.1057E+00
  2.000  2.9686E+00  5.3214E-01 -7.8577E+00  1.023E+00  2.0286E+01  3.1690E+00
  2.200  2.9112E+00  5.4914E-01 -8.1523E+00  1.031E+00  1.8897E+01  3.3037E+00
  2.400  2.8455E+00  5.5894E-01 -8.4122E+00  1.035E+00  1.7642E+01  3.4491E+00
