# data from ifeffit
#------------------------
#   k         chi         dchi
  0.29399415      -0.91073805       0.90195036E-03
  0.45774827      -0.90068405       0.94432714E-03
  0.57901085      -0.88622746       0.85929408E-03
  0.67701882      -0.87327103       0.87353072E-03
  0.76424772      -0.85808978       0.90802681E-03
  0.85022968      -0.83856483       0.99538190E-03
  0.92969113      -0.81215793       0.89032290E-03
  0.98708190      -0.79313874       0.91295108E-03
  1.0562981      -0.76369357       0.90518015E-03
  1.1270744      -0.72504878       0.10214684E-02
  1.1881632      -0.67217348       0.90595331E-03
  1.2388837      -0.62901869       0.92361288E-03
  1.2947076      -0.56156102       0.99440762E-03
  1.3423814      -0.50048865       0.87964989E-03
  1.3874757      -0.41660750       0.98246551E-03
  1.4320646      -0.33522477       0.84454667E-03
  1.4850387      -0.23413538       0.98585859E-03
  1.5276384      -0.14275326       0.99079500E-03
  1.5724169      -0.32739630E-01   0.10253638E-02
  1.6599293       0.27210728       0.98246256E-03
  1.8166321       0.40191867       0.10179258E-02
  1.9581784       0.38879220       0.99359423E-03
  2.0895344       0.33952732       0.10190078E-02
  2.2131076       0.24921298       0.92880475E-03
  2.3233825       0.17899835       0.11257353E-02
  2.4324271       0.11135380       0.10153775E-02
  2.5367887       0.57211420E-01   0.91462211E-03
  2.6275708      -0.30201476E-02   0.10110241E-02
  2.7268699      -0.39576970E-01   0.10017440E-02
  2.8208215      -0.83896019E-01   0.92803455E-03
  2.9081429      -0.11832584       0.10385052E-02
  2.9990373      -0.16077888       0.96903049E-03
  3.0868325      -0.17860333       0.11226863E-02
  3.1721988      -0.19215429       0.10843233E-02
  3.2581421      -0.17975408       0.14818174E-02
  3.3391317      -0.14998923       0.95631319E-03
  3.4185859      -0.10687575       0.10326624E-02
  3.4958604      -0.66969781E-01   0.10334229E-02
  3.5692626      -0.36543917E-01   0.11752856E-02
  3.6397464       0.25989060E-02   0.10160792E-02
  3.7103032       0.23068094E-01   0.10237861E-02
  3.7802359       0.46678522E-01   0.85284297E-03
  3.8444724       0.56370437E-01   0.15773777E-02
  3.9093283       0.67615620E-01   0.17053595E-02
  3.9757618       0.83920039E-01   0.98226646E-03
  4.0407792       0.83593097E-01   0.11491641E-02
  4.1047668       0.97327400E-01   0.10254998E-02
  4.1702852       0.83174364E-01   0.12325164E-02
  4.2341715       0.82799949E-01   0.93114570E-03
  4.2974128       0.56608902E-01   0.17863220E-02
  4.3615388       0.53102703E-01   0.13289240E-02
  4.4214787       0.30260004E-01   0.13835314E-02
  4.4817857       0.17058487E-01   0.11325865E-02
  4.5398499       0.83428142E-02   0.11808424E-02
  4.5940461       0.59393295E-02   0.12782184E-02
  4.6507089       0.47007217E-02   0.95755915E-03
  4.7052982      -0.18541246E-02   0.12960097E-02
  4.7556829      -0.10182733E-01   0.10009777E-02
  4.8104421      -0.79485287E-02   0.11244682E-02
  4.8651234      -0.11449866E-01   0.95122880E-03
  4.9154684      -0.12492451E-01   0.86328974E-03
  4.9687304      -0.20042366E-01   0.23037301E-02
  5.0245562      -0.26139268E-01   0.98146309E-03
  5.0751259      -0.26562824E-01   0.94849885E-03
  5.1315806      -0.33632901E-01   0.94644267E-03
  5.1841381      -0.35336505E-01   0.10011684E-02
  5.2334162      -0.29684692E-01   0.10165829E-02
  5.2852088      -0.23897888E-01   0.89444571E-03
  5.3362533      -0.19835748E-01   0.10297623E-02
  5.3826798      -0.17584430E-01   0.89638035E-03
  5.4299152      -0.11650103E-01   0.95578978E-03
  5.4784169      -0.47111885E-02   0.11829420E-02
  5.5236486      -0.16457507E-02   0.19410659E-02
  5.5685129      -0.95895200E-02   0.99153904E-03
  5.6174498      -0.49266988E-02   0.96313604E-03
  5.6615708      -0.23508181E-02   0.10669562E-02
  5.7081044      -0.56156873E-02   0.10165363E-02
  5.7558546       0.16336247E-02   0.96662631E-03
  5.8002775       0.82881873E-03   0.81668005E-03
  5.8542138       0.34918534E-02   0.10400443E-02
  6.0785368       0.52847195E-02   0.93302965E-03
  6.2863355       0.11366132E-01   0.94177227E-03
  6.4913159       0.21928642E-01   0.16838968E-02
  6.6947152      -0.50645087E-03   0.14522539E-02
  6.8839389      -0.82190893E-02   0.91869041E-03
  7.0721737      -0.16437865E-01   0.13551353E-02
  7.2603984      -0.66748398E-02   0.94521537E-03
  7.4333020      -0.12159831E-01   0.96033930E-03
  7.6081288       0.72005955E-02   0.70504761E-03
  7.7835716       0.14202307E-01   0.13833704E-02
  7.9452627       0.66682291E-02   0.10945150E-02
  8.1092209      -0.50369114E-02   0.11333220E-02
  8.2732539       0.22170939E-02   0.11207495E-02
  8.4295932      -0.19842127E-03   0.10497210E-02
  8.5853736      -0.37143663E-02   0.81439852E-03
  8.8888951      -0.14077953E-02   0.18076476E-02
  9.1782523       0.21242971E-02   0.12961898E-02
  9.4565464      -0.73315147E-02   0.19523807E-02
  9.7333418       0.53156031E-02   0.11650538E-02
  9.9960631       0.49493377E-02   0.12728047E-02
  10.254992       0.34976715E-02   0.11076076E-02
  10.509535      -0.45067406E-02   0.10315094E-02
  10.751848       0.24175742E-02   0.10438827E-02
  10.996324      -0.66744792E-02   0.12229738E-02
  11.230469       0.34394678E-02   0.10521486E-02
  11.464515       0.29883085E-02   0.13892323E-02
  11.805003      -0.23996001E-03   0.76743539E-03
  12.133675      -0.91960618E-02   0.18822964E-02
  12.454413       0.12887177E-01   0.75055474E-03
  12.765864      -0.13897411E-01   0.12507125E-02
  13.069094       0.91809006E-02   0.82139177E-03
  13.367504      -0.57682804E-02   0.26442196E-02
  13.755697       0.15419778E-01   0.87725626E-03
  14.135364      -0.22779477E-01   0.21085948E-02
