# data from ifeffit
#------------------------
#   k         chi         dchi
  0.0000000      -0.75836453E-11   0.22951408E-01
  0.49881961      -0.76583307E-11   0.19834522E-01
  0.72557072      -0.80231419E-11   0.19744990E-01
  0.88937556      -0.64722012E-11   0.16474306E-01
  0.95881601      -0.63921985E-11   0.16104348E-01
  1.0145606      -0.58647734E-11   0.15064627E-01
  1.0735148      -0.52608410E-11   0.13822116E-01
  1.1374837      -0.43990712E-11   0.11368113E-01
  1.1903656      -0.39405957E-11   0.10200332E-01
  1.2483610      -0.32034802E-11   0.80248458E-02
  1.2967290      -0.28106306E-11   0.67262836E-02
  1.3443312      -0.24449382E-11   0.57332478E-02
  1.3950062      -0.20725435E-11   0.53120149E-02
  1.4502387      -0.17558899E-11   0.45529634E-02
  1.4920768      -0.14792324E-11   0.39156268E-02
  1.5336275      -0.12256685E-11   0.42440276E-02
  1.5395933      -0.12254068E-11   0.55708930E-02
  1.5798948      -0.10763235E-11   0.26308643E-02
  1.6135221      -0.92846228E-12   0.38796146E-02
  1.6183845      -0.92828640E-12   0.29130261E-02
  1.6567705      -0.82405909E-12   0.20340088E-02
  1.6981474      -0.72547279E-12   0.18415587E-02
  1.7392928      -0.64699590E-12   0.15523456E-02
  1.7743282       0.45769477E-01   0.18455336E-02
  1.8137463      -0.37648114E-01   0.12134628E-02
  1.8523258       0.60663807E-01   0.12679204E-02
  1.8935791       0.14942106       0.12117683E-02
  1.9271691       0.22431196       0.12461434E-02
  1.9595155       0.27461514       0.13211340E-02
  1.9906788       0.31450773       0.12145134E-02
  2.0220094       0.33199020       0.12457183E-02
  2.0566860       0.34568207       0.12718570E-02
  2.0863983       0.34727430       0.12744286E-02
  2.1237251       0.35935147       0.12849477E-02
  2.1531206       0.35042340       0.13084000E-02
  2.1779151       0.33502235       0.16799829E-02
  2.1815199       0.33611056       0.21756452E-02
  2.2101469       0.32715263       0.20237969E-02
  2.2136992       0.32739156       0.15579407E-02
  2.2460006       0.31206097       0.24742636E-02
  2.2732398       0.31298602       0.17107640E-02
  2.3007259       0.28125390       0.22260789E-02
  2.3041386       0.28648150       0.16406895E-02
  2.3312603       0.26815088       0.13546186E-02
  2.3575147       0.24431878       0.13106141E-02
  2.3840293       0.22105877       0.14440121E-02
  2.4069900       0.20835770       0.22180566E-02
  2.4102522       0.20975320       0.15563015E-02
  2.4361929       0.18736691       0.13754874E-02
  2.4613282       0.15742368       0.13631750E-02
  2.4898939       0.15157922       0.13008386E-02
  2.5118871       0.12561192       0.13628393E-02
  2.5373049       0.10824036       0.14503425E-02
  2.5650246       0.87662236E-01   0.22580423E-02
  2.5919427       0.90473206E-01   0.13085124E-02
  2.6130772       0.61910132E-01   0.14925976E-02
