#------------------------
#   k         chi         dchi         e0
  0.0000000       0.33228527       0.24703043E-02    8348.5200
  0.50000000E-01   0.32913834       0.24362682E-02    8348.5200
  0.10000000       0.32599141       0.24022320E-02    8348.5200
  0.15000000       0.32284448       0.23681958E-02    8348.5200
  0.20000000       0.31969755       0.23341597E-02    8348.5200
  0.25000000       0.31655062       0.23001235E-02    8348.5200
  0.30000000       0.31340369       0.22660873E-02    8348.5200
  0.35000000       0.31025676       0.22320512E-02    8348.5200
  0.40000000       0.30710983       0.21980150E-02    8348.5200
  0.45000000       0.30396290       0.21639788E-02    8348.5200
  0.50000000       0.30081597       0.21299426E-02    8348.5200
  0.55000000       0.29766904       0.20959065E-02    8348.5200
  0.60000000       0.29452211       0.20618703E-02    8348.5200
  0.65000000       0.29137518       0.20278341E-02    8348.5200
  0.70000000       0.28822825       0.19937980E-02    8348.5200
  0.75000000       0.28553101       0.19597618E-02    8348.5200
  0.80000000       0.28440491       0.19257256E-02    8348.5200
  0.85000000       0.28327880       0.18916895E-02    8348.5200
  0.90000000       0.28215270       0.18755589E-02    8348.5200
  0.95000000       0.28102659       0.18699591E-02    8348.5200
  1.0000000       0.27990049       0.18643593E-02    8348.5200
  1.0500000       0.27715531       0.18587594E-02    8348.5200
  1.1000000       0.26802265       0.18531596E-02    8348.5200
  1.1500000       0.25888999       0.18535863E-02    8348.5200
  1.2000000       0.24975733       0.18683173E-02    8348.5200
  1.2500000       0.24062467       0.18830482E-02    8348.5200
  1.3000000       0.22448100       0.18977791E-02    8348.5200
  1.3500000       0.20346375       0.19115958E-02    8348.5200
  1.4000000       0.18244649       0.18696749E-02    8348.5200
  1.4500000       0.16142923       0.18277540E-02    8348.5200
  1.5000000       0.14151496       0.17858330E-02    8348.5200
  1.5500000       0.12239619       0.17987272E-02    8348.5200
  1.6000000       0.10348777       0.19242062E-02    8348.5200
  1.6500000       0.84223322E-01   0.20496852E-02    8348.5200
  1.7000000       0.64621587E-01   0.21325067E-02    8348.5200
  1.7500000       0.45528110E-01   0.20663904E-02    8348.5200
  1.8000000       0.28179593E-01   0.20002741E-02    8348.5200
  1.8500000       0.12618955E-01   0.19342314E-02    8348.5200
  1.9000000      -0.36473622E-02   0.18683775E-02    8348.5200
  1.9500000      -0.24069226E-01   0.18025235E-02    8348.5200
  2.0000000      -0.46507896E-01   0.18218190E-02    8348.5200
  2.0500000      -0.65560688E-01   0.19089613E-02    8348.5200
  2.1000000      -0.77122902E-01   0.19743730E-02    8348.5200
  2.1500000      -0.87239197E-01   0.19735136E-02    8348.5200
  2.2000000      -0.10077517       0.19726543E-02    8348.5200
  2.2500000      -0.11627173       0.19284222E-02    8348.5200
  2.3000000      -0.13060629       0.18714799E-02    8348.5200
  2.3500000      -0.14289634       0.18946756E-02    8348.5200
  2.4000000      -0.15626232       0.20060839E-02    8348.5200
  2.4500000      -0.17280804       0.20544945E-02    8348.5200
  2.5000000      -0.18736194       0.19970076E-02    8348.5200
  2.5500000      -0.19415955       0.19853373E-02    8348.5200
  2.6000000      -0.19805763       0.21433281E-02    8348.5200
  2.6500000      -0.20328717       0.22728050E-02    8348.5200
  2.7000000      -0.20564314       0.22411969E-02    8348.5200
  2.7500000      -0.20057017       0.22844447E-02    8348.5200
  2.8000000      -0.18969822       0.27047153E-02    8348.5200
  2.8500000      -0.17412508       0.29396931E-02    8348.5200
  2.9000000      -0.15419444       0.23622247E-02    8348.5200
  2.9500000      -0.12946362       0.20097265E-02    8348.5200
  3.0000000      -0.10342980       0.21038992E-02    8348.5200
  3.0500000      -0.78744975E-01   0.21517211E-02    8348.5200
  3.1000000      -0.56907196E-01   0.21587951E-02    8348.5200
  3.1500000      -0.37303969E-01   0.23077744E-02    8348.5200
  3.2000000      -0.12280656E-01   0.24375043E-02    8348.5200
  3.2500000       0.11666025E-01   0.22300228E-02    8348.5200
  3.3000000       0.26019673E-01   0.21499275E-02    8348.5200
  3.3500000       0.41259654E-01   0.21635359E-02    8348.5200
  3.4000000       0.56802063E-01   0.19332241E-02    8348.5200
  3.4500000       0.65029030E-01   0.23111286E-02    8348.5200
  3.5000000       0.72558316E-01   0.33626164E-02    8348.5200
  3.5500000       0.82035187E-01   0.35592903E-02    8348.5200
  3.6000000       0.94220698E-01   0.29756773E-02    8348.5200
  3.6500000       0.97742262E-01   0.21398517E-02    8348.5200
  3.7000000       0.10046687       0.23939092E-02    8348.5200
  3.7500000       0.11084751       0.23156605E-02    8348.5200
  3.8000000       0.10476070       0.23086591E-02    8348.5200
  3.8500000       0.98837740E-01   0.26226683E-02    8348.5200
  3.9000000       0.98042466E-01   0.22027051E-02    8348.5200
  3.9500000       0.79244578E-01   0.27501741E-02    8348.5200
  4.0000000       0.70982920E-01   0.36946981E-02    8348.5200
  4.0500000       0.65332392E-01   0.29840895E-02    8348.5200
  4.1000000       0.47409155E-01   0.29280329E-02    8348.5200
  4.1500000       0.36266545E-01   0.27507287E-02    8348.5200
  4.2000000       0.28044334E-01   0.24525813E-02    8348.5200
  4.2500000       0.23021544E-01   0.25362767E-02    8348.5200
  4.3000000       0.21331878E-01   0.27168180E-02    8348.5200
  4.3500000       0.19741268E-01   0.22676192E-02    8348.5200
  4.4000000       0.14017537E-01   0.24525403E-02    8348.5200
  4.4500000       0.57960531E-02   0.25064247E-02    8348.5200
  4.5000000       0.52477794E-02   0.22420616E-02    8348.5200
  4.5500000       0.41800161E-02   0.23399563E-02    8348.5200
  4.6000000       0.17033339E-02   0.20301190E-02    8348.5200
  4.6500000      -0.16062356E-02   0.18937606E-02    8348.5200
  4.7000000      -0.87680962E-02   0.46444758E-02    8348.5200
  4.7500000      -0.13726684E-01   0.28083599E-02    8348.5200
  4.8000000      -0.14538440E-01   0.20624356E-02    8348.5200
  4.8500000      -0.20663103E-01   0.20365319E-02    8348.5200
  4.9000000      -0.24152024E-01   0.20831409E-02    8348.5200
  4.9500000      -0.21271929E-01   0.21636685E-02    8348.5200
  5.0000000      -0.16164271E-01   0.21097016E-02    8348.5200
  5.0500000      -0.12266088E-01   0.19852469E-02    8348.5200
  5.1000000      -0.10122209E-01   0.21680527E-02    8348.5200
  5.1500000      -0.68455686E-02   0.19517157E-02    8348.5200
  5.2000000      -0.78891867E-03   0.21502461E-02    8348.5200
  5.2500000       0.34251689E-02   0.28580721E-02    8348.5200
  5.3000000       0.10368292E-03   0.36605434E-02    8348.5200
  5.3500000      -0.18661925E-02   0.21155171E-02    8348.5200
  5.4000000       0.21004786E-02   0.21401899E-02    8348.5200
  5.4500000      -0.15875162E-03   0.22562401E-02    8348.5200
  5.5000000       0.30519069E-02   0.21461612E-02    8348.5200
  5.5500000       0.45332061E-02   0.19433383E-02    8348.5200
  5.6000000       0.49427015E-02   0.19600952E-02    8348.5200
  5.6500000       0.64539609E-02   0.22226985E-02    8348.5200
  5.7000000       0.67122419E-02   0.21736515E-02    8348.5200
  5.7500000       0.64329870E-02   0.21246044E-02    8348.5200
  5.8000000       0.58723938E-02   0.20755574E-02    8348.5200
  5.8500000       0.52866598E-02   0.20265104E-02    8348.5200
  5.9000000       0.56700616E-02   0.20148745E-02    8348.5200
  5.9500000       0.63396484E-02   0.20198712E-02    8348.5200
  6.0000000       0.72383895E-02   0.20248680E-02    8348.5200
  6.0500000       0.83711063E-02   0.20298647E-02    8348.5200
  6.1000000       0.10578564E-01   0.21812291E-02    8348.5200
  6.1500000       0.13287080E-01   0.25610567E-02    8348.5200
  6.2000000       0.15494181E-01   0.29408843E-02    8348.5200
  6.2500000       0.16744940E-01   0.33207119E-02    8348.5200
  6.3000000       0.15462200E-01   0.36225653E-02    8348.5200
  6.3500000       0.10723291E-01   0.35047387E-02    8348.5200
  6.4000000       0.51177034E-02   0.33869120E-02    8348.5200
  6.4500000      -0.74947588E-03   0.32690854E-02    8348.5200
  6.5000000      -0.59434109E-02   0.31512587E-02    8348.5200
  6.5500000      -0.85704547E-02   0.28620158E-02    8348.5200
  6.6000000      -0.10649713E-01   0.25663782E-02    8348.5200
  6.6500000      -0.12380487E-01   0.22707406E-02    8348.5200
  6.7000000      -0.14259546E-01   0.20133990E-02    8348.5200
  6.7500000      -0.16962059E-01   0.22610366E-02    8348.5200
  6.8000000      -0.19305105E-01   0.25086742E-02    8348.5200
  6.8500000      -0.21001720E-01   0.27563119E-02    8348.5200
  6.9000000      -0.21009250E-01   0.29069756E-02    8348.5200
  6.9500000      -0.18800914E-01   0.26776710E-02    8348.5200
  7.0000000      -0.16229602E-01   0.24483664E-02    8348.5200
  7.0500000      -0.13846577E-01   0.22190618E-02    8348.5200
