en	        mu	        mu_err
11036.00	92.51026	0.08510
12040.01	73.01307	0.11698
13043.39	58.81720	0.04462
14046.18	47.96749	0.05483
15048.51	39.74684	0.04816
16051.73	33.29793	0.01989
17054.14	28.14823	0.02733
18056.75	24.07470	0.01245
19061.00	20.73633	0.01068
20063.42	18.01921	0.00656
21067.64	15.71199	0.01208
22069.92	13.84468	0.01339
23073.15	12.22365	0.01283
24077.21	10.84970	0.00819
25077.51	9.672030	0.00833
25226.74	9.539710	0.00680
25326.94	9.492880	0.00814
25375.73	9.524320	0.00750
25426.19	9.654580	0.00764
25446.78	9.759660	0.00679
25465.92	10.00447	0.01124
25475.96	10.21109	0.00771
25485.40	10.56020	0.00900
25494.85	11.10524	0.01063
25500.17	11.72165	0.01341
25505.20	12.68000	0.01864
25510.23	15.38434	0.06918
25514.97	21.81980	0.14414
25519.70	33.93610	0.23921
25524.44	46.40817	0.32161
25529.77	55.13319	0.10855
25535.11	57.49031	0.06626
25539.86	55.76678	0.08374
25544.90	56.40066	0.09322
25550.83	60.52909	0.08806
25555.87	61.47047	0.10944
25561.52	57.83580	0.07854
25566.57	55.83399	0.06295
25576.68	58.93199	0.12383
25586.80	62.39733	0.07259
25596.92	58.80546	0.10439
25606.76	57.34577	0.06390
25616.31	59.17164	0.05252
25626.16	60.43574	0.07306
25635.71	59.98544	0.06499
25645.58	58.64712	0.05892
25655.75	58.55406	0.08025
25665.33	59.58414	0.06667
25675.23	59.57041	0.07025
25686.02	58.94916	0.06276
25695.92	58.42476	0.05227
25706.44	58.06509	0.06692
25717.25	58.10355	0.09452
25727.19	58.76484	0.07978
25742.54	58.81336	0.05177
25757.02	57.72444	0.08652
25771.81	57.05421	0.04175
25786.02	57.19843	0.08805
25800.84	57.69579	0.07000
25815.69	57.50992	0.25588
25831.15	57.00197	0.36820
25846.34	56.30230	0.44440
25862.45	56.76116	0.15173
25877.97	56.40370	0.06875
25898.39	56.61895	0.12661
25917.94	56.57195	0.40476
26081.20	54.94223	0.09922
26181.85	54.21451	0.07127
26281.08	53.71202	0.09491
26382.99	53.06286	0.05966
26483.13	52.38438	0.07713
26583.09	51.79782	0.26711
26687.69	51.41074	0.19777
26887.24	50.01773	0.08282
27087.17	48.99170	0.09287
27288.41	47.85697	0.13899
27490.98	46.82120	0.23574
27692.07	46.15385	0.39850
27891.89	44.72360	0.53072
28090.34	44.66889	1.05485
