# data from ifeffit
#------------------------
#   k         chi         dchi         e0
  0.51177812E-01   0.61819302E-01   0.45155276E-03    8330.5100
  0.35824469       0.11603829       0.34420451E-03    8330.5100
  0.51177812       0.15602216       0.40029784E-03    8330.5100
  0.62679763       0.18681943       0.56507725E-03    8330.5100
  0.72557072       0.20375312       0.26284575E-03    8330.5100
  0.81080903       0.20978699       0.41998540E-03    8330.5100
  0.88494710       0.20879990       0.56377288E-03    8330.5100
  0.95744920       0.19726160       0.41082632E-03    8330.5100
  1.0235562       0.18500952       0.41692778E-03    8330.5100
  1.0868509       0.16545523       0.41458428E-03    8330.5100
  1.1432257       0.14864407       0.40845722E-03    8330.5100
  1.1991345       0.12538485       0.28078488E-03    8330.5100
  1.2535953       0.10572052       0.33986276E-03    8330.5100
  1.3057866       0.78655116E-01   0.45278408E-03    8330.5100
  1.3530701       0.58170851E-01   0.57816101E-03    8330.5100
  1.4475271       0.22217669E-01   0.48551067E-03    8330.5100
  1.5361871      -0.49677981E-02   0.36265524E-03    8330.5100
  1.6981474      -0.56421989E-01   0.40592716E-03    8330.5100
  1.6981474      -0.54160915E-01   0.43892648E-03    8330.5100
  1.8459518      -0.68640915E-01   0.38505620E-03    8330.5100
  1.9814473      -0.74596943E-01   0.46701938E-03    8330.5100
  2.1094945      -0.79525857E-01   0.45923261E-03    8330.5100
  2.2302020      -0.10285028       0.46844054E-03    8330.5100
  2.3452620      -0.12232109       0.39634092E-03    8330.5100
  2.4544017      -0.14648831       0.35750253E-03    8330.5100
  2.5594023      -0.15304493       0.62299727E-03    8330.5100
  2.6587846      -0.14695317       0.37728800E-03    8330.5100
  2.7560095      -0.12536841       0.55836345E-03    8330.5100
  2.8499196      -0.87207215E-01   0.50213850E-03    8330.5100
  2.9394960      -0.48133995E-01   0.65675015E-03    8330.5100
  3.0277202       0.52042820E-03   0.58167721E-03    8330.5100
  3.1134454       0.37104559E-01   0.48117814E-03    8330.5100
  3.1956436       0.71957726E-01   0.50975261E-03    8330.5100
  3.2773785       0.91301885E-01   0.57297527E-03    8330.5100
  3.3555633       0.10631709       0.60182107E-03    8330.5100
  3.4334935       0.11136508       0.63084114E-03    8330.5100
  3.5085741       0.11321425       0.37334836E-03    8330.5100
  3.5820813       0.11236858       0.44410848E-03    8330.5100
  3.6551851       0.11050443       0.47309555E-03    8330.5100
  3.7258010       0.10862221       0.45089757E-03    8330.5100
  3.7951031       0.10472924       0.40583820E-03    8330.5100
  3.8641790       0.10086378       0.64641766E-03    8330.5100
  3.9310424       0.94603668E-01   0.48135222E-03    8330.5100
  3.9971149       0.87864676E-01   0.42061709E-03    8330.5100
  4.0617905       0.77396861E-01   0.38739710E-03    8330.5100
  4.1257697       0.67623057E-01   0.47082940E-03    8330.5100
  4.1887719       0.55569257E-01   0.49249991E-03    8330.5100
  4.2505322       0.44968903E-01   0.47896624E-03    8330.5100
  4.3126228       0.30635971E-01   0.39642445E-03    8330.5100
  4.3729337       0.19325732E-01   0.40012615E-03    8330.5100
  4.4318331       0.46069519E-02   0.42585029E-03    8330.5100
  4.4905432      -0.67572568E-02   0.36000804E-03    8330.5100
  4.5484956      -0.19121231E-01   0.53368695E-03    8330.5100
  4.6057188      -0.28178331E-01   0.51215889E-03    8330.5100
  4.6625206      -0.35202581E-01   0.47603057E-03    8330.5100
  4.7186387      -0.39944602E-01   0.41875992E-03    8330.5100
  4.7738229      -0.43693829E-01   0.27621962E-03    8330.5100
  4.8278339      -0.43689581E-01   0.54751696E-03    8330.5100
  4.8820521      -0.41753435E-01   0.54579725E-03    8330.5100
  4.9356748      -0.39306123E-01   0.41336559E-03    8330.5100
  4.9879336      -0.35911179E-01   0.40187132E-03    8330.5100
  5.0404300      -0.32785827E-01   0.36692775E-03    8330.5100
  5.0923852      -0.29694521E-01   0.31280487E-03    8330.5100
  5.1433065      -0.26912248E-01   0.53472010E-03    8330.5100
  5.1942328      -0.24587583E-01   0.31720050E-03    8330.5100
  5.2441652      -0.22919512E-01   0.31384389E-03    8330.5100
  5.2943688      -0.21399333E-01   0.43201843E-03    8330.5100
  5.3431205      -0.19657519E-01   0.41452075E-03    8330.5100
  5.3916742      -0.18513034E-01   0.52890894E-03    8330.5100
  5.4405168      -0.17390500E-01   0.46021020E-03    8330.5100
  5.4882090      -0.16564762E-01   0.44908337E-03    8330.5100
  5.5354902      -0.15140359E-01   0.24825051E-03    8330.5100
  5.5830748      -0.13401207E-01   0.38543630E-03    8330.5100
  5.6297920      -0.11663663E-01   0.40030412E-03    8330.5100
  5.6758940      -0.99766073E-02   0.51433393E-03    8330.5100
  5.7218534      -0.77304705E-02   0.39668555E-03    8330.5100
  5.7672195      -0.58991238E-02   0.50704881E-03    8330.5100
  5.8124568      -0.39575259E-02   0.35336361E-03    8330.5100
  5.8573448      -0.23369778E-02   0.42214678E-03    8330.5100
  5.9018914      -0.73708344E-03   0.51569435E-03    8330.5100
  5.9461042       0.41621862E-03   0.32395691E-03    8330.5100
  5.9899907       0.81518710E-03   0.45094391E-03    8330.5100
  6.0335580       0.72464641E-03   0.29320094E-03    8330.5100
  6.0768130       0.58354147E-03   0.59943814E-03    8330.5100
  6.1199762      -0.95326371E-03   0.29705099E-03    8330.5100
  6.1626247      -0.15944849E-02   0.53399014E-03    8330.5100
  6.2051910      -0.38784819E-02   0.45007774E-03    8330.5100
  6.2472578      -0.52018412E-02   0.52520456E-03    8330.5100
  6.2886266      -0.72828304E-02   0.39803995E-03    8330.5100
  6.3303458      -0.84646798E-02   0.39532875E-03    8330.5100
  6.3717918      -0.10123904E-01   0.60153656E-03    8330.5100
  6.4123573      -0.11469611E-01   0.51536755E-03    8330.5100
  6.4532766      -0.13091304E-01   0.45787646E-03    8330.5100
  6.4939381      -0.13270255E-01   0.43666119E-03    8330.5100
  6.5337453      -0.14207968E-01   0.58391653E-03    8330.5100
  6.5741082      -0.14749847E-01   0.46293067E-03    8330.5100
  6.6134329      -0.20222840E-01   0.56516071E-03    8330.5100
  6.8085728      -0.20021822E-01   0.37912038E-03    8330.5100
  6.9986477      -0.18603579E-01   0.46833262E-03    8330.5100
  7.1831483      -0.11141647E-01   0.45903259E-03    8330.5100
  7.3633828      -0.45849475E-02   0.60708385E-03    8330.5100
  7.5391362       0.36190378E-02   0.35284825E-03    8330.5100
  7.7107149       0.71981171E-02   0.31941660E-03    8330.5100
  7.8785579       0.10803463E-01   0.62645560E-03    8330.5100
  8.0432246       0.10145943E-01   0.48116023E-03    8330.5100
  8.2045871       0.13325771E-01   0.41302597E-03    8330.5100
  8.3625235       0.10686106E-01   0.54358651E-03    8330.5100
  8.3625235       0.14292336E-01   0.46854087E-03    8330.5100
  8.5175318       0.94793143E-02   0.38117222E-03    8330.5100
  8.6700712       0.75580094E-02   0.39597518E-03    8330.5100
  8.8198245       0.84440902E-02   0.42988715E-03    8330.5100
  8.9670771       0.67109014E-02   0.40332705E-03    8330.5100
  9.1118067       0.86991916E-02   0.43070733E-03    8330.5100
  9.2545561       0.75730575E-02   0.47243815E-03    8330.5100
  9.3949975       0.86379671E-02   0.42149800E-03    8330.5100
  9.5332328       0.78817727E-02   0.40101098E-03    8330.5100
  9.6698983       0.90994974E-02   0.36684312E-03    8330.5100
  9.8039913       0.63856808E-02   0.57926765E-03    8330.5100
  9.9366701       0.61903372E-02   0.51251925E-03    8330.5100
  10.067991       0.28406233E-02   0.37532920E-03    8330.5100
  10.196978       0.25044332E-02   0.32423413E-03    8330.5100
  10.324608      -0.12502287E-02   0.43079111E-03    8330.5100
  10.450680      -0.17890874E-02   0.61165493E-03    8330.5100
  10.575496      -0.46014796E-02   0.48841425E-03    8330.5100
  10.698244      -0.47155030E-02   0.38154370E-03    8330.5100
  10.819963      -0.69787060E-02   0.44345331E-03    8330.5100
  10.940686      -0.10237347E-01   0.31744918E-03    8330.5100
  10.940686      -0.66145064E-02   0.58732295E-03    8330.5100
  11.059500       0.53084574E-02   0.59674823E-03    8330.5100
  11.177286       0.50642746E-02   0.45202057E-03    8330.5100
  11.293727       0.29141248E-02   0.46207983E-03    8330.5100
  11.409324       0.31936579E-02   0.41996503E-03    8330.5100
  11.523648       0.12299218E-02   0.48445882E-03    8330.5100
  11.636624       0.19737556E-02   0.51389310E-03    8330.5100
  11.748513      -0.63868242E-03   0.57984012E-03    8330.5100
  11.859568      -0.46100806E-03   0.48922342E-03    8330.5100
  11.969483      -0.25331900E-02   0.49188608E-03    8330.5100
  12.078614      -0.16354548E-02   0.47926287E-03    8330.5100
  12.186231      -0.39445524E-02   0.63112630E-03    8330.5100
  12.293226      -0.30441858E-02   0.42344083E-03    8330.5100
  12.399508      -0.47394955E-02   0.54182072E-03    8330.5100
  12.504469      -0.37718658E-02   0.56849157E-03    8330.5100
  12.608763      -0.57153989E-02   0.54359557E-03    8330.5100
  12.712408      -0.40491349E-02   0.52792107E-03    8330.5100
