# data from ifeffit
#------------------------
#   energy         xmu         bkg         k
  7500.0100        1.2641450       0.79862781E-01   0.51177812E-01
  7500.0100        1.2661440       0.83411470E-01   0.35824469
  8000.0100        1.0441090       0.14795710E-01   0.51177812
  8100.0100        1.0009410       0.26214959E-02   0.62679763
  8180.0100       0.97563600       0.21115245E-02   0.72557072
  8219.9900       0.95842900      -0.27041599E-02   0.81080903
  8259.9900       0.94781400      -0.92164558E-03   0.88494710
  8300.0100       0.93612600      -0.20593251E-03   0.95744920
  8300.0100       0.93803200       0.17202134E-02    1.0235562
  8306.5100       0.93751000       0.31926636E-02    1.0868509
  8306.9900       0.93742800       0.32594337E-02    1.1432257
  8307.4900       0.93765300       0.36394027E-02    1.1991345
  8307.9900       0.93749500       0.36363716E-02    1.2535953
  8308.4900       0.93769600       0.39923405E-02    1.3057866
  8309.0000       0.93777500       0.42294088E-02    1.3530701
  8309.5000       0.93810300       0.47123778E-02    1.4475271
  8310.0000       0.93842100       0.51853467E-02    1.5361871
  8310.5100       0.93864600       0.55684150E-02    1.6981474
  8311.0100       0.93878700       0.58643839E-02    1.6981474
  8311.5100       0.93922400       0.64563529E-02    1.8459518
  8311.9900       0.93912200       0.65031230E-02    1.9814473
  8312.4900       0.93959900       0.71350920E-02    2.1094945
  8312.9900       0.93989600       0.75870609E-02    2.2302020
  8313.5000       0.94012300       0.79721292E-02    2.3452620
  8314.0000       0.94063200       0.86360981E-02    2.4544017
  8314.5100       0.94110800       0.92701664E-02    2.5594023
  8315.0100       0.94227800       0.10595135E-01    2.6587846
  8315.5100       0.94381700       0.12289104E-01    2.7560095
  8315.9900       0.94536600       0.13986874E-01    2.8499196
  8316.4900       0.94866300       0.17438843E-01    2.9394960
  8317.0000       0.95220900       0.21142912E-01    3.0277202
  8317.5000       0.95645900       0.25547881E-01    3.1134454
  8318.0000       0.95861300       0.27856850E-01    3.1956436
  8318.5100       0.95909000       0.28491918E-01    3.2773785
  8319.0100       0.95931900       0.28875887E-01    3.3555633
  8319.4900       0.95796000       0.27665657E-01    3.4334935
  8319.9900       0.95665100       0.26511626E-01    3.5085741
  8320.5000       0.95595800       0.25976694E-01    3.5820813
  8321.0000       0.95643700       0.26610663E-01    3.6551851
  8321.5100       0.95839100       0.28722731E-01    3.7258010
  8322.0100       0.96135000       0.31836700E-01    3.7951031
  8322.4900       0.96611000       0.36745471E-01    3.8641790
  8322.9900       0.97217800       0.42968439E-01    3.9310424
  8323.5000       0.98286600       0.53814508E-01    3.9971149
  8324.0000       0.99646700       0.67570477E-01    4.0617905
  8324.5100        1.0175050       0.88766545E-01    4.1257697
  8325.0100        1.0420250       0.11344151        4.1887719
  8325.4900        1.0747340       0.14629928        4.2505322
  8325.9900        1.1108520       0.18257225        4.3126228
  8326.5000        1.1570510       0.22892932        4.3729337
  8327.0000        1.2042760       0.27630929        4.4318331
  8327.5100        1.2620450       0.33423636        4.4905432
  8328.0100        1.3171940       0.38954033        4.5484956
  8328.4900        1.3807470       0.45324210        4.6057188
  8328.4900        1.3829140       0.45541536        4.6625206
  8330.5100        1.6657930       0.79871014        4.7186387
  8330.9900        1.7259820       0.95385004        4.7738229
  8331.4900        1.7940550       0.94910815        4.8278339
  8332.0000        1.8525270       0.94432600        4.8820521
  8332.5100        1.9175690       0.93959866        4.9356748
  8333.0100        1.9649380       0.93501695        4.9879336
  8333.4900        2.0067110       0.93066754        5.0404300
  8334.0000        2.0335330       0.92609865        5.0923852
  8334.5000        2.0514600       0.92167142        5.1433065
  8335.0100        2.0559630       0.91720846        5.1942328
  8335.5100        2.0506300       0.91288452        5.2441652
  8335.9900        2.0394900       0.90878125        5.2943688
  8336.5000        2.0187600       0.90447244        5.3431205
  8337.0000        1.9976860       0.90029877        5.3916742
  8337.5100        1.9704900       0.89609300        5.4405168
  8337.9900        1.9467140       0.89218176        5.4882090
  8338.4900        1.9174940       0.88815586        5.5354902
  8339.0000        1.8916400       0.88409994        5.5830748
  8339.5100        1.8600140       0.88009473        5.6297920
  8339.9900        1.8349640       0.87637117        5.6758940
  8341.0000        1.7896770       0.86868089        5.7218534
  8342.0100        1.7532920       0.86118487        5.7672195
  8344.0100        1.6877030       0.84690534        5.8124568
  8344.0100        1.6893030       0.84676628        5.8573448
  8346.0100        1.6570600       0.83336032        5.9018914
  8347.9900        1.6341930       0.82065656        5.9461042
  8349.9900        1.6142660       0.80851949        5.9899907
  8351.9900        1.5831090       0.79706291        6.0335580
  8354.0000        1.5571270       0.78621642        6.0768130
  8356.0000        1.5300270       0.77606979        6.1199762
  8358.0100        1.5172350       0.76650330        6.1626247
  8359.9900        1.5149320       0.75768013        6.2051910
  8362.0000        1.5243900       0.74931480        6.2472578
  8364.0100        1.5462970       0.74152719        6.2886266
  8365.9900        1.5696970       0.73440282        6.3303458
  8368.0000        1.6004590       0.72770768        6.3717918
  8370.0100        1.6238380       0.72153551        6.4123573
  8371.9900        1.6469860       0.71594894        6.4532766
  8374.0100        1.6603220       0.71073593        6.4939381
  8375.9900        1.6714040       0.70608511        6.5337453
  8378.0100        1.6762140       0.70179026        6.5741082
  8380.0000        1.6792270       0.69798555        6.6134329
  8381.9900        1.6805190       0.69458611        6.8085728
  8384.0100        1.6811890       0.69153162        6.9986477
  8386.0000        1.6816650       0.68889478        7.1831483
  8387.9900        1.6807650       0.68660954        7.3633828
  8390.0100        1.6796550       0.68463116        7.5391362
  8392.0000        1.6768560       0.68300037        7.7107149
  8394.0000        1.6735100       0.68166155        7.8785579
  8395.9900        1.6675120       0.68061020        8.0432246
  8397.9900        1.6617990       0.67981777        8.2045871
  8399.9900        1.6543970       0.67927217        8.3625235
  8401.9800        1.6478690       0.67895637        8.3625235
  8404.0100        1.6386570       0.67884911        8.5175318
  8406.0100        1.6313940       0.67893740        8.6700712
  8407.9900        1.6216260       0.67919662        8.8198245
  8409.9900        1.6141170       0.67961410        8.9670771
  8411.9900        1.6057840       0.68016999        9.1118067
  8413.9900        1.5996660       0.68084621        9.2545561
  8416.0000        1.5949930       0.68162882        9.3949975
  8418.0100        1.5918230       0.68249639        9.5332328
  8420.0100        1.5896880       0.68342578        9.6698983
  8421.9900        1.5897620       0.68439310        9.8039913
  8424.0000        1.5912140       0.68540505        9.9366701
  8426.0100        1.5928940       0.68642895        10.067991
  8427.9900        1.5952500       0.68743141        10.196978
  8430.0000        1.5972550       0.68842559        10.324608
  8432.0100        1.5993170       0.68938943        10.450680
  8434.0000        1.6009970       0.69031392        10.575496
  8436.0100        1.6023220       0.69121790        10.698244
  8438.0000        1.6030670       0.69208362        10.819963
  8440.0200        1.6037690       0.69293289        10.940686
  8442.0000        1.6044900       0.69373672        10.940686
  8443.9900        1.6047880       0.69451633        11.059500
  8446.0100        1.6049430       0.69527894        11.177286
  8448.0000        1.6048840       0.69600215        11.293727
  8449.9900        1.6051770       0.69669775        11.409324
  8452.0100        1.6056620       0.69737585        11.523648
  8454.0100        1.6060600       0.69801971        11.636624
  8456.0000        1.6064290       0.69863342        11.748513
  8458.0000        1.6070960       0.69922340        11.859568
  8459.9900        1.6074370       0.69978400        11.969483
  8461.9900        1.6077820       0.70032111        12.078614
  8463.9900        1.6079520       0.70083208        12.186231
  8465.9900        1.6079770       0.70131718        12.293226
  8467.9900        1.6076960       0.70177666        12.399508
  8469.9900        1.6068270       0.70221077        12.504469
  8471.9900        1.6055700       0.70261975        12.608763
  8473.9900        1.6042110       0.70300387        12.712408
  8476.0000        1.6018600       0.70336512        12.814806
  8478.0000        1.6000740       0.70370014        12.916594
  8480.0100        1.5971360       0.70401254        13.017789
  8482.0100        1.5947860       0.70429948        13.117803
  8483.9900        1.5919660       0.70456029        13.217258
  8486.0000        1.5897220       0.70480165        13.414250
  8488.0100        1.5871210       0.70501967        13.607910
  8489.9900        1.5846970       0.70521188        13.799042
  8492.0000        1.5820770       0.70538434        13.987468
  8494.0100        1.5804120       0.70553423        14.173482
  8495.9900        1.5782170       0.70566007        14.357360
  8498.0100        1.5762150       0.70576640        14.538373
  8499.9900        1.5711450       0.70584924        14.717603
  8509.9900        1.5631490       0.70595317        14.894590
  8520.0100        1.5558730       0.70555389        15.069237
  8530.0000        1.5525940       0.70468566        15.242055
  8540.0100        1.5487290       0.70337639        15.412766
  8550.0100        1.5461730       0.70166089        15.582110
  8560.0000        1.5407790       0.69957185        15.749052
  8569.9900        1.5356250       0.69713915        15.914654
  8580.0000        1.5278890       0.69438844        17.483123
  8590.0100        1.5229270       0.69135585        18.921954
  8600.0000        1.5136710       0.68807978        20.258981
