# data from ifeffit
#------------------------
#   energy         xmu         bkg         k
  7500.0100        8330.5100       0.30296882E-01    0.0000000
  7500.0100        8330.5100       0.34208658E-01   0.50000000E-01
  8000.0100        8330.5100       0.15128703E-02   0.10000000
  8100.0100        8330.5100      -0.34039581E-02   0.15000000
  8180.0100        8330.5100       0.18910878E-02   0.20000000
  8330.5100        8330.5100      -0.23329808E-04   0.25000000
  8330.5100        8330.5100       0.46618127E-02   0.30000000
  8330.5100        8330.5100       0.82813432E-02   0.35000000
  8330.5100        8330.5100       0.10212242E-01   0.40000000
  8330.5100        8330.5100       0.12151975E-01   0.45000000
  8330.5100        8330.5100       0.12253930E-01   0.50000000
  8330.5100        8330.5100       0.12670064E-01   0.55000000
  8330.5100        8330.5100       0.12703319E-01   0.60000000
  8330.5100        8330.5100       0.13095018E-01   0.65000000
  8330.5100        8330.5100       0.13369001E-01   0.70000000
  8330.5100        8330.5100       0.13888764E-01   0.75000000
  8330.5100        8330.5100       0.14397982E-01   0.80000000
  8330.5100        8330.5100       0.14817684E-01   0.85000000
  8330.5100        8330.5100       0.15150259E-01   0.90000000
  8330.5100        8330.5100       0.15778743E-01   0.95000000
  8330.5100        8330.5100       0.15860310E-01    1.0000000
  8330.5100        8330.5100       0.16528300E-01    1.0500000
  8330.5100        8330.5100       0.17016651E-01    1.1000000
  8330.5100        8330.5100       0.17438240E-01    1.1500000
  8330.5100        8330.5100       0.18139148E-01    1.2000000
  8330.5100        8330.5100       0.18809719E-01    1.2500000
  8330.5100        8330.5100       0.20170994E-01    1.3000000
  8330.5100        8330.5100       0.21901004E-01    1.3500000
  8330.5100        8330.5100       0.23633615E-01    1.4000000
  8330.5100        8330.5100       0.27122116E-01    1.4500000
  8330.5100        8330.5100       0.30863633E-01    1.5000000
  8330.5100        8330.5100       0.35304709E-01    1.5500000
  8330.5100        8330.5100       0.37649528E-01    1.6000000
  8330.5100        8330.5100       0.38321493E-01    1.6500000
  8330.5100        8330.5100       0.38741687E-01    1.7000000
  8330.5100        8330.5100       0.37566798E-01    1.7500000
  8330.5100        8330.5100       0.36448827E-01    1.8000000
  8330.5100        8330.5100       0.35951379E-01    1.8500000
  8330.5100        8330.5100       0.36621334E-01    1.9000000
  8330.5100        8330.5100       0.38770105E-01    1.9500000
  8330.5100        8330.5100       0.41920779E-01    2.0000000
  8330.5100        8330.5100       0.46864049E-01    2.0500000
  8330.5100        8330.5100       0.53123639E-01    2.1000000
  8330.5100        8330.5100       0.64006641E-01    2.1500000
  8330.5100        8330.5100       0.77798673E-01    2.2000000
  8330.5100        8330.5100       0.99031648E-01    2.2500000
  8330.5100        8330.5100       0.12374292        2.3000000
  8330.5100        8330.5100       0.15663538        2.3500000
  8330.5100        8330.5100       0.19294543        2.4000000
  8330.5100        8330.5100       0.23933904        2.4500000
  8330.5100        8330.5100       0.28675545        2.5000000
  8330.5100        8330.5100       0.34471905        2.5500000
  8330.5100        8330.5100       0.40005923        2.6000000
  8330.5100        8330.5100       0.46379674        2.6500000
  8330.5100        8330.5100       0.46597082        2.7000000
  8330.5100        8330.5100       0.80770949        2.7500000
  8330.5100        8330.5100       0.96468202        2.8000000
  8330.5100        8330.5100       0.95997428        2.8500000
  8330.5100        8330.5100       0.95522698        2.9000000
  8330.5100        8330.5100       0.95053453        2.9500000
  8330.5100        8330.5100       0.94598704        3.0000000
  8330.5100        8330.5100       0.94167051        3.0500000
  8330.5100        8330.5100       0.93713657        3.1000000
  8330.5100        8330.5100       0.93274363        3.1500000
  8330.5100        8330.5100       0.92831569        3.2000000
  8330.5100        8330.5100       0.92402609        3.2500000
  8330.5100        8330.5100       0.91995580        3.3000000
  8330.5100        8330.5100       0.91568208        3.3500000
  8330.5100        8330.5100       0.91154282        3.4000000
  8330.5100        8330.5100       0.90737217        3.4500000
  8330.5100        8330.5100       0.90349401        3.5000000
  8330.5100        8330.5100       0.89950259        3.5500000
  8330.5100        8330.5100       0.89548187        3.6000000
  8330.5100        8330.5100       0.89151188        3.6500000
  8330.5100        8330.5100       0.88782149        3.7000000
  8330.5100        8330.5100       0.88020106        3.7500000
  8330.5100        8330.5100       0.87277499        3.8000000
  8330.5100        8330.5100       0.85863423        3.8500000
  8330.5100        8330.5100       0.85849656        3.9000000
  8330.5100        8330.5100       0.84522833        3.9500000
  8330.5100        8330.5100       0.83266262        4.0000000
  8330.5100        8330.5100       0.82066531        4.0500000
  8330.5100        8330.5100       0.80934882        4.1000000
  8330.5100        8330.5100       0.79864342        4.1500000
  8330.5100        8330.5100       0.78863749        4.2000000
  8330.5100        8330.5100       0.77921269        4.2500000
  8330.5100        8330.5100       0.77052938        4.3000000
  8330.5100        8330.5100       0.76230629        4.3500000
  8330.5100        8330.5100       0.75466120        4.4000000
  8330.5100        8330.5100       0.74767747        4.4500000
  8330.5100        8330.5100       0.74112536        4.5000000
  8330.5100        8330.5100       0.73509646        4.5500000
  8330.5100        8330.5100       0.72965124        4.6000000
  8330.5100        8330.5100       0.72458268        4.6500000
  8330.5100        8330.5100       0.72007365        4.7000000
  8330.5100        8330.5100       0.71592367        4.7500000
  8330.5100        8330.5100       0.71226187        4.8000000
  8330.5100        8330.5100       0.70900554        4.8500000
  8330.5100        8330.5100       0.70609649        4.9000000
  8330.5100        8330.5100       0.70360310        4.9500000
  8330.5100        8330.5100       0.70146149        5.0000000
  8330.5100        8330.5100       0.69962905        5.0500000
  8330.5100        8330.5100       0.69814218        5.1000000
  8330.5100        8330.5100       0.69694815        5.1500000
  8330.5100        8330.5100       0.69604099        5.2000000
  8330.5100        8330.5100       0.69539361        5.2500000
  8330.5100        8330.5100       0.69499316        5.3000000
  8330.5100        8330.5100       0.69482190        5.3500000
  8330.5100        8330.5100       0.69486217        5.4000000
  8330.5100        8330.5100       0.69509591        5.4500000
  8330.5100        8330.5100       0.69549921        5.5000000
  8330.5100        8330.5100       0.69606229        5.5500000
  8330.5100        8330.5100       0.69676385        5.6000000
  8330.5100        8330.5100       0.69758579        5.6500000
  8330.5100        8330.5100       0.69851490        5.7000000
  8330.5100        8330.5100       0.69952901        5.7500000
  8330.5100        8330.5100       0.70060424        5.8000000
  8330.5100        8330.5100       0.70171596        5.8500000
  8330.5100        8330.5100       0.70287452        5.9000000
  8330.5100        8330.5100       0.70404503        5.9500000
  8330.5100        8330.5100       0.70519190        6.0000000
  8330.5100        8330.5100       0.70633268        6.0500000
  8330.5100        8330.5100       0.70744310        6.1000000
  8330.5100        8330.5100       0.70851270        6.1500000
  8330.5100        8330.5100       0.70956323        6.2000000
  8330.5100        8330.5100       0.71057404        6.2500000
  8330.5100        8330.5100       0.71157056        6.3000000
  8330.5100        8330.5100       0.71251872        6.3500000
  8330.5100        8330.5100       0.71344337        6.4000000
  8330.5100        8330.5100       0.71435320        6.4500000
  8330.5100        8330.5100       0.71522142        6.5000000
  8330.5100        8330.5100       0.71606202        6.5500000
  8330.5100        8330.5100       0.71688730        6.6000000
  8330.5100        8330.5100       0.71767686        6.6500000
  8330.5100        8330.5100       0.71843554        6.7000000
  8330.5100        8330.5100       0.71917120        6.7500000
  8330.5100        8330.5100       0.71987674        6.8000000
  8330.5100        8330.5100       0.72055949        6.8500000
  8330.5100        8330.5100       0.72121611        6.9000000
  8330.5100        8330.5100       0.72184684        6.9500000
  8330.5100        8330.5100       0.72245194        7.0000000
  8330.5100        8330.5100       0.72303165        7.0500000
  8330.5100        8330.5100       0.72358623        7.1000000
  8330.5100        8330.5100       0.72411593        7.1500000
  8330.5100        8330.5100       0.72462347        7.2000000
  8330.5100        8330.5100       0.72510405        7.2500000
  8330.5100        8330.5100       0.72556273        7.3000000
  8330.5100        8330.5100       0.72599520        7.3500000
  8330.5100        8330.5100       0.72640009        7.4000000
  8330.5100        8330.5100       0.72678768        7.4500000
  8330.5100        8330.5100       0.72715194        7.5000000
  8330.5100        8330.5100       0.72748818        7.5500000
  8330.5100        8330.5100       0.72780685        7.6000000
  8330.5100        8330.5100       0.72810294        7.6500000
  8330.5100        8330.5100       0.72837278        7.7000000
  8330.5100        8330.5100       0.72862601        7.7500000
  8330.5100        8330.5100       0.72885284        7.8000000
  8330.5100        8330.5100       0.72968381        7.8500000
  8330.5100        8330.5100       0.73001279        7.9000000
  8330.5100        8330.5100       0.72987040        7.9500000
  8330.5100        8330.5100       0.72928823        8.0000000
  8330.5100        8330.5100       0.72829889        8.0500000
  8330.5100        8330.5100       0.72693510        8.1000000
  8330.5100        8330.5100       0.72522749        8.1500000
  8330.5100        8330.5100       0.72320315        8.2000000
  8330.5100        8330.5100       0.72089680        8.2500000
  8330.5100        8330.5100       0.71834539        8.3000000
  8330.5100        8330.5100       0.71831873        8.3500000
  8330.5100        8330.5100       0.71557602        8.4000000
  8330.5100        8330.5100       0.71261403        8.4500000
  8330.5100        8330.5100       0.70949956        8.5000000
  8330.5100        8330.5100       0.70626126        8.5500000
  8330.5100        8330.5100       0.70293404        8.6000000
  8330.5100        8330.5100       0.69953932        8.6500000
