# data from ifeffit
#------------------------
#   pre         bkg         e0
  16.892204        16.892204        20006.008
  11.438516        11.438516        20006.008
  5.9736567        5.9736567        20006.008
  5.6113259        5.6113259        20006.008
  5.2554604        5.2554604        20006.008
  4.8963869        4.8963869        20006.008
  4.5371406        4.5371406        20006.008
  4.1832079        4.1832079        20006.008
  3.8170185        3.8170185        20006.008
  3.4680592        3.4680592        20006.008
  3.1169074        3.1169074        20006.008
  2.7598901        2.7598901        20006.008
  2.4006562        2.4006562        20006.008
  2.0517724        2.0517724        20006.008
  1.6979976        1.6979976        20006.008
  1.3521262        1.3521262        20006.008
  1.0071278        1.0071278        20006.008
  0.66960792       0.66960792        20006.008
  0.35009070       0.35009070        20006.008
  0.47258745E-01   0.47258744E-01    20006.008
  -0.24056747      -0.24056747        20006.008
  -0.48427100      -0.48427101        20006.008
  -0.22144751E-01  -0.22144752E-01    20006.008
  0.20252766E-01   0.20252766E-01    20006.008
  0.55132025E-01   0.55132025E-01    20006.008
  0.10723615       0.10723615        20006.008
  0.16701283       0.16701283        20006.008
  0.21747759       0.21747759        20006.008
  0.30967687       0.30967687        20006.008
  0.43780525       0.43780525        20006.008
  0.36895607       0.36895607        20006.008
  0.38511349       0.38511349        20006.008
  0.35735011       0.35735011        20006.008
  0.49513971       0.49513971        20006.008
  0.57594203       0.57594203        20006.008
  0.74086638       0.74086638        20006.008
  0.75937412       0.75937412        20006.008
  0.86785431       0.86785431        20006.008
  0.98209084       0.98209084        20006.008
  1.1989942        1.1989942        20006.008
  1.3590782        1.3590782        20006.008
  1.5026052        1.5026052        20006.008
  1.6376424        1.6376424        20006.008
  1.8035303        1.8035303        20006.008
  2.0229882        2.0229882        20006.008
  2.2295438        2.2295438        20006.008
  2.5005461        2.5005461        20006.008
  2.6533591        2.6533591        20006.008
  3.3192118        3.3192118        20006.008
  3.5776639        3.5776639        20006.008
  6.1708468        6.1708468        20006.008
  7.0851438        7.0851438        20006.008
  8.3800517        8.3800517        20006.008
  9.7134341        9.7134341        20006.008
  11.409175        11.409175        20006.008
  13.300609        13.300609        20006.008
  15.674538        15.674538        20006.008
  17.818947        17.818947        20006.008
  20.100182        20.100182        20006.008
  22.140365        22.140365        20006.008
  24.008171        24.008171        20006.008
  25.804867        25.804867        20006.008
  27.372168        27.372168        20006.008
  29.021669        29.021669        20006.008
  30.600790        30.600790        20006.008
  32.303596        32.303596        20006.008
  33.887534        33.887534        20006.008
  35.599686        35.599686        20006.008
  37.296947        37.296947        20006.008
  39.007231        39.007231        20006.008
  40.600848        40.600848        20006.008
  42.188594        42.188594        20006.008
  43.912707        43.912707        20006.008
  45.747239        45.747239        20006.008
  47.621762        47.621762        20006.008
  49.769551        49.769551        20006.008
  52.154299        52.154299        20006.008
  54.818304        54.818304        20006.008
