#------------------------
#   k         chi         dchi         e0
  0.0000000      -0.46173946       0.98042007E-03    7133.3000
  0.50000000E-01  -0.48836825       0.47145105E-03    7133.3000
  0.10000000      -0.51499704       0.41787728E-03    7133.3000
  0.15000000      -0.54162583       0.44166362E-03    7133.3000
  0.20000000      -0.56825461       0.45946697E-03    7133.3000
  0.25000000      -0.59488340       0.47629082E-03    7133.3000
  0.30000000      -0.60332779       0.49377581E-03    7133.3000
  0.35000000      -0.58307180       0.50889897E-03    7133.3000
  0.40000000      -0.56538792       0.52407955E-03    7133.3000
  0.45000000      -0.54853984       0.52179115E-03    7133.3000
  0.50000000      -0.52369707       0.53244938E-03    7133.3000
  0.55000000      -0.50512549       0.52746769E-03    7133.3000
  0.60000000      -0.48822267       0.52929485E-03    7133.3000
  0.65000000      -0.46961003       0.53192736E-03    7133.3000
  0.70000000      -0.45665019       0.53483276E-03    7133.3000
  0.75000000      -0.44736858       0.53427609E-03    7133.3000
  0.80000000      -0.44111638       0.54950191E-03    7133.3000
  0.85000000      -0.43745838       0.55796192E-03    7133.3000
  0.90000000      -0.42975909       0.56680508E-03    7133.3000
  0.95000000      -0.42272081       0.57847216E-03    7133.3000
  1.0000000      -0.40504570       0.59006992E-03    7133.3000
  1.0500000      -0.38554576       0.59640346E-03    7133.3000
  1.1000000      -0.35974005       0.62017684E-03    7133.3000
  1.1500000      -0.31839825       0.64272342E-03    7133.3000
  1.2000000      -0.27025329       0.66912172E-03    7133.3000
  1.2500000      -0.23715246       0.66954689E-03    7133.3000
  1.3000000      -0.19291760       0.68916919E-03    7133.3000
  1.3500000      -0.12866137       0.71921092E-03    7133.3000
  1.4000000      -0.69096971E-01   0.73077098E-03    7133.3000
  1.4500000      -0.25653987E-01   0.76608755E-03    7133.3000
  1.5000000       0.18205512E-01   0.77590993E-03    7133.3000
  1.5500000       0.58040134E-01   0.78065649E-03    7133.3000
  1.6000000       0.11018204       0.78702015E-03    7133.3000
  1.6500000       0.16156888       0.80978696E-03    7133.3000
  1.7000000       0.21816906       0.82772457E-03    7133.3000
  1.7500000       0.28289847       0.84118088E-03    7133.3000
