# data from ifeffit
#------------------------
#   k         chi         chi       dchi         win
  0.0000000      -0.10463997E-01  -0.67793791E-01   0.11186396E-01    0.0000000
  0.50000000E-01  -0.11314950E-01  -0.67654161E-01   0.10829291E-01    0.0000000
  0.10000000      -0.12415425E-01  -0.67234750E-01   0.10472186E-01    0.0000000
  0.15000000      -0.13722324E-01  -0.66533828E-01   0.10115081E-01    0.0000000
  0.20000000      -0.15192547E-01  -0.65548058E-01   0.97579766E-02    0.0000000
  0.25000000      -0.16782996E-01  -0.63993455E-01   0.94008717E-02    0.0000000
  0.30000000      -0.18450570E-01  -0.61955075E-01   0.90437669E-02    0.0000000
  0.35000000      -0.20152171E-01  -0.59515365E-01   0.86866620E-02    0.0000000
  0.40000000      -0.21844700E-01  -0.56660498E-01   0.83295572E-02    0.0000000
  0.45000000      -0.23485058E-01  -0.52977474E-01   0.79724523E-02    0.0000000
  0.50000000      -0.25030145E-01  -0.48527604E-01   0.76153475E-02    0.0000000
  0.55000000      -0.26436863E-01  -0.43540739E-01   0.72582426E-02    0.0000000
  0.60000000      -0.27662112E-01  -0.37493997E-01   0.69011377E-02    0.0000000
  0.65000000      -0.28662794E-01  -0.30511894E-01   0.65440329E-02    0.0000000
  0.70000000      -0.29395808E-01  -0.23022304E-01   0.61869280E-02    0.0000000
  0.75000000      -0.29818056E-01  -0.14248719E-01   0.58298232E-02    0.0000000
  0.80000000      -0.29886440E-01  -0.51079679E-02   0.54727183E-02    0.0000000
  0.85000000      -0.29557859E-01   0.45486045E-02   0.51156135E-02    0.0000000
  0.90000000      -0.28789214E-01   0.14561164E-01   0.47585086E-02    0.0000000
  0.95000000      -0.27537407E-01   0.24172643E-01   0.44014038E-02    0.0000000
  1.0000000      -0.25759338E-01   0.33767654E-01   0.40442989E-02    0.0000000
  1.0500000      -0.23411909E-01   0.42209755E-01   0.36871940E-02    0.0000000
  1.1000000      -0.20452020E-01   0.49617419E-01   0.33300892E-02    0.0000000
  1.1500000      -0.16836571E-01   0.55449964E-01   0.29729843E-02    0.0000000
  1.2000000      -0.12522465E-01   0.59750661E-01   0.26158795E-02    0.0000000
  1.2500000      -0.74713512E-02   0.62500784E-01   0.23644977E-02    0.0000000
  1.3000000      -0.18157944E-02   0.63825998E-01   0.22631733E-02    0.0000000
  1.3500000       0.40972687E-02   0.64048709E-01   0.21618488E-02    0.0000000
  1.4000000       0.99073179E-02   0.63513390E-01   0.20605244E-02    0.0000000
  1.4500000       0.15253833E-01   0.62527523E-01   0.19592000E-02    0.0000000
  1.5000000       0.19776294E-01   0.61323205E-01   0.18578756E-02    0.0000000
  1.5500000       0.23114181E-01   0.59732189E-01   0.17565511E-02    0.0000000
  1.6000000       0.24906973E-01   0.57690624E-01   0.16552267E-02    0.0000000
  1.6500000       0.24794150E-01   0.54435415E-01   0.15539023E-02    0.0000000
  1.7000000       0.22415193E-01   0.49751192E-01   0.14525779E-02    0.0000000
  1.7500000       0.17529574E-01   0.42598780E-01   0.14879095E-02    0.0000000
  1.8000000       0.10580108E-01   0.33226741E-01   0.15413196E-02    0.0000000
  1.8500000       0.22511590E-02   0.20715384E-01   0.15947297E-02    0.0000000
  1.9000000      -0.67726319E-02   0.63855452E-02   0.16481398E-02    0.0000000
  1.9500000      -0.15806622E-01  -0.78307262E-02   0.17015499E-02    0.0000000
  2.0000000      -0.24166171E-01  -0.20482775E-01   0.17549600E-02    0.0000000
  2.0500000      -0.31167744E-01  -0.30961245E-01   0.18027749E-02    0.0000000
  2.1000000      -0.36280709E-01  -0.38754101E-01   0.18326029E-02    0.0000000
  2.1500000      -0.39281975E-01  -0.44268055E-01   0.18624309E-02    0.0000000
  2.2000000      -0.39985314E-01  -0.47471272E-01   0.18922588E-02    0.0000000
  2.2500000      -0.38204496E-01  -0.47071961E-01   0.19220868E-02    0.0000000
  2.3000000      -0.33753293E-01  -0.43016147E-01   0.19519148E-02    0.0000000
  2.3500000      -0.26446969E-01  -0.36085658E-01   0.19713057E-02    0.0000000
  2.4000000      -0.16392204E-01  -0.26758530E-01   0.19506085E-02    0.0000000
  2.4500000      -0.43340185E-02  -0.14413412E-01   0.19299113E-02    0.0000000
  2.5000000       0.88980036E-02  -0.94076744E-04   0.19092142E-02    0.0000000
  2.5500000       0.22474279E-01   0.14781568E-01   0.18885170E-02    0.0000000
  2.6000000       0.35565224E-01   0.29087413E-01   0.18678198E-02    0.0000000
  2.6500000       0.47341254E-01   0.41680636E-01   0.18471227E-02    0.0000000
  2.7000000       0.56974958E-01   0.51067605E-01   0.19361053E-02    0.0000000
  2.7500000       0.63648080E-01   0.56157675E-01   0.20270804E-02    0.0000000
  2.8000000       0.66544782E-01   0.57208666E-01   0.21180556E-02    0.0000000
  2.8500000       0.64849225E-01   0.53297301E-01   0.22090307E-02    0.0000000
  2.9000000       0.57749923E-01   0.44581009E-01   0.22515423E-02    0.0000000
  2.9500000       0.45188510E-01   0.32120740E-01   0.21188183E-02    0.0000000
  3.0000000       0.28710593E-01   0.17479264E-01   0.19860943E-02    0.0000000
  3.0500000       0.10067446E-01   0.17836015E-02   0.18533703E-02    0.0000000
  3.1000000      -0.89896533E-02  -0.13415529E-01   0.17206463E-02    0.0000000
  3.1500000      -0.26715694E-01  -0.26823072E-01   0.16039188E-02    0.0000000
  3.2000000      -0.41836698E-01  -0.37677934E-01   0.15238975E-02    0.0000000
  3.2500000      -0.53869573E-01  -0.45362540E-01   0.14438762E-02    0.0000000
  3.3000000      -0.62406895E-01  -0.49962128E-01   0.13638549E-02    0.0000000
