natx =       79
    x       y        z       iph  
      0.00000      0.00000      0.00000   0
      1.80500      1.80500      0.00000   1
     -1.80500      1.80500      0.00000   1
      1.80500     -1.80500      0.00000   1
     -1.80500     -1.80500      0.00000   1
      1.80500      0.00000      1.80500   1
     -1.80500      0.00000      1.80500   1
      0.00000      1.80500      1.80500   1
      0.00000     -1.80500      1.80500   1
      1.80500      0.00000     -1.80500   1
     -1.80500      0.00000     -1.80500   1
      0.00000      1.80500     -1.80500   1
      0.00000     -1.80500     -1.80500   1
      3.61000      0.00000      0.00000   1
     -3.61000      0.00000      0.00000   1
      0.00000      3.61000      0.00000   1
      0.00000     -3.61000      0.00000   1
      0.00000      0.00000      3.61000   1
      0.00000      0.00000     -3.61000   1
      3.61000      1.80500      1.80500   1
     -3.61000      1.80500      1.80500   1
      1.80500      3.61000      1.80500   1
     -1.80500      3.61000      1.80500   1
      3.61000     -1.80500      1.80500   1
     -3.61000     -1.80500      1.80500   1
      1.80500     -3.61000      1.80500   1
     -1.80500     -3.61000      1.80500   1
      1.80500      1.80500      3.61000   1
     -1.80500      1.80500      3.61000   1
      1.80500     -1.80500      3.61000   1
     -1.80500     -1.80500      3.61000   1
      3.61000      1.80500     -1.80500   1
     -3.61000      1.80500     -1.80500   1
      1.80500      3.61000     -1.80500   1
     -1.80500      3.61000     -1.80500   1
      3.61000     -1.80500     -1.80500   1
     -3.61000     -1.80500     -1.80500   1
      1.80500     -3.61000     -1.80500   1
     -1.80500     -3.61000     -1.80500   1
      1.80500      1.80500     -3.61000   1
     -1.80500      1.80500     -3.61000   1
      1.80500     -1.80500     -3.61000   1
     -1.80500     -1.80500     -3.61000   1
      3.61000      3.61000      0.00000   1
     -3.61000      3.61000      0.00000   1
      3.61000     -3.61000      0.00000   1
     -3.61000     -3.61000      0.00000   1
      3.61000      0.00000      3.61000   1
     -3.61000      0.00000      3.61000   1
      0.00000      3.61000      3.61000   1
      0.00000     -3.61000      3.61000   1
      3.61000      0.00000     -3.61000   1
     -3.61000      0.00000     -3.61000   1
      0.00000      3.61000     -3.61000   1
      0.00000     -3.61000     -3.61000   1
      5.41500      1.80500      0.00000   1
     -5.41500      1.80500      0.00000   1
      1.80500      5.41500      0.00000   1
     -1.80500      5.41500      0.00000   1
      5.41500     -1.80500      0.00000   1
     -5.41500     -1.80500      0.00000   1
      1.80500     -5.41500      0.00000   1
     -1.80500     -5.41500      0.00000   1
      5.41500      0.00000      1.80500   1
     -5.41500      0.00000      1.80500   1
      0.00000      5.41500      1.80500   1
      0.00000     -5.41500      1.80500   1
      1.80500      0.00000      5.41500   1
     -1.80500      0.00000      5.41500   1
      0.00000      1.80500      5.41500   1
      0.00000     -1.80500      5.41500   1
      5.41500      0.00000     -1.80500   1
     -5.41500      0.00000     -1.80500   1
      0.00000      5.41500     -1.80500   1
      0.00000     -5.41500     -1.80500   1
      1.80500      0.00000     -5.41500   1
     -1.80500      0.00000     -5.41500   1
      0.00000      1.80500     -5.41500   1
      0.00000     -1.80500     -5.41500   1
