# name:     copper                                               Feff 8.20   
# formula:  Cu
# sites:    Cu1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, fcc
# POT  SCF  20  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.411 Rnm= 1.456 K  shell
# Pot 1 Z=29 Rmt= 1.358 Rnm= 1.395
# Gam_ch=1.729E+00 H-L exch
# Mu=-7.652E+00 kf=1.985E+00 Vint=-1.668E+01 Rs_int= 1.827
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950  Temp= 293.00  Debye_temp= 340.00  Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00764    100.00     12.00     2   2.5527
#           2       0.00944     22.94      6.00     2   3.6100
#           3       0.00860      9.37     48.00     3   3.8290
#           4       0.00952      6.73     48.00     3   4.3577
#           5       0.00972     55.47     24.00     2   4.4213
#           6       0.00976     10.64     48.00     3   4.7633
#           7       0.00976     16.26     96.00     3   4.7633
#           8       0.00985     18.93     12.00     2   5.1053
#           9       0.00985      8.22     12.00     3   5.1053
#          10       0.00985     43.98     24.00     3   5.1053
#          11       0.00985      9.05     12.00     4   5.1053
#          14       0.00985     36.87     12.00     4   5.1053
#          16       0.01007     27.78     24.00     2   5.7079
#          17       0.01021      8.55     48.00     3   5.9353
#          18       0.01021      5.48     48.00     3   5.9353
#          19       0.01021      5.92     48.00     3   5.9353
#    16/  17 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    -1.5000    1.208140E+00  1.665760E+00  8.114389E-01
    -1.4500    1.077649E+00  1.292544E+00  9.858509E-01
    -1.4000    8.562596E-01  9.498727E-01  1.123100E+00
    -1.3500    8.106196E-01  8.632674E-01  1.219750E+00
    -1.3000    7.512792E-01  7.779117E-01  1.308373E+00
    -1.2500    7.063092E-01  7.157782E-01  1.407958E+00
    -1.2000    7.512109E-01  7.512125E-01  1.568682E+00
    -1.1500    7.992371E-01  8.075764E-01  1.714631E+00
    -1.1000    8.408404E-01  9.015074E-01  1.939751E+00
    -1.0500    7.677900E-01  1.017091E+00  2.286109E+00
    -1.0000    5.585655E-01  1.122674E+00  2.620842E+00
    -0.9500    1.939215E-01  1.059935E+00  2.957600E+00
    -0.9000   -1.431435E-01  9.073166E-01  3.300020E+00
    -0.8500   -3.793604E-01  7.668563E-01  3.659077E+00
    -0.8000   -4.157920E-01  6.435654E-01  3.844025E+00
    -0.7500   -3.923665E-01  5.304309E-01  3.974236E+00
    -0.7000   -3.441934E-01  4.243137E-01  4.087754E+00
    -0.6500   -3.182044E-01  3.798276E-01  4.134761E+00
    -0.6000   -2.896821E-01  3.373752E-01  4.174193E+00
    -0.5500   -2.627456E-01  3.011905E-01  4.201595E+00
    -0.5000   -2.478817E-01  2.814945E-01  4.218702E+00
    -0.4500   -2.330265E-01  2.628365E-01  4.231499E+00
    -0.4000   -2.208237E-01  2.481483E-01  4.238688E+00
    -0.3500   -2.120646E-01  2.378848E-01  4.242149E+00
    -0.3000   -1.441090E-01  1.935178E-01  3.981650E+00
    -0.2500   -1.123651E-01  2.442037E-01  3.619733E+00
    -0.2000   -1.715292E-01  3.395937E-01  3.671092E+00
    -0.1500   -2.710628E-01  3.945716E-01  3.898918E+00
    -0.1000   -3.233969E-01  3.808380E-01  4.156008E+00
    -0.0500   -2.833884E-01  3.046226E-01  4.336804E+00
     0.0000   -1.900680E-01  2.137168E-01  4.237503E+00
     0.0500   -1.894243E-01  2.130538E-01  4.236949E+00
     0.1000   -1.887881E-01  2.124053E-01  4.236337E+00
     0.1500   -1.870280E-01  2.106108E-01  4.234628E+00
     0.2000   -1.853434E-01  2.089502E-01  4.232447E+00
     0.2500   -1.829902E-01  2.066432E-01  4.229241E+00
     0.3000   -1.808899E-01  2.047273E-01  4.225013E+00
     0.3500   -1.788645E-01  2.029226E-01  4.220499E+00
     0.4000   -1.774402E-01  2.019077E-01  4.214973E+00
     0.4500   -1.770855E-01  2.018893E-01  4.211470E+00
     0.5000   -1.778762E-01  2.031224E-01  4.208496E+00
     0.5500   -1.808710E-01  2.061257E-01  4.212173E+00
     0.6000   -1.856381E-01  2.106974E-01  4.219702E+00
     0.6500   -1.935884E-01  2.174099E-01  4.239883E+00
     0.7000   -2.036794E-01  2.256327E-01  4.267604E+00
     0.7500   -2.172073E-01  2.357548E-01  4.313072E+00
     0.8000   -2.324028E-01  2.468900E-01  4.368117E+00
     0.8500   -2.498412E-01  2.591875E-01  4.443024E+00
     0.9000   -2.670659E-01  2.717020E-01  4.527392E+00
     0.9500   -2.833451E-01  2.842754E-01  4.631466E+00
     1.0000   -2.960216E-01  2.961651E-01  4.743519E+00
     1.0500   -3.029414E-01  3.069233E-01  4.873645E+00
     1.1000   -3.022691E-01  3.161519E-01  5.009835E+00
     1.1500   -2.910317E-01  3.231395E-01  5.161949E+00
     1.2000   -2.695489E-01  3.279177E-01  5.318268E+00
     1.2500   -2.352517E-01  3.295799E-01  5.488287E+00
     1.3000   -1.915582E-01  3.285954E-01  5.660817E+00
     1.3500   -1.374909E-01  3.239765E-01  5.844902E+00
     1.4000   -7.933550E-02  3.165659E-01  6.029872E+00
     1.4500   -1.797692E-02  3.054279E-01  6.224293E+00
     1.5000    3.914320E-02  2.916738E-01  6.417793E+00
     1.5500    9.031623E-02  2.745396E-01  6.618402E+00
     1.6000    1.296045E-01  2.552806E-01  6.815692E+00
     1.6500    1.563010E-01  2.335050E-01  7.016544E+00
     1.7000    1.681678E-01  2.101936E-01  7.210583E+00
     1.7500    1.678767E-01  1.871893E-01  7.395733E+00
     1.8000    1.545065E-01  1.605913E-01  7.577823E+00
     1.8500    1.348446E-01  1.357690E-01  7.737222E+00
     1.9000    1.126574E-01  1.126597E-01  7.860328E+00
     1.9500    9.189443E-02  9.218776E-02  7.933776E+00
     2.0000    7.696342E-02  7.720529E-02  7.933159E+00
     2.0500    6.920152E-02  6.920729E-02  7.866902E+00
     2.1000    7.014095E-02  7.024561E-02  7.799386E+00
     2.1500    7.750212E-02  7.759270E-02  7.805656E+00
     2.2000    8.741059E-02  8.748880E-02  7.896269E+00
     2.2500    9.750914E-02  9.994021E-02  8.075000E+00
     2.3000    9.819981E-02  1.091272E-01  8.305316E+00
     2.3500    8.661733E-02  1.141600E-01  8.563407E+00
     2.4000    6.374423E-02  1.148804E-01  8.836566E+00
     2.4500    3.867747E-02  1.131811E-01  9.076020E+00
     2.5000    1.041721E-02  1.080877E-01  9.328251E+00
     2.5500   -1.646071E-02  9.954661E-02  9.590898E+00
     2.6000   -3.719442E-02  8.772483E-02  9.862624E+00
     2.6500   -5.189739E-02  8.337084E-02  1.009670E+01
     2.7000   -6.159126E-02  7.798958E-02  1.033516E+01
     2.7500   -6.550437E-02  7.165811E-02  1.057812E+01
     2.8000   -6.354962E-02  6.447289E-02  1.082614E+01
     2.8500   -5.951069E-02  5.988812E-02  1.110790E+01
     2.9000   -5.068991E-02  5.499130E-02  1.139372E+01
     2.9500   -3.846879E-02  4.984311E-02  1.168471E+01
     3.0000   -2.452862E-02  4.450930E-02  1.198270E+01
     3.0500   -1.015333E-02  4.204382E-02  1.232247E+01
     3.1000    3.903433E-03  3.964767E-02  1.266498E+01
     3.1500    1.605766E-02  3.725650E-02  1.301197E+01
     3.2000    2.490478E-02  3.481405E-02  1.336352E+01
     3.2500    3.265988E-02  3.585071E-02  1.371206E+01
     3.3000    3.658969E-02  3.671622E-02  1.405412E+01
     3.3500    3.620350E-02  3.739528E-02  1.439031E+01
     3.4000    3.160481E-02  3.788250E-02  1.472113E+01
     3.4500    2.544897E-02  4.007678E-02  1.501995E+01
     3.5000    1.602530E-02  4.184167E-02  1.531492E+01
     3.5500    4.453985E-03  4.322194E-02  1.560473E+01
     3.6000   -7.956725E-03  4.428861E-02  1.588860E+01
     3.6500   -1.986907E-02  4.572602E-02  1.615747E+01
     3.7000   -3.058182E-02  4.658395E-02  1.642412E+01
     3.7500   -3.887304E-02  4.686547E-02  1.668610E+01
     3.8000   -4.398231E-02  4.661677E-02  1.694096E+01
     3.8500   -4.588581E-02  4.605031E-02  1.719421E+01
     3.9000   -4.428169E-02  4.487044E-02  1.744093E+01
     3.9500   -3.973255E-02  4.311983E-02  1.767777E+01
     4.0000   -3.324221E-02  4.088981E-02  1.790032E+01
     4.0500   -2.555930E-02  3.813442E-02  1.811502E+01
     4.1000   -1.812585E-02  3.509590E-02  1.830684E+01
     4.1500   -1.197740E-02  3.203949E-02  1.846642E+01
     4.2000   -7.707253E-03  2.937408E-02  1.858407E+01
     4.2500   -4.858477E-03  2.725638E-02  1.867035E+01
     4.3000   -3.440016E-03  2.641386E-02  1.871895E+01
     4.3500   -2.531002E-03  2.725418E-02  1.875656E+01
     4.4000   -9.432445E-04  2.980509E-02  1.881790E+01
     4.4500    2.374971E-03  3.317185E-02  1.892121E+01
     4.5000    7.995069E-03  3.742408E-02  1.906485E+01
     4.5500    1.617045E-02  4.215590E-02  1.924323E+01
     4.6000    2.650221E-02  4.702591E-02  1.944825E+01
     4.6500    3.750955E-02  5.130955E-02  1.966941E+01
     4.7000    4.807610E-02  5.529778E-02  1.990355E+01
     4.7500    5.664589E-02  5.883724E-02  2.014657E+01
     4.8000    6.179197E-02  6.181159E-02  2.039515E+01
     4.8500    6.235097E-02  6.392479E-02  2.064271E+01
     4.9000    5.830189E-02  6.541236E-02  2.089095E+01
     4.9500    4.993275E-02  6.626962E-02  2.113781E+01
     5.0000    3.809990E-02  6.652724E-02  2.138136E+01
     5.0500    2.407820E-02  6.613128E-02  2.161849E+01
     5.1000    9.239138E-03  6.536285E-02  2.184932E+01
     5.1500   -5.234800E-03  6.435290E-02  2.207258E+01
     5.2000   -1.846782E-02  6.325631E-02  2.228742E+01
     5.2500   -2.998124E-02  6.215956E-02  2.249446E+01
     5.3000   -3.965765E-02  6.131970E-02  2.269445E+01
     5.3500   -4.759334E-02  6.085522E-02  2.288914E+01
     5.4000   -5.393764E-02  6.083830E-02  2.308103E+01
     5.4500   -5.862709E-02  6.114890E-02  2.327375E+01
     5.5000   -6.159321E-02  6.185818E-02  2.346935E+01
     5.5500   -6.249666E-02  6.286087E-02  2.366964E+01
     5.6000   -6.090163E-02  6.402260E-02  2.387547E+01
     5.6500   -5.625833E-02  6.503962E-02  2.408762E+01
     5.7000   -4.858852E-02  6.593644E-02  2.430427E+01
     5.7500   -3.809876E-02  6.661288E-02  2.452387E+01
     5.8000   -2.536800E-02  6.701030E-02  2.474449E+01
     5.8500   -1.122664E-02  6.697997E-02  2.496433E+01
     5.9000    3.220336E-03  6.671814E-02  2.518103E+01
     5.9500    1.704898E-02  6.633105E-02  2.539269E+01
     6.0000    2.960088E-02  6.597911E-02  2.559798E+01
     6.0500    4.056253E-02  6.571145E-02  2.579803E+01
     6.1000    4.995158E-02  6.589983E-02  2.599297E+01
     6.1500    5.797292E-02  6.673382E-02  2.618535E+01
     6.2000    6.477737E-02  6.834680E-02  2.637893E+01
     6.2500    7.022779E-02  7.078516E-02  2.657796E+01
     6.3000    7.374294E-02  7.399620E-02  2.678630E+01
     6.3500    7.428975E-02  7.783763E-02  2.700663E+01
     6.4000    7.055716E-02  8.210221E-02  2.724027E+01
     6.4500    6.129319E-02  8.654630E-02  2.748737E+01
     6.5000    4.573336E-02  9.091458E-02  2.774723E+01
     6.5500    2.360237E-02  9.460514E-02  2.802219E+01
     6.6000   -3.214551E-03  9.766694E-02  2.830725E+01
     6.6500   -3.207021E-02  9.990818E-02  2.860112E+01
     6.7000   -5.946090E-02  1.011692E-01  2.890259E+01
     6.7500   -8.160492E-02  1.013243E-01  2.921066E+01
     6.8000   -9.517000E-02  1.002830E-01  2.952443E+01
     6.8500   -9.798978E-02  9.798997E-02  2.984318E+01
     6.9000   -8.959632E-02  9.442484E-02  3.016631E+01
     6.9500   -7.142644E-02  8.960144E-02  3.049335E+01
     7.0000   -4.662871E-02  8.356621E-02  3.082397E+01
     7.0500   -1.936696E-02  7.622201E-02  3.115902E+01
     7.1000    5.480214E-03  6.788210E-02  3.149675E+01
     7.1500    2.399602E-02  5.868888E-02  3.183714E+01
     7.2000    3.378487E-02  4.880481E-02  3.218052E+01
     7.2500    3.443585E-02  3.840833E-02  3.252790E+01
     7.3000    2.753911E-02  2.769010E-02  3.288224E+01
     7.3500    1.625075E-02  1.685229E-02  3.325471E+01
     7.4000    4.509614E-03  6.150022E-03  3.373440E+01
     7.4500   -3.908504E-03  4.713638E-03  3.672145E+01
     7.5000   -6.275633E-03  1.467903E-02  3.725736E+01
     7.5500   -1.389473E-03  2.407064E-02  3.764135E+01
     7.6000    9.749115E-03  3.269141E-02  3.800194E+01
     7.6500    2.461764E-02  4.039642E-02  3.835442E+01
     7.7000    3.970093E-02  4.707281E-02  3.870268E+01
     7.7500    5.134493E-02  5.263550E-02  3.904801E+01
     7.8000    5.661130E-02  5.702748E-02  3.939079E+01
     7.8500    5.393049E-02  6.022039E-02  3.973103E+01
     7.9000    4.340893E-02  6.221466E-02  4.006848E+01
     7.9500    2.673643E-02  6.303906E-02  4.040271E+01
     8.0000    6.739238E-03  6.274987E-02  4.073310E+01
     8.0500   -1.333942E-02  6.145333E-02  4.105951E+01
     8.1000   -3.041664E-02  5.924173E-02  4.137988E+01
     8.1500   -4.233316E-02  5.624677E-02  4.169276E+01
     8.2000   -4.814914E-02  5.262219E-02  4.199620E+01
     8.2500   -4.817172E-02  4.854317E-02  4.228771E+01
     8.3000   -4.369313E-02  4.420643E-02  4.256404E+01
     8.3500   -3.653549E-02  3.983126E-02  4.282116E+01
     8.4000   -2.853748E-02  3.565980E-02  4.305455E+01
     8.4500   -2.111872E-02  3.195216E-02  4.326022E+01
     8.5000   -1.502330E-02  2.896588E-02  4.343702E+01
     8.5500   -1.032965E-02  2.699638E-02  4.358965E+01
     8.6000   -6.450870E-03  2.604360E-02  4.373200E+01
     8.6500   -2.624730E-03  2.600843E-02  4.388121E+01
     8.7000    1.820182E-03  2.664115E-02  4.405067E+01
     8.7500    7.198664E-03  2.763422E-02  4.424584E+01
     8.8000    1.334025E-02  2.870665E-02  4.446560E+01
     8.8500    1.962263E-02  2.964273E-02  4.470574E+01
     8.9000    2.514402E-02  3.029599E-02  4.496131E+01
     8.9500    2.897470E-02  3.057905E-02  4.522773E+01
     9.0000    3.041026E-02  3.045145E-02  4.550108E+01
     9.0500    2.929859E-02  3.006355E-02  4.577916E+01
     9.1000    2.562311E-02  2.927780E-02  4.605810E+01
     9.1500    1.996076E-02  2.813503E-02  4.633515E+01
     9.2000    1.317634E-02  2.669396E-02  4.660766E+01
     9.2500    6.216912E-03  2.502762E-02  4.687286E+01
     9.3000   -9.233270E-05  2.322057E-02  4.712787E+01
     9.3500   -5.198552E-03  2.136626E-02  4.736966E+01
     9.4000   -8.886053E-03  1.956399E-02  4.759537E+01
     9.4500   -1.124957E-02  1.791411E-02  4.780284E+01
     9.5000   -1.259531E-02  1.650959E-02  4.799169E+01
     9.5500   -1.335270E-02  1.546531E-02  4.816585E+01
     9.6000   -1.379032E-02  1.477004E-02  4.832841E+01
     9.6500   -1.412240E-02  1.442913E-02  4.848813E+01
     9.7000   -1.438605E-02  1.439782E-02  4.865425E+01
     9.7500   -1.445443E-02  1.459506E-02  4.883362E+01
     9.8000   -1.409852E-02  1.492661E-02  4.902934E+01
     9.8500   -1.307449E-02  1.530502E-02  4.924135E+01
     9.9000   -1.120961E-02  1.566032E-02  4.946772E+01
     9.9500   -8.464163E-03  1.594282E-02  4.970581E+01
    10.0000   -4.955868E-03  1.612134E-02  4.995301E+01
    10.0500   -9.755223E-04  1.634513E-02  5.020576E+01
    10.1000    3.250852E-03  1.646769E-02  5.046420E+01
    10.1500    7.341989E-03  1.648341E-02  5.072712E+01
    10.2000    1.090774E-02  1.639039E-02  5.099364E+01
    10.2500    1.360135E-02  1.618887E-02  5.126307E+01
    10.3000    1.516434E-02  1.588005E-02  5.153491E+01
    10.3500    1.545953E-02  1.546540E-02  5.180873E+01
    10.4000    1.448954E-02  1.494635E-02  5.208415E+01
    10.4500    1.239899E-02  1.432438E-02  5.236075E+01
    10.5000    9.459358E-03  1.360138E-02  5.263800E+01
    10.5500    6.036581E-03  1.278030E-02  5.291514E+01
    10.6000    2.543157E-03  1.186584E-02  5.319107E+01
    10.6500   -6.202949E-04  1.086544E-02  5.346419E+01
    10.7000   -3.125942E-03  9.790265E-03  5.373206E+01
    10.7500   -4.771388E-03  8.656645E-03  5.399086E+01
    10.8000   -5.512689E-03  7.488233E-03  5.423448E+01
    10.8500   -5.468637E-03  6.320006E-03  5.445280E+01
    10.9000   -4.892329E-03  5.206360E-03  5.462878E+01
    10.9500   -4.113351E-03  4.236911E-03  5.473577E+01
