PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000    12.000     2   2.5527
        2     0.00000    22.944     6.000     2   3.6100
        3     0.00000     9.375    48.000     3   3.8290
        4     0.00000     6.725    48.000     3   4.3577
        5     0.00000    55.473    24.000     2   4.4213
        6     0.00000    10.641    48.000     3   4.7633
        7     0.00000    16.263    96.000     3   4.7633
        8     0.00000    18.934    12.000     2   5.1053
        9     0.00000     8.223    12.000     3   5.1053
       10     0.00000    43.982    24.000     3   5.1053
       11     0.00000     9.054    12.000     4   5.1053
       12     0.00000     3.667    12.000     4   5.1053
       14     0.00000    36.866    12.000     4   5.1053
       16     0.00000    27.781    24.000     2   5.7079
       17     0.00000     8.546    48.000     3   5.9353
       18     0.00000     5.485    48.000     3   5.9353
       19     0.00000     5.916    48.000     3   5.9353
