#------------------------
#   k         chi         dchi         e0
  0.0000000      -0.54088254       0.12954115E-02    7117.6400
  0.50000000E-01  -0.55172537       0.14370688E-02    7117.6400
  0.10000000      -0.56256819       0.15787261E-02    7117.6400
  0.15000000      -0.57341101       0.17203835E-02    7117.6400
  0.20000000      -0.58425384       0.18620408E-02    7117.6400
  0.25000000      -0.59509666       0.20036981E-02    7117.6400
  0.30000000      -0.60593948       0.21453554E-02    7117.6400
  0.35000000      -0.61678231       0.22870128E-02    7117.6400
  0.40000000      -0.62762513       0.24286701E-02    7117.6400
  0.45000000      -0.63846795       0.25703274E-02    7117.6400
  0.50000000      -0.61977701       0.27119847E-02    7117.6400
  0.55000000      -0.59754216       0.26862315E-02    7117.6400
  0.60000000      -0.57530731       0.25298639E-02    7117.6400
  0.65000000      -0.55248604       0.23734963E-02    7117.6400
  0.70000000      -0.51532999       0.22212111E-02    7117.6400
  0.75000000      -0.47817394       0.21655078E-02    7117.6400
  0.80000000      -0.44169153       0.21098046E-02    7117.6400
  0.85000000      -0.40640851       0.20641087E-02    7117.6400
  0.90000000      -0.37143561       0.20924460E-02    7117.6400
  0.95000000      -0.34373652       0.21207833E-02    7117.6400
  1.0000000      -0.32447970       0.20638210E-02    7117.6400
  1.0500000      -0.32104594       0.19950495E-02    7117.6400
  1.1000000      -0.32348150       0.21459236E-02    7117.6400
  1.1500000      -0.32260108       0.23357851E-02    7117.6400
  1.2000000      -0.31457380       0.23064564E-02    7117.6400
  1.2500000      -0.29382284       0.23499859E-02    7117.6400
  1.3000000      -0.26537454       0.27264968E-02    7117.6400
  1.3500000      -0.22954970       0.21858824E-02    7117.6400
  1.4000000      -0.18196644       0.27649861E-02    7117.6400
  1.4500000      -0.13082702       0.23073033E-02    7117.6400
  1.5000000      -0.78201036E-01   0.19224012E-02    7117.6400
  1.5500000      -0.19611296E-01   0.17252715E-02    7117.6400
  1.6000000       0.32168712E-01   0.17440252E-02    7117.6400
  1.6500000       0.82274598E-01   0.18554821E-02    7117.6400
  1.7000000       0.13878485       0.22543885E-02    7117.6400
  1.7500000       0.19373616       0.24683224E-02    7117.6400
  1.8000000       0.25508354       0.22178441E-02    7117.6400
  1.8500000       0.30549567       0.17658092E-02    7117.6400
  1.9000000       0.36490949       0.17956333E-02    7117.6400
  1.9500000       0.42957688       0.19873704E-02    7117.6400
  2.0000000       0.46390138       0.22116225E-02    7117.6400
  2.0500000       0.47536336       0.24871224E-02    7117.6400
  2.1000000       0.45443085       0.21580929E-02    7117.6400
  2.1500000       0.42102963       0.13962033E-02    7117.6400
  2.2000000       0.35798696       0.23264775E-02    7117.6400
  2.2500000       0.27422169       0.27770290E-02    7117.6400
