#------------------------
#   k         chi       dchi
  0.0000000       0.68329991E-01   0.0136670000000000
  0.50000000E-01   0.58003959E-01  0.0124806207726080
  0.10000000       0.47677928E-01  0.0112942415452161
  0.15000000       0.37351896E-01  0.0101078623178241
  0.20000000       0.27025864E-01  0.0089214830904322
  0.25000000       0.16699833E-01  0.0077351038630402
  0.30000000       0.63738008E-02  0.0065487246356482
  0.35000000      -0.39522309E-02  0.0053623454082563
  0.40000000      -0.14278263E-01  0.0041759661808643
  0.45000000      -0.20881127E-01  0.0032455142632806
  0.50000000      -0.16043374E-01  0.0031014050189806
  0.55000000      -0.11205621E-01  0.0029572957746806
  0.60000000      -0.63678682E-02  0.0028131865303806
  0.65000000      -0.63594365E-02  0.0024648918808043
  0.70000000      -0.18488307E-01  0.0016034969759492
  0.75000000      -0.30617178E-01  0.0007421020710941
  0.80000000      -0.41685522E-01  0.0003000508171424
  0.85000000      -0.51117584E-01  0.0005049175728264
  0.90000000      -0.60549646E-01  0.0007097843285104
  0.95000000      -0.62843495E-01  0.0019270543958528
  1.0000000      -0.58725399E-01   0.0032923672084614
  1.0500000      -0.47804363E-01   0.0027137676465169
  1.1000000      -0.30812908E-01   0.0015385432438665
  1.1500000      -0.77953282E-02   0.0011305445614098
  1.2000000       0.17355965E-01   0.0009663982354752
  1.2500000       0.41462900E-01   0.0018229683080804
  1.3000000       0.74223140E-01   0.0017823311542293
  1.3500000       0.11320753       0.0006262149753172
  1.4000000       0.13756559       0.0003359035542839
  1.4500000       0.16254694       0.0002201542249491
  1.5000000       0.19979100       0.0000462884015998
  1.5500000       0.24186486       0.0007088962842977
  1.6000000       0.28608534       0.0016550988121849
  1.6500000       0.32493256       0.0022178984813888
  1.7000000       0.35323884       0.0006695201618415
  1.7500000       0.40632664       0.0016025877636547
  1.8000000       0.44719982       0.0012170109200738
  1.8500000       0.46465950       0.0009669667634658
  1.9000000       0.46161164       0.0023605312124099
  1.9500000       0.43943749       0.0027493274191690
  2.0000000       0.40802038       0.0010317978899587
  2.0500000       0.35299281       0.0010589577242389
  2.1000000       0.27546953       0.0029098897033857
  2.1500000       0.20291463       0.0004048443667884
  2.2000000       0.12062724       0.0010789982911786
  2.2500000       0.95084654E-01   0.0013739549875828
  2.3000000       0.60702302E-01   0.0025381891784442
  2.3500000       0.23590396E-01   0.0031800365407735
  2.4000000      -0.12611222E-02   0.0016069477149433
  2.4500000      -0.17147451E-01   0.0006799915673853
  2.5000000      -0.19084216E-01   0.0011816233252898
  2.5500000      -0.40611670E-01   0.0013649178383316
  2.6000000      -0.49581401E-01   0.0012281220771704
  2.6500000      -0.48882838E-01   0.0004637015306400
  2.7000000      -0.63150700E-01   0.0027436111956876
  2.7500000      -0.62046035E-01   0.0024867305304167
  2.8000000      -0.77321431E-01   0.0027417233952527
  2.8500000      -0.83397524E-01   0.0014326233426061
  2.9000000      -0.96199737E-01   0.0017015416771420
  2.9500000      -0.11321776       0.0016005073573497
  3.0000000      -0.11626788       0.0022831934186205
  3.0500000      -0.12136865       0.0039479738597096
  3.1000000      -0.13182096       0.0055924063671250
  3.1500000      -0.12293801       0.0011073467784643
  3.2000000      -0.12354997       0.0028433560638969
  3.2500000      -0.12332159       0.0028059809220438
  3.3000000      -0.11798673       0.0019690488609913
  3.3500000      -0.10726099       0.0022694342945045
  3.4000000      -0.91873837E-01   0.0015010067374949
  3.4500000      -0.86892074E-01   0.0017992959353031
  3.5000000      -0.73729465E-01   0.0004987592235079
  3.5500000      -0.59507208E-01   0.0010278813239255
  3.6000000      -0.46675887E-01   0.0013013305957915
  3.6500000      -0.30973717E-01   0.0013988575544480
  3.7000000      -0.20522659E-01   0.0013068317620473
  3.7500000      -0.13672849E-01   0.0011598073243175
  3.8000000       0.20128405E-02   0.0013823333955985
  3.8500000       0.15357174E-01   0.0015769099005136
  3.9000000       0.25236314E-01   0.0015997175577242
  3.9500000       0.33950571E-01   0.0012604059101816
  4.0000000       0.47146229E-01   0.0017981162106143
  4.0500000       0.50427119E-01   0.0017132647670696
  4.1000000       0.55063489E-01   0.0014942983093785
  4.1500000       0.69931700E-01   0.0017968747939021
  4.2000000       0.69178303E-01   0.0010457847283521
  4.2500000       0.73980515E-01   0.0024764577706035
  4.3000000       0.73479021E-01   0.0019307832101889
  4.3500000       0.71132683E-01   0.0010455186124043
  4.4000000       0.67555416E-01   0.0009631140389481
  4.4500000       0.57458919E-01   0.0000401975216808
  4.5000000       0.67749900E-01   0.0003633387929773
  4.5500000       0.57879560E-01   0.0020344401806750
  4.6000000       0.45329509E-01   0.0014490256224252
  4.6500000       0.44920404E-01   0.0003330424547729
  4.7000000       0.43427457E-01   0.0003806870801229
  4.7500000       0.25584015E-01   0.0006108372828675
  4.8000000       0.14076976E-01   0.0016809491273429
  4.8500000       0.14190580E-01   0.0029226311551155
  4.9000000      -0.99990093E-02   0.0029513372320751
  4.9500000       0.16240744E-02   0.0001264352216929
  5.0000000      -0.14466423E-01   0.0004911109270795
  5.0500000      -0.22700432E-01   0.0012867759258404
  5.1000000      -0.25852176E-01   0.0021246502405532
  5.1500000      -0.35735415E-01   0.0016243700262879
  5.2000000      -0.46656761E-01   0.0006463053742321
  5.2500000      -0.46537777E-01   0.0003943814143086
  5.3000000      -0.40291453E-01   0.0005360678927856
  5.3500000      -0.42207981E-01   0.0012375295450083
  5.4000000      -0.48373737E-01   0.0022464525701037
  5.4500000      -0.45287228E-01   0.0015149326935016
  5.5000000      -0.38790220E-01   0.0002962427770307
  5.5500000      -0.40478669E-01   0.0010643450064403
  5.6000000      -0.42321944E-01   0.0020390908155576
  5.6500000      -0.34633824E-01   0.0014621296349477
  5.7000000      -0.24818254E-01   0.0009300864629391
  5.7500000      -0.18015981E-01   0.0013698281697881
  5.8000000      -0.97553287E-02   0.0015678133047166
  5.8500000       0.14710312E-02   0.0009577813660498
  5.9000000       0.90302446E-02   0.0009698233710358
  5.9500000       0.11949852E-01   0.0016938895512415
  6.0000000       0.14348251E-01   0.0029603466206625
  6.0500000       0.17331826E-01   0.0044522737811748
  6.1000000       0.22574682E-01   0.0030982874097124
  6.1500000       0.27449233E-01   0.0020176349862341
  6.2000000       0.30146086E-01   0.0024993561198544
  6.2500000       0.30768065E-01   0.0023492957616279
  6.3000000       0.29673507E-01   0.0013843657415414
  6.3500000       0.29824870E-01   0.0011103612977946
  6.4000000       0.30421522E-01   0.0009832356982265
  6.4500000       0.30278804E-01   0.0008561100986584
  6.5000000       0.28709411E-01   0.0008061115824774
  6.5500000       0.24172069E-01   0.0008033251425800
  6.6000000       0.12256620E-01   0.0014546691547528
  6.6500000       0.70924181E-02   0.0022589653401869
  6.7000000       0.11906398E-01   0.0033217199455602
  6.7500000       0.62988582E-02   0.0025996119872325
  6.8000000      -0.23379256E-02   0.0016086732516045
  6.8500000      -0.43026641E-02   0.0019210073387477
  6.9000000      -0.51223232E-02   0.0016937867617067
  6.9500000      -0.74673625E-02   0.0015898313942770
  7.0000000      -0.12831797E-01   0.0027268547801270
  7.0500000      -0.14611298E-01   0.0038430503411228
  7.1000000      -0.13831930E-01   0.0045119087728360
  7.1500000      -0.14124432E-01   0.0030534512517507
  7.2000000      -0.14698447E-01   0.0015949937306654
  7.2500000      -0.15763503E-01   0.0007419729081022
  7.3000000      -0.17501766E-01   0.0015941131846478
  7.3500000      -0.18363693E-01   0.0024462534611935
  7.4000000      -0.17011464E-01   0.0027381156397092
  7.4500000      -0.14066515E-01   0.0022011251845215
  7.5000000      -0.12027859E-01   0.0026440119497945
  7.5500000      -0.13024492E-01   0.0019952469114155
  7.6000000      -0.14789156E-01   0.0005584560775943
  7.6500000      -0.11447973E-01   0.0014139167644023
  7.7000000      -0.22517427E-02   0.0023302770041852
  7.7500000      -0.20023295E-02   0.0019083737244469
  7.8000000      -0.92204173E-02   0.0001816838911539
  7.8500000      -0.13614991E-02   0.0005164287699862
  7.9000000      -0.26664192E-03   0.0006036428265555
  7.9500000       0.23902897E-02   0.0019966230026137
  8.0000000       0.11007069E-01   0.0056384836782213
  8.0500000       0.62969974E-02   0.0026678148082772
  8.1000000       0.72921683E-02   0.0013030425645953
  8.1500000       0.83631901E-02   0.0015943847984164
  8.2000000       0.55479296E-02   0.0023375790671100
  8.2500000       0.21816532E-02   0.0006127325390749
  8.3000000       0.15730144E-02   0.0003266306801924
  8.3500000       0.84028139E-02   0.0006614934782609
  8.4000000       0.96904519E-02   0.0015450885857347
  8.4500000       0.24771196E-02   0.0025996336363563
  8.5000000       0.95388987E-02   0.0022890324178998
  8.5500000       0.14233107E-01   0.0032851634218824
  8.6000000       0.15793125E-01   0.0043893992986357
  8.6500000       0.12740043E-01   0.0037717115923494
  8.7000000       0.10101473E-01   0.0018167318157152
  8.7500000       0.12354647E-01   0.0041941188623940
  8.8000000      -0.22528915E-02   0.0036193101240727
  8.8500000      -0.38109761E-02   0.0013045791731058
  8.9000000      -0.45895451E-03   0.0009830250889662
  8.9500000       0.59142041E-02   0.0011411140095154
  9.0000000       0.47539687E-02   0.0007005252974030
  9.0500000      -0.10327397E-01   0.0011986458911244
  9.1000000      -0.98421489E-04   0.0044288204135828
  9.1500000      -0.10288076E-01   0.0055813269676016
  9.2000000      -0.37636646E-02   0.0024721218906274
  9.2500000      -0.69639256E-02   0.0007642654083072
  9.3000000      -0.11617239E-01   0.0005223851711242
  9.3500000      -0.90262190E-02   0.0009303743501716
  9.4000000      -0.73807959E-02   0.0014291369346649
  9.4500000      -0.88623819E-02   0.0013495789736400
  9.5000000      -0.90484025E-02   0.0007022441363527
  9.5500000       0.14612617E-02   0.0029685343459396
  9.6000000      -0.11523676E-01   0.0012432647561571
  9.6500000      -0.57311339E-02   0.0005630727275786
  9.7000000      -0.49260865E-02   0.0001889287802280
  9.7500000      -0.62909577E-02   0.0009790918115057
  9.8000000      -0.43061600E-02   0.0022913850828605
  9.8500000      -0.95917035E-04   0.0027276579016970
  9.9000000      -0.45389608E-02   0.0014339522710093
  9.9500000      -0.38061270E-02   0.0006302023500557
  10.000000       0.24974394E-02    0.0013244869977427
  10.050000       0.10114565E-02    0.0012844556316575
  10.100000       0.11616686E-01    0.0013704445995306
  10.150000       0.97041986E-02    0.0007342062411522
  10.200000       0.65138618E-02    0.0025914267879141
  10.250000       0.39578984E-02    0.0038976945454754
  10.300000       0.12455785E-01    0.0024541298550199
  10.350000      -0.26835375E-03    0.0012058447190973
  10.400000       0.10907252E-01    0.0006794671880646
  10.450000       0.11189690E-01    0.0030471276498246
  10.500000       0.12674617E-01    0.0020946086386929
  10.550000       0.45566081E-02    0.0012288729144951
  10.600000       0.86990769E-02    0.0031636049894527
  10.650000      -0.75168707E-04    0.0015100985009698
  10.700000      -0.15235531E-02    0.0037719832177443
  10.750000      -0.10092223E-01    0.0033928021498217
  10.800000      -0.58572328E-02    0.0019765575137952
  10.850000       0.69192292E-03    0.0011503198379371
  10.900000       0.12626658E-02    0.0029383618165592
  10.950000      -0.38386718E-02    0.0013523317706610
  11.000000      -0.24467208E-03    0.0008821845568669
  11.050000      -0.11121390E-02    0.0015602646193797
  11.100000      -0.18359732E-02    0.0015317395101067
  11.150000      -0.19940128E-02    0.0012845424837333
  11.200000      -0.26418310E-02    0.0017043280860318
  11.250000       0.15819775E-02    0.0022008680491132
  11.300000      -0.63545570E-02    0.0038163048453813
  11.350000       0.36076011E-02    0.0014215434435948
  11.400000       0.86781692E-03    0.0013027197592436
  11.450000      -0.39766550E-02    0.0018890665201782
  11.500000      -0.58180992E-02    0.0023535501507544
  11.550000      -0.13661480E-02    0.0011524235973578
  11.600000       0.27673320E-02    0.0004620184336039
  11.650000       0.15042247E-02    0.0015147387243480
  11.700000       0.23519788E-02    0.0020069450501908
  11.750000       0.33266175E-02    0.0007672740761651
  11.800000       0.58514261E-02    0.0019070851227953
  11.850000      -0.61207017E-02    0.0018478976963988
  11.900000      -0.61516035E-03    0.0007300633669342
  11.950000      -0.64529759E-02    0.0014614969980809
  12.000000       0.30184191E-02    0.0003351169238513
  12.050000      -0.48645813E-03    0.0004325493621249
  12.100000      -0.59544388E-02    0.0006252341265397
  12.150000      -0.85643372E-02    0.0009192000791824
  12.200000      -0.84297187E-02    0.0007083475877279
  12.250000      -0.47236521E-03    0.0009779504179090
  12.300000       0.16761076E-03    0.0010825041408263
  12.350000      -0.13570792E-02    0.0010996813720870
  12.400000      -0.21885639E-02    0.0009375653001065
  12.450000      -0.89054105E-02    0.0010314823098092
  12.500000      -0.57678127E-02    0.0015430549235597
  12.550000      -0.14544867E-03    0.0012047477742798
  12.600000       0.99736956E-03    0.0017100907198638
  12.650000      -0.18200572E-02    0.0014908773620946
  12.700000       0.16771677E-02    0.0006578861285138
  12.750000       0.57108075E-02    0.0007238753960515
  12.800000       0.48585964E-02    0.0009328153768742
