# data from ifeffit
#------------------------
#   k         chi         chi       dchi         win
  0.0000000       0.46100000E-01  -0.52350420E-01   0.13700000E-01    0.0000000
  0.50000000E-01   0.35214110E-01  -0.52380797E-01   0.12509748E-01    0.0000000
  0.10000000       0.24328220E-01  -0.52472044E-01   0.11319497E-01    0.0000000
  0.15000000       0.13442331E-01  -0.52624502E-01   0.10129245E-01    0.0000000
  0.20000000       0.25564407E-02  -0.52838750E-01   0.89389938E-02    0.0000000
  0.25000000      -0.83294492E-02  -0.53115612E-01   0.77487423E-02    0.0000000
  0.30000000      -0.19215339E-01  -0.53456172E-01   0.65584907E-02    0.0000000
  0.35000000      -0.30101229E-01  -0.53861792E-01   0.53682392E-02    0.0000000
  0.40000000      -0.40987119E-01  -0.54334143E-01   0.41779877E-02    0.0000000
  0.45000000      -0.47879544E-01  -0.54875231E-01   0.32446639E-02    0.0000000
  0.50000000      -0.42501957E-01  -0.55487447E-01   0.31007566E-02    0.0000000
  0.55000000      -0.37124369E-01  -0.56173616E-01   0.29568493E-02    0.0000000
  0.60000000      -0.31746782E-01  -0.56937062E-01   0.28129421E-02    0.0000000
  0.65000000      -0.31267080E-01  -0.57781703E-01   0.24647545E-02    0.0000000
  0.70000000      -0.43095342E-01  -0.58712153E-01   0.16032281E-02    0.0000000
  0.75000000      -0.54923604E-01  -0.59733870E-01   0.74170181E-03    0.0000000
  0.80000000      -0.65641472E-01  -0.60853344E-01   0.29965818E-03    0.0000000
  0.85000000      -0.74646342E-01  -0.62078350E-01   0.50474709E-03    0.0000000
  0.90000000      -0.83651213E-01  -0.63418288E-01   0.70983599E-03    0.0000000
  0.95000000      -0.82191749E-01  -0.64884663E-01   0.19258593E-02    0.0000000
  1.0000000      -0.79202096E-01  -0.66491763E-01   0.32897105E-02    0.0000000
  1.0500000      -0.66300293E-01  -0.68257661E-01   0.27108521E-02    0.0000000
  1.1000000      -0.50356258E-01  -0.70205744E-01   0.15357380E-02    0.0000000
  1.1500000      -0.25290511E-01  -0.72367158E-01   0.11293670E-02    0.0000000
  1.2000000       0.38592392E-03  -0.74784946E-01   0.96683885E-03    0.0000000
  1.2500000       0.26839045E-01  -0.77521586E-01   0.18246053E-02    0.0000000
  1.3000000       0.59387735E-01  -0.80674150E-01   0.17841232E-02    0.0000000
  1.3500000       0.99514916E-01  -0.84409407E-01   0.62686753E-03    0.0000000
  1.4000000       0.12571357      -0.89065350E-01   0.33614573E-03    0.0000000
  1.4500000       0.15318497      -0.95603336E-01   0.22020825E-03    0.0000000
  1.5000000       0.19148442       0.12126258       0.46287710E-04    0.0000000
  1.5500000       0.23467689       0.17792807       0.70575875E-03    0.0000000
  1.6000000       0.27882181       0.24085961       0.16538973E-02    0.0000000
  1.6500000       0.32031165       0.30841607       0.22211386E-02    0.0000000
  1.7000000       0.34985328       0.37865554       0.67020260E-03    0.0000000
  1.7500000       0.40321509       0.44741139       0.16021654E-02    0.0000000
  1.8000000       0.44290891       0.51225879       0.12167580E-02    0.0000000
  1.8500000       0.46220008       0.56935094       0.96789012E-03    0.0000000
  1.9000000       0.45992287       0.61632771       0.23617578E-02    0.0000000
  1.9500000       0.43874021       0.64879854       0.27487819E-02    0.0000000
  2.0000000       0.40788881       0.66526610       0.10324732E-02    0.0000000
  2.0500000       0.35231423       0.66475513       0.10593641E-02    0.0000000
  2.1000000       0.27380944       0.64530347       0.29130798E-02    0.0000000
  2.1500000       0.20067508       0.60758958       0.40428646E-03    0.0000000
  2.2000000       0.11729402       0.55407605       0.10754307E-02    0.0000000
  2.2500000       0.82691515E-01   0.48609428       0.13729917E-02    0.0000000
  2.3000000       0.47777946E-01   0.40621818       0.25420553E-02    0.0000000
  2.3500000       0.19033123E-01   0.31996036       0.31786262E-02    0.0000000
  2.4000000      -0.75516321E-02   0.22977456       0.16066520E-02    0.0000000
  2.4500000      -0.21839674E-01   0.13967688       0.68069911E-03    0.0000000
  2.5000000      -0.24315783E-01   0.54777982E-01   0.11841719E-02    0.0000000
  2.5500000      -0.45451646E-01  -0.23917007E-01   0.13685029E-02    0.0000000
  2.6000000      -0.54958232E-01  -0.89994303E-01   0.12318871E-02    0.0000000
  2.6500000      -0.54628599E-01  -0.14303409       0.46497452E-03    0.0000000
  2.7000000      -0.68268095E-01  -0.18335695       0.27395184E-02    0.0000000
  2.7500000      -0.67656462E-01  -0.20986163       0.24846641E-02    0.0000000
  2.8000000      -0.83303444E-01  -0.22427902       0.27404207E-02    0.0000000
  2.8500000      -0.88319214E-01  -0.22759311       0.14281930E-02    0.0000000
  2.9000000      -0.10103992      -0.22187168       0.17037877E-02    0.0000000
  2.9500000      -0.11732460      -0.21079460       0.15998430E-02    0.0000000
  3.0000000      -0.12144633      -0.19667022       0.22842403E-02    0.0000000
  3.0500000      -0.12625613      -0.18102038       0.39506468E-02    0.0000000
  3.1000000      -0.13590996      -0.16647972       0.55940548E-02   0.66986993E-01
  3.1500000      -0.12756421      -0.15365990       0.11078343E-02   0.24999894
  3.2000000      -0.12807109      -0.14363125       0.28441300E-02   0.49999817
  3.2500000      -0.12639515      -0.13415055       0.28069809E-02   0.74999788
  3.3000000      -0.12055245      -0.12348631       0.19685664E-02   0.93301117
  3.3500000      -0.11047164      -0.11079179       0.22661343E-02   1.00000000
  3.4000000      -0.95109564E-01  -0.97892269E-01   0.14978626E-02    1.0000000
  3.4500000      -0.89647682E-01  -0.84786857E-01   0.17973852E-02    1.0000000
  3.5000000      -0.75841804E-01  -0.71384527E-01   0.49874099E-03    1.0000000
  3.5500000      -0.61400237E-01  -0.58426993E-01   0.10248671E-02    1.0000000
  3.6000000      -0.48056136E-01  -0.46277479E-01   0.13012858E-02    1.0000000
  3.6500000      -0.32434779E-01  -0.33991331E-01   0.14002718E-02    1.0000000
  3.7000000      -0.21684289E-01  -0.21764124E-01   0.13094763E-02    1.0000000
  3.7500000      -0.13856656E-01  -0.10068890E-01   0.11639353E-02    1.0000000
  3.8000000       0.21313078E-02   0.14255955E-02   0.13859904E-02    1.0000000
  3.8500000       0.15158017E-01   0.12529654E-01   0.15773776E-02    1.0000000
  3.9000000       0.25941306E-01   0.22974766E-01   0.15985501E-02    1.0000000
  3.9500000       0.34973496E-01   0.33122417E-01   0.12642879E-02    1.0000000
  4.0000000       0.47614431E-01   0.42337921E-01   0.17979724E-02    1.0000000
  4.0500000       0.52113839E-01   0.50352594E-01   0.17104540E-02    1.0000000
  4.1000000       0.56816157E-01   0.57249988E-01   0.14924062E-02    1.0000000
  4.1500000       0.71448307E-01   0.63110361E-01   0.17999621E-02    1.0000000
  4.2000000       0.70961308E-01   0.67361439E-01   0.10459256E-02    1.0000000
  4.2500000       0.75698859E-01   0.69954472E-01   0.24758911E-02    1.0000000
  4.3000000       0.75155103E-01   0.71261806E-01   0.19303549E-02    1.0000000
  4.3500000       0.72803757E-01   0.71149131E-01   0.10439855E-02    1.0000000
  4.4000000       0.69783580E-01   0.69483728E-01   0.96005341E-03    1.0000000
  4.4500000       0.59359298E-01   0.66378739E-01   0.40247472E-04    1.0000000
  4.5000000       0.69170721E-01   0.62242750E-01   0.36344728E-03    1.0000000
  4.5500000       0.58935233E-01   0.56932675E-01   0.20326111E-02    1.0000000
  4.6000000       0.48443657E-01   0.50569387E-01   0.14475924E-02    1.0000000
  4.6500000       0.45955939E-01   0.43331758E-01   0.33273028E-03    1.0000000
  4.7000000       0.43714495E-01   0.35401091E-01   0.38046008E-03    1.0000000
  4.7500000       0.27476953E-01   0.26919351E-01   0.61067249E-03    1.0000000
  4.8000000       0.14955715E-01   0.18086257E-01   0.16802168E-02    1.0000000
  4.8500000       0.14882290E-01   0.90698025E-02   0.29217338E-02    1.0000000
  4.9000000      -0.92454828E-02  -0.24761939E-05   0.29557090E-02    1.0000000
  4.9500000       0.21595456E-02  -0.88560624E-02   0.12687505E-03    1.0000000
  5.0000000      -0.14696446E-01  -0.17288195E-01   0.49147746E-03    1.0000000
  5.0500000      -0.20641075E-01  -0.25163518E-01   0.12890380E-02    1.0000000
  5.1000000      -0.25517091E-01  -0.32313550E-01   0.21290008E-02    1.0000000
  5.1500000      -0.34950819E-01  -0.38519609E-01   0.16277175E-02    1.0000000
  5.2000000      -0.46011865E-01  -0.43644363E-01   0.64754597E-03    1.0000000
  5.2500000      -0.46403456E-01  -0.47637851E-01   0.39462241E-03    1.0000000
