# Athena data file -- Athena version 0.8.056
# Saving 15mM_fc_trans_nov12.txt as chi(k)
# .  Element=Fe   Edge=K
#------------------------
#   k         chi       dchi
  0.0000000       0.37632346E-01   0.0136670000000000
  0.50000000E-01   0.26876586E-01  0.0124806207726080
  0.10000000       0.16120826E-01  0.0112942415452161
  0.15000000       0.53650654E-02  0.0101078623178241
  0.20000000      -0.53906949E-02  0.0089214830904322
  0.25000000      -0.16146455E-01  0.0077351038630402
  0.30000000      -0.26902215E-01  0.0065487246356482
  0.35000000      -0.37657976E-01  0.0053623454082563
  0.40000000      -0.48413736E-01  0.0041759661808643
  0.45000000      -0.55186514E-01  0.0032455142632806
  0.50000000      -0.49720309E-01  0.0031014050189806
  0.55000000      -0.44254104E-01  0.0029572957746806
  0.60000000      -0.38787899E-01  0.0028131865303806
  0.65000000      -0.38108031E-01  0.0024648918808043
  0.70000000      -0.49457436E-01  0.0016034969759492
  0.75000000      -0.60806842E-01  0.0007421020710941
  0.80000000      -0.71059571E-01  0.0003000508171424
  0.85000000      -0.79620242E-01  0.0005049175728264
  0.90000000      -0.88180912E-01  0.0007097843285104
  0.95000000      -0.89564312E-01  0.0019270543958528
  1.0000000      -0.84510717E-01   0.0032923672084614
  1.0500000      -0.72637227E-01   0.0027137676465169
  1.1000000      -0.54680424E-01   0.0015385432438665
  1.1500000      -0.30688656E-01   0.0011305445614098
  1.2000000      -0.45584400E-02   0.0009663982354752
  1.2500000       0.20528061E-01   0.0018229683080804
  1.3000000       0.54264448E-01   0.0017823311542293
  1.3500000       0.94217555E-01   0.0006262149753172
  1.4000000       0.11953294       0.0003359035542839
  1.4500000       0.14545642       0.0002201542249491
  1.5000000       0.18362370       0.0000462884015998
  1.5500000       0.22659830       0.0007088962842977
  1.6000000       0.27169371       0.0016550988121849
  1.6500000       0.31138692       0.0022178984813888
  1.7000000       0.34050736       0.0006695201618415
  1.7500000       0.39437489       0.0016025877636547
  1.8000000       0.43599111       0.0012170109200738
  1.8500000       0.45415523       0.0009669667634658
  1.9000000       0.45177167       0.0023605312124099
  1.9500000       0.43022060       0.0027493274191690
  2.0000000       0.39938472       0.0010317978899587
  2.0500000       0.34489640       0.0010589577242389
  2.1000000       0.26787081       0.0029098897033857
  2.1500000       0.19577307       0.0004048443667884
  2.2000000       0.11390394       0.0010789982911786
  2.2500000       0.88743043E-01   0.0013739549875828
  2.3000000       0.54637853E-01   0.0025381891784442
  2.3500000       0.17915328E-01   0.0031800365407735
  2.4000000      -0.66684762E-02   0.0016069477149433
  2.4500000      -0.22255657E-01   0.0006799915673853
  2.5000000      -0.23932122E-01   0.0011816233252898
  2.5500000      -0.45205522E-01   0.0013649178383316
  2.6000000      -0.53913416E-01   0.0012281220771704
  2.6500000      -0.52977430E-01   0.0004637015306400
  2.7000000      -0.67000643E-01   0.0027436111956876
  2.7500000      -0.65655095E-01   0.0024867305304167
  2.8000000      -0.80719666E-01   0.0027417233952527
  2.8500000      -0.86537414E-01   0.0014326233426061
  2.9000000      -0.99111973E-01   0.0017015416771420
  2.9500000      -0.11590737       0.0016005073573497
  3.0000000      -0.11874018       0.0022831934186205
  3.0500000      -0.12362927       0.0039479738597096
  3.1000000      -0.13387578       0.0055924063671250
  3.1500000      -0.12479317       0.0011073467784643
  3.2000000      -0.12521189       0.0028433560638969
  3.2500000      -0.12479690       0.0028059809220438
  3.3000000      -0.11928232       0.0019690488609913
  3.3500000      -0.10838394       0.0022694342945045
  3.4000000      -0.92831438E-01   0.0015010067374949
  3.4500000      -0.87691796E-01   0.0017992959353031
  3.5000000      -0.74378947E-01   0.0004987592235079
  3.5500000      -0.60014238E-01   0.0010278813239255
  3.6000000      -0.47048384E-01   0.0013013305957915
  3.6500000      -0.31219714E-01   0.0013988575544480
  3.7000000      -0.20650280E-01   0.0013068317620473
  3.7500000      -0.13690289E-01   0.0011598073243175
  3.8000000       0.20973340E-02   0.0013823333955985
  3.8500000       0.15535327E-01   0.0015769099005136
  3.9000000       0.25499852E-01   0.0015997175577242
  3.9500000       0.34291237E-01   0.0012604059101816
  4.0000000       0.47555812E-01   0.0017981162106143
