#------------------------
#   k         chi       dchi
  0.0000000       0.69622970E-01    0.0136670000000000
  0.50000000E-01   0.59201462E-01   0.0124806207726080
  0.10000000       0.48779954E-01   0.0112942415452161
  0.15000000       0.38358446E-01   0.0101078623178241
  0.20000000       0.27936939E-01   0.0089214830904322
  0.25000000       0.17515431E-01   0.0077351038630402
  0.30000000       0.70939228E-02   0.0065487246356482
  0.35000000      -0.33275850E-02   0.0053623454082563
  0.40000000      -0.13749093E-01   0.0041759661808643
  0.45000000      -0.20493987E-01   0.0032455142632806
  0.50000000      -0.15941317E-01   0.0031014050189806
  0.55000000      -0.11388646E-01   0.0029572957746806
  0.60000000      -0.68359749E-02   0.0028131865303806
  0.65000000      -0.71285030E-02   0.0024648918808043
  0.70000000      -0.19598238E-01   0.0016034969759492
  0.75000000      -0.32067973E-01   0.0007421020710941
  0.80000000      -0.43488057E-01   0.0003000508171424
  0.85000000      -0.53288636E-01   0.0005049175728264
  0.90000000      -0.63089215E-01   0.0007097843285104
  0.95000000      -0.65759916E-01   0.0019270543958528
  1.0000000      -0.62021743E-01    0.0032923672084614
  1.0500000      -0.51480297E-01    0.0027137676465169
  1.1000000      -0.34865389E-01    0.0015385432438665
  1.1500000      -0.12218675E-01    0.0011305445614098
  1.2000000       0.12570484E-01    0.0009663982354752
  1.2500000       0.36326990E-01    0.0018229683080804
  1.3000000       0.68750010E-01    0.0017823311542293
  1.3500000       0.10741317        0.0006262149753172
  1.4000000       0.13147076        0.0003359035542839
  1.4500000       0.15617303        0.0002201542249491
  1.5000000       0.19316040        0.0000462884015998
  1.5500000       0.23500287        0.0007088962842977
  1.6000000       0.27901951        0.0016550988121849
  1.6500000       0.31769301        0.0022178984813888
  1.7000000       0.34585782        0.0006695201618415
  1.7500000       0.39883389        0.0016025877636547
  1.8000000       0.43963017        0.0012170109200738
  1.8500000       0.45704983        0.0009669667634658
  1.9000000       0.45399897        0.0023605312124099
  1.9500000       0.43185888        0.0027493274191690
  2.0000000       0.40051159        0.0010317978899587
  2.0500000       0.34559057        0.0010589577242389
  2.1000000       0.26820942        0.0029098897033857
  2.1500000       0.19582777        0.0004048443667884
  2.2000000       0.11374440        0.0010789982911786
  2.2500000       0.88426838E-01    0.0013739549875828
  2.3000000       0.54240751E-01    0.0025381891784442
  2.3500000       0.17453910E-01    0.0031800365407735
  2.4000000      -0.71348791E-02    0.0016069477149433
  2.4500000      -0.22701025E-01    0.0006799915673853
  2.5000000      -0.24336605E-01    0.0011816233252898
  2.5500000      -0.45560810E-01    0.0013649178383316
  2.6000000      -0.54219384E-01    0.0012281220771704
  2.6500000      -0.53239787E-01    0.0004637015306400
  2.7000000      -0.67216607E-01    0.0027436111956876
  2.7500000      -0.65827227E-01    0.0024867305304167
  2.8000000      -0.80851837E-01    0.0027417233952527
  2.8500000      -0.86622202E-01    0.0014326233426061
  2.9000000      -0.99154435E-01    0.0017015416771420
  2.9500000      -0.11590819        0.0016005073573497
  3.0000000      -0.11870207        0.0022831934186205
  3.0500000      -0.12355327        0.0039479738597096
  3.1000000      -0.13376261        0.0055924063671250
  3.1500000      -0.12464632        0.0011073467784643
  3.2000000      -0.12503174        0.0028433560638969
  3.2500000      -0.12458501        0.0028059809220438
  3.3000000      -0.11904077        0.0019690488609913
  3.3500000      -0.10811487        0.0022694342945045
  3.4000000      -0.92536965E-01    0.0015010067374949
  3.4500000      -0.87372415E-01    0.0017992959353031
  3.5000000      -0.74037227E-01    0.0004987592235079
  3.5500000      -0.59651996E-01    0.0010278813239255
  3.6000000      -0.46667197E-01    0.0013013305957915
  3.6500000      -0.30821647E-01    0.0013988575544480
  3.7000000      -0.20236529E-01    0.0013068317620473
  3.7500000      -0.13262243E-01    0.0011598073243175
  3.8000000       0.25369122E-02    0.0013823333955985
  3.8500000       0.15984895E-01    0.0015769099005136
  3.9000000       0.25957988E-01    0.0015997175577242
  3.9500000       0.34756275E-01    0.0012604059101816
  4.0000000       0.48025475E-01    0.0017981162106143
  4.0500000       0.51371086E-01    0.0017132647670696
  4.1000000       0.56062244E-01    0.0014942983093785
  4.1500000       0.70974493E-01    0.0017968747939021
  4.2000000       0.70257404E-01    0.0010457847283521
  4.2500000       0.75086106E-01    0.0024764577706035
  4.3000000       0.74602738E-01    0.0019307832101889
  4.3500000       0.72266089E-01    0.0010455186124043
  4.4000000       0.68690352E-01    0.0009631140389481
  4.4500000       0.58588194E-01    0.0000401975216808
  4.5000000       0.68863804E-01    0.0003633387929773
  4.5500000       0.58973301E-01    0.0020344401806750
  4.6000000       0.46396902E-01    0.0014490256224252
  4.6500000       0.45954208E-01    0.0003330424547729
  4.7000000       0.44422498E-01    0.0003806870801229
  4.7500000       0.26537455E-01    0.0006108372828675
  4.8000000       0.14984212E-01    0.0016809491273429
  4.8500000       0.15047199E-01    0.0029226311551155
  4.9000000      -0.91926603E-02    0.0029513372320751
  4.9500000       0.23747962E-02    0.0001264352216929
  5.0000000      -0.13768789E-01    0.0004911109270795
  5.0500000      -0.22056094E-01    0.0012867759258404
  5.1000000      -0.25260650E-01    0.0021246502405532
  5.1500000      -0.35194472E-01    0.0016243700262879
  5.2000000      -0.46164777E-01    0.0006463053742321
  5.2500000      -0.46094473E-01    0.0003943814143086
  5.3000000      -0.39895991E-01    0.0005360678927856
  5.3500000      -0.41857937E-01    0.0012375295450083
  5.4000000      -0.48067099E-01    0.0022464525701037
  5.4500000      -0.45023445E-01    0.0015149326935016
  5.5000000      -0.38568086E-01    0.0002962427770307
  5.5500000      -0.40295693E-01    0.0010643450064403
  5.6000000      -0.42176504E-01    0.0020390908155576
  5.6500000      -0.34525347E-01    0.0014621296349477
  5.7000000      -0.24745350E-01    0.0009300864629391
  5.7500000      -0.17976687E-01    0.0013698281697881
  5.8000000      -0.97481695E-02    0.0015678133047166
  5.8500000       0.14473697E-02    0.0009577813660498
  5.9000000       0.89778031E-02    0.0009698233710358
  5.9500000       0.11870777E-01    0.0016938895512415
  6.0000000       0.14244234E-01    0.0029603466206625
  6.0500000       0.17204430E-01    0.0044522737811748
  6.1000000       0.22425282E-01    0.0030982874097124
  6.1500000       0.27279479E-01    0.0020176349862341
  6.2000000       0.29957814E-01    0.0024993561198544
  6.2500000       0.30563085E-01    0.0023492957616279
  6.3000000       0.29453573E-01    0.0013843657415414
  6.3500000       0.29591392E-01    0.0011103612977946
  6.4000000       0.30175972E-01    0.0009832356982265
  6.4500000       0.30022759E-01    0.0008561100986584
  6.5000000       0.28444498E-01    0.0008061115824774
  6.5500000       0.23900050E-01    0.0008033251425800
  6.6000000       0.11979711E-01    0.0014546691547528
  6.6500000       0.68112457E-02    0.0022589653401869
  6.7000000       0.11621199E-01    0.0033217199455602
  6.7500000       0.60120625E-02    0.0025996119872325
  6.8000000      -0.26247456E-02    0.0016086732516045
  6.8500000      -0.45890460E-02    0.0019210073387477
  6.9000000      -0.54072509E-02    0.0016937867617067
  6.9500000      -0.77495829E-02    0.0015898313942770
  7.0000000      -0.13109951E-01    0.0027268547801270
  7.0500000      -0.14884811E-01    0.0038430503411228
  7.1000000      -0.14100181E-01    0.0045119087728360
  7.1500000      -0.14386469E-01    0.0030534512517507
  7.2000000      -0.14953480E-01    0.0015949937306654
  7.2500000      -0.16010796E-01    0.0007419729081022
  7.3000000      -0.17740634E-01    0.0015941131846478
  7.3500000      -0.18593714E-01    0.0024462534611935
  7.4000000      -0.17232445E-01    0.0027381156397092
  7.4500000      -0.14278285E-01    0.0022011251845215
  7.5000000      -0.12230067E-01    0.0026440119497945
  7.5500000      -0.13216660E-01    0.0019952469114155
  7.6000000      -0.14971137E-01    0.0005584560775943
  7.6500000      -0.11620318E-01    0.0014139167644023
  7.7000000      -0.24150873E-02    0.0023302770041852
  7.7500000      -0.21556939E-02    0.0019083737244469
  7.8000000      -0.93629897E-02    0.0001816838911539
  7.8500000      -0.14949443E-02    0.0005164287699862
  7.9000000      -0.39023856E-03    0.0006036428265555
  7.9500000       0.22763439E-02    0.0019966230026137
  8.0000000       0.10902087E-01    0.0056384836782213
  8.0500000       0.62023987E-02    0.0026678148082772
  8.1000000       0.72072788E-02    0.0013030425645953
  8.1500000       0.82879449E-02    0.0015943847984164
  8.2000000       0.54826899E-02    0.0023375790671100
  8.2500000       0.21264065E-02    0.0006127325390749
  8.3000000       0.15273772E-02    0.0003266306801924
  8.3500000       0.83658813E-02    0.0006614934782609
  8.4000000       0.96627319E-02    0.0015450885857347
  8.4500000       0.24594352E-02    0.0025996336363563
  8.5000000       0.95295683E-02    0.0022890324178998
  8.5500000       0.14232263E-01    0.0032851634218824
  8.6000000       0.15800972E-01    0.0043893992986357
  8.6500000       0.12756939E-01    0.0037717115923494
  8.7000000       0.10127216E-01    0.0018167318157152
  8.7500000       0.12388530E-01    0.0041941188623940
  8.8000000      -0.22092000E-02    0.0036193101240727
  8.8500000      -0.37590974E-02    0.0013045791731058
  8.9000000      -0.39962918E-03    0.0009830250889662
  8.9500000       0.59804304E-02    0.0011411140095154
  9.0000000       0.48276944E-02    0.0007005252974030
  9.0500000      -0.10244886E-01    0.0011986458911244
  9.1000000      -0.10150123E-04    0.0044288204135828
  9.1500000      -0.10192073E-01    0.0055813269676016
  9.2000000      -0.36620375E-02    0.0024721218906274
  9.2500000      -0.68559018E-02    0.0007642654083072
  9.3000000      -0.11502965E-01    0.0005223851711242
  9.3500000      -0.89068082E-02    0.0009303743501716
  9.4000000      -0.72564792E-02    0.0014291369346649
  9.4500000      -0.87331660E-02    0.0013495789736400
  9.5000000      -0.89147938E-02    0.0007022441363527
  9.5500000       0.15977116E-02    0.0029685343459396
  9.6000000      -0.11382207E-01    0.0012432647561571
  9.6500000      -0.55871142E-02    0.0005630727275786
  9.7000000      -0.47793981E-02    0.0001889287802280
  9.7500000      -0.61418081E-02    0.0009790918115057
  9.8000000      -0.41553784E-02    0.0022913850828605
  9.8500000       0.55772929E-04    0.0027276579016970
  9.9000000      -0.43859120E-02    0.0014339522710093
  9.9500000      -0.36528022E-02    0.0006302023500557
  10.000000       0.26498957E-02     0.0013244869977427
  10.050000       0.11633441E-02     0.0012844556316575
  10.100000       0.11766108E-01     0.0013704445995306
  10.150000       0.98519459E-02     0.0007342062411522
  10.200000       0.66595063E-02     0.0025914267879141
  10.250000       0.41008189E-02     0.0038976945454754
  10.300000       0.12594236E-01     0.0024541298550199
  10.350000      -0.13256538E-03     0.0012058447190973
  10.400000       0.11037260E-01     0.0006794671880646
  10.450000       0.11314632E-01     0.0030471276498246
  10.500000       0.12793900E-01     0.0020946086386929
  10.550000       0.46708424E-02     0.0012288729144951
  10.600000       0.88065005E-02     0.0031636049894527
  10.650000       0.26461574E-04     0.0015100985009698
  10.700000      -0.14288939E-02     0.0037719832177443
  10.750000      -0.10004106E-01     0.0033928021498217
  10.800000      -0.57773903E-02     0.0019765575137952
  10.850000       0.76293528E-03     0.0011503198379371
  10.900000       0.13252254E-02     0.0029383618165592
  10.950000      -0.37841947E-02     0.0013523317706610
  11.000000      -0.19945382E-03     0.0008821845568669
