# data from ifeffit
#------------------------
#   k         chi         chi       dchi         win
  0.0000000       0.68827491E-01   0.49584875       0.14160700E-01    0.0000000
  0.50000000E-01   0.58425291E-01   0.49580509       0.33873000E-02    0.0000000
  0.10000000       0.48023091E-01   0.49567393       0.27884000E-02    0.0000000
  0.15000000       0.37620892E-01   0.49545467       0.22520000E-03    0.0000000
  0.20000000       0.27218692E-01   0.49514632       0.75310000E-03    0.0000000
  0.25000000       0.16816492E-01   0.49474749       0.36894000E-02    0.0000000
  0.30000000       0.64142925E-02   0.49425630       0.15115000E-02    0.0000000
  0.35000000      -0.39879072E-02   0.49367045       0.83730000E-03    0.0000000
  0.40000000      -0.14390107E-01   0.49298708       0.23346000E-02    0.0000000
  0.45000000      -0.21039177E-01   0.49220278       0.41660000E-03    0.0000000
  0.50000000      -0.16155561E-01   0.49131352       0.27460000E-03    0.0000000
  0.55000000      -0.11271946E-01   0.49031451       0.16900000E-04    0.0000000
  0.60000000      -0.63883304E-02   0.48920016       0.10667000E-02    0.0000000
  0.65000000      -0.63707246E-02   0.48796391       0.25224000E-02    0.0000000
  0.70000000      -0.18582629E-01   0.48659806       0.50950000E-03    0.0000000
  0.75000000      -0.30794534E-01   0.48509358       0.21195000E-02    0.0000000
  0.80000000      -0.41937509E-01   0.48343977       0.32640000E-03    0.0000000
  0.85000000      -0.51431238E-01   0.48162394       0.20940000E-02    0.0000000
  0.90000000      -0.60924967E-01   0.47963088       0.31231000E-02    0.0000000
  0.95000000      -0.63225499E-01   0.47744217       0.10363000E-02    0.0000000
  1.0000000      -0.59064828E-01   0.47503525       0.10663000E-02    0.0000000
  1.0500000      -0.48049052E-01   0.47238201       0.29342000E-02    0.0000000
  1.1000000      -0.30916417E-01   0.46944679       0.38060000E-03    0.0000000
  1.1500000      -0.77116492E-02   0.46618324       0.10594000E-02    0.0000000
  1.2000000       0.17642813E-01   0.46252929       0.15389000E-02    0.0000000
  1.2500000       0.41944366E-01   0.45839846       0.50410000E-03    0.0000000
  1.3000000       0.74965171E-01   0.45366393       0.22460000E-02    0.0000000
  1.3500000       0.11425730       0.44812565       0.37474000E-02    0.0000000
  1.4000000       0.13880984       0.44143174       0.21031000E-02    0.0000000
  1.4500000       0.16398961       0.43283836       0.12935000E-02    0.0000000
  1.5000000       0.20152548       0.41998758       0.49970000E-03    0.0000000
  1.5500000       0.24392730      -0.33863352       0.12021000E-02    0.0000000
  1.6000000       0.28849120      -0.17439159       0.13715000E-02    0.0000000
  1.6500000       0.32763940       0.10333777E-01   0.13614000E-02    0.0000000
  1.7000000       0.35616442       0.20859172       0.10696000E-02    0.0000000
  1.7500000       0.40966037       0.40631335       0.27650000E-03    0.0000000
  1.8000000       0.45084653       0.59350278       0.27527000E-02    0.0000000
  1.8500000       0.46843787       0.75952450       0.26708000E-02    0.0000000
  1.9000000       0.46536269       0.89475616       0.20558000E-02    0.0000000
  1.9500000       0.44301287       0.99228841       0.31204000E-02    0.0000000
  2.0000000       0.41134779        1.0459463       0.13881000E-02    0.0000000
  2.0500000       0.35588947        1.0546153       0.17214000E-02    0.0000000
  2.1000000       0.27776127        1.0196484       0.15748000E-02    0.0000000
  2.1500000       0.20463861       0.94604657       0.28624000E-02    0.0000000
  2.2000000       0.12170762       0.83864355       0.61888000E-02    0.0000000
  2.2500000       0.95956986E-01   0.70671560       0.26710000E-03    0.0000000
  2.3000000       0.61300516E-01   0.56176643       0.40043000E-02    0.0000000
  2.3500000       0.23887568E-01   0.41135361       0.17110000E-02    0.0000000
  2.4000000      -0.11673407E-02   0.26439980       0.24657000E-02    0.0000000
  2.4500000      -0.17190581E-01   0.12986616       0.14645000E-02    0.0000000
  2.5000000      -0.19155861E-01   0.11115666E-01   0.18031000E-02    0.0000000
  2.5500000      -0.40862277E-01  -0.88100230E-01   0.33400000E-03    0.0000000
  2.6000000      -0.49914554E-01  -0.16511942       0.11541000E-02    0.0000000
  2.6500000      -0.49222721E-01  -0.22040421       0.13493000E-02    0.0000000
  2.7000000      -0.63612536E-01  -0.25668696       0.14287000E-02    0.0000000
  2.7500000      -0.62511149E-01  -0.27600892       0.11259000E-02    0.0000000
  2.8000000      -0.77914094E-01  -0.28207953       0.14564000E-02    0.0000000
  2.8500000      -0.84048982E-01  -0.27833374       0.17024000E-02    0.0000000
  2.9000000      -0.96959967E-01  -0.26630304       0.12253000E-02    0.0000000
  2.9500000      -0.11411866      -0.24940980       0.20313000E-02    0.0000000
  3.0000000      -0.11720145      -0.22960324       0.13632000E-02    0.0000000
  3.0500000      -0.12235010      -0.20616089       0.18758000E-02    0.0000000
  3.1000000      -0.13289086      -0.18177494       0.95080000E-03   0.66986993E-01
  3.1500000      -0.12394703      -0.15910616       0.30791000E-02   0.24999894
  3.2000000      -0.12457053      -0.13982737       0.96370000E-03   0.49999817
  3.2500000      -0.12434658      -0.12528635       0.11831000E-02   0.74999788
  3.3000000      -0.11897624      -0.11215333       0.34900000E-04   0.93301117
  3.3500000      -0.10817288      -0.10000659       0.42660000E-03   1.00000000
  3.4000000      -0.92671583E-01  -0.87134246E-01   0.27513000E-02    1.0000000
  3.4500000      -0.87655030E-01  -0.74892633E-01   0.30320000E-03    1.0000000
  3.5000000      -0.74394026E-01  -0.63661492E-01   0.37910000E-03    1.0000000
  3.5500000      -0.60064534E-01  -0.53190869E-01   0.38390000E-03    1.0000000
  3.6000000      -0.47135982E-01  -0.44997303E-01   0.14699000E-02    1.0000000
  3.6500000      -0.31313807E-01  -0.36842953E-01   0.29003000E-02    1.0000000
