 Ferrocene PUBLISHED DATA                                         Feff 8.10
 Abs   Z=26 Rmt= 1.252 Rnm= 1.298 K  shell
 Pot 1 Z= 6 Rmt= 0.847 Rnm= 1.042
 Pot 2 Z= 1 Rmt= 0.763 Rnm= 0.924
 Gam_ch=1.309E+00 H-L exch
 Mu= 5.790E+00 kf=2.396E+00 Vint=-1.609E+01 Rs_int= 1.513
 S02  1.000                                        Global sig2  0.00100
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
          1       0.00100    100.00     10.00     2   2.0648
          2       0.00100     33.07     20.00     3   2.7789
          3       0.00100      8.36     10.00     2   2.8339
          4       0.00100     12.47     20.00     3   2.9906
          5       0.00100      4.58     10.00     4   3.1472
          6       0.00100     11.85     20.00     3   3.2202
          7       0.00100     12.27     20.00     4   3.4929
          8       0.00100      6.18     40.00     4   3.7046
          9       0.00100      5.29     10.00     3   3.7343
         10       0.00100      5.94     40.00     5   3.8613
         11       0.00100     16.56     20.00     3   3.8806
         12       0.00100     12.71     40.00     4   3.9343
         13       0.00100     28.78     20.00     3   4.0951
         14       0.00100     13.78     20.00     4   4.1296
         16       0.00100      5.01     10.00     4   4.1296
         17       0.00100      7.09     20.00     4   4.1296
         18       0.00100      4.34     20.00     4   4.1296
         20       0.00100      4.29     40.00     5   4.2070
         21       0.00100      7.52     20.00     5   4.2070
         22       0.00100      4.37     40.00     4   4.2846
         23       0.00100      5.94     40.00     5   4.3026
         24       0.00100      7.92     20.00     4   4.3756
         25       0.00100      4.85     20.00     4   4.3756
         29       0.00100     10.50     40.00     4   4.5947
         31       0.00100      6.55     40.00     5   4.6483
         32       0.00100      8.42     40.00     4   4.8092
         33       0.00100     10.93     40.00     4   4.8092
         34       0.00100      5.51     40.00     3   4.8132
         35       0.00100      4.66     20.00     6   4.9211
         36       0.00100      5.57     40.00     4   4.9698
   30/  34 paths used
 -----------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -4.015163E-01  9.845258E-01 -4.200730E-01
     0.0500   -3.969448E-01  9.860644E-01 -4.143059E-01
     0.1000   -3.923415E-01  9.875954E-01 -4.085395E-01
     0.1500   -3.783974E-01  9.921286E-01 -3.913098E-01
     0.2000   -3.641777E-01  9.965942E-01 -3.740864E-01
     0.2500   -3.399955E-01  1.003858E+00 -3.455228E-01
     0.3000   -3.151035E-01  1.010935E+00 -3.169763E-01
     0.3500   -2.793669E-01  1.020471E+00 -2.773029E-01
     0.4000   -2.424102E-01  1.029642E+00 -2.376625E-01
     0.4500   -1.936813E-01  1.040813E+00 -1.871777E-01
     0.5000   -1.433258E-01  1.051387E+00 -1.367465E-01
     0.5500   -8.054472E-02  1.063385E+00 -7.581632E-02
     0.6000   -1.607957E-02  1.074507E+00 -1.496516E-02
     0.6500    6.079910E-02  1.086416E+00  5.599223E-02
     0.7000    1.387879E-01  1.097132E+00  1.268405E-01
     0.7500    2.280965E-01  1.107915E+00  2.073620E-01
     0.8000    3.170340E-01  1.117164E+00  2.877387E-01
     0.8500    4.147634E-01  1.125739E+00  3.773266E-01
     0.9000    5.095596E-01  1.132439E+00  4.667277E-01
     0.9500    6.090207E-01  1.137734E+00  5.648540E-01
     1.0000    7.019356E-01  1.140836E+00  6.627435E-01
     1.0500    7.939388E-01  1.141846E+00  7.688532E-01
     1.1000    8.750609E-01  1.140398E+00  8.746658E-01
     1.1500    9.488022E-01  1.136258E+00  9.881750E-01
     1.2000    1.007273E+00  1.129480E+00  1.101313E+00
     1.2500    1.051969E+00  1.119532E+00  1.221608E+00
     1.3000    1.077894E+00  1.106880E+00  1.341440E+00
     1.3500    1.084963E+00  1.090736E+00  1.467864E+00
     1.4000    1.071681E+00  1.071962E+00  1.593710E+00
     1.4500    1.037015E+00  1.049560E+00  1.725561E+00
     1.5000    9.831545E-01  1.024747E+00  1.856685E+00
     1.5500    9.088126E-01  9.963855E-01  1.993192E+00
     1.6000    8.194614E-01  9.659749E-01  2.128777E+00
     1.6500    7.140979E-01  9.323334E-01  2.269113E+00
     1.7000    6.004818E-01  8.971218E-01  2.408269E+00
     1.7500    4.780998E-01  8.591879E-01  2.551479E+00
     1.8000    3.556241E-01  8.202428E-01  2.693154E+00
     1.8500    2.328055E-01  7.793106E-01  2.838228E+00
     1.9000    1.177969E-01  7.379809E-01  2.981286E+00
     1.9500    1.007750E-02  6.954822E-01  3.127102E+00
     2.0000   -8.383198E-02  6.532296E-01  3.270282E+00
     2.0500   -1.667410E-01  6.103383E-01  3.418305E+00
     2.1000   -2.325210E-01  5.683572E-01  3.563072E+00
     2.1500   -2.813131E-01  5.275094E-01  3.704072E+00
     2.2000   -3.140517E-01  4.880170E-01  3.840689E+00
     2.2500   -3.345901E-01  4.488141E-01  3.982875E+00
     2.3000   -3.414870E-01  4.115500E-01  4.120267E+00
     2.3500   -3.372588E-01  3.764054E-01  4.252268E+00
     2.4000   -3.245432E-01  3.435464E-01  4.378226E+00
     2.4500   -3.063137E-01  3.127637E-01  4.508950E+00
     2.5000   -2.831724E-01  2.840555E-01  4.633518E+00
     2.5500   -2.573225E-01  2.575177E-01  4.751326E+00
     2.6000   -2.306283E-01  2.332265E-01  4.861793E+00
     2.6500   -2.015497E-01  2.081744E-01  4.965344E+00
     2.7000   -1.748223E-01  1.855688E-01  5.054380E+00
     2.7500   -1.517795E-01  1.658422E-01  5.127172E+00
     2.8000   -1.331164E-01  1.493824E-01  5.183395E+00
     2.8500   -1.195041E-01  1.387677E-01  5.245597E+00
     2.9000   -1.086967E-01  1.308726E-01  5.303084E+00
     2.9500   -9.993519E-02  1.253923E-01  5.360906E+00
     3.0000   -9.230435E-02  1.218758E-01  5.423918E+00
     3.0500   -8.262875E-02  1.166857E-01  5.496337E+00
     3.1000   -7.335639E-02  1.123903E-01  5.572052E+00
     3.1500   -6.411357E-02  1.086953E-01  5.652316E+00
     3.2000   -5.464999E-02  1.053261E-01  5.737663E+00
     3.2500   -4.718412E-02  1.045278E-01  5.814849E+00
     3.3000   -3.880638E-02  1.039059E-01  5.900432E+00
     3.3500   -2.944074E-02  1.031952E-01  5.993875E+00
     3.4000   -1.919860E-02  1.021829E-01  6.094177E+00
     3.4500   -8.345328E-03  1.036629E-01  6.202594E+00
     3.5000    3.780318E-03  1.045897E-01  6.319337E+00
     3.5500    1.664309E-02  1.048424E-01  6.442604E+00
     3.6000    2.959649E-02  1.043493E-01  6.570762E+00
