 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000    10.000     2   2.0648
      2    33.067    20.000     3   2.7789
      3     8.363    10.000     2   2.8339
      4    12.473    20.000     3   2.9906
      5     4.580    10.000     4   3.1472
      6    11.854    20.000     3   3.2202
      7    12.271    20.000     4   3.4929
      8     6.176    40.000     4   3.7046
      9     5.285    10.000     3   3.7343
     10     5.942    40.000     5   3.8613
     11    16.558    20.000     3   3.8806
     12    12.714    40.000     4   3.9343
     13    28.780    20.000     3   4.0951
     14    13.780    20.000     4   4.1296
     15     1.814    20.000     4   4.1296 neglected
     16     5.012    10.000     4   4.1296
     17     7.086    20.000     4   4.1296
     18     4.339    20.000     4   4.1296
     19     2.334    40.000     4   4.1460 neglected
     20     4.291    40.000     5   4.2070
     21     7.517    20.000     5   4.2070
     22     4.373    40.000     4   4.2846
     23     5.936    40.000     5   4.3026
     24     7.917    20.000     4   4.3756
     25     4.852    20.000     4   4.3756
     26     3.550    40.000     5   4.4187
     27     3.320    40.000     5   4.4413
     28     2.833    40.000     6   4.5753
     29    10.504    40.000     4   4.5947
     30     3.724    40.000     4   4.6129
     31     6.547    40.000     5   4.6483
     32     8.418    40.000     4   4.8092
     33    10.931    40.000     4   4.8092
     34     5.508    40.000     3   4.8132
     35     4.660    20.000     6   4.9211
     36     5.570    40.000     4   4.9698
   34 paths kept,   36 examined.
 Done with module 5: F_eff.
