 Ferrocene PUBLISHED DATA                                         Feff 8.10
 Abs   Z=26 Rmt= 1.252 Rnm= 1.298 K  shell
 Pot 1 Z= 6 Rmt= 0.847 Rnm= 1.042
 Pot 2 Z= 1 Rmt= 0.763 Rnm= 0.924
 Gam_ch=1.309E+00 H-L exch
 Mu= 5.790E+00 kf=2.396E+00 Vint=-1.609E+01 Rs_int= 1.513
 S02  1.000                                        Global sig2  0.00100
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
          1       0.00100    100.00     10.00     2   2.0648
          2       0.00100     33.07     20.00     3   2.7789
          3       0.00100      8.36     10.00     2   2.8339
          4       0.00100     12.47     20.00     3   2.9906
          5       0.00100      4.58     10.00     4   3.1472
          6       0.00100     11.85     20.00     3   3.2202
          7       0.00100     12.27     20.00     4   3.4929
          8       0.00100      6.18     40.00     4   3.7046
          9       0.00100      5.29     10.00     3   3.7343
         10       0.00100      5.94     40.00     5   3.8613
         11       0.00100     16.56     20.00     3   3.8806
         12       0.00100     12.71     40.00     4   3.9343
         13       0.00100     28.78     20.00     3   4.0951
         14       0.00100     13.78     20.00     4   4.1296
         16       0.00100      5.01     10.00     4   4.1296
         17       0.00100      7.09     20.00     4   4.1296
         18       0.00100      4.34     20.00     4   4.1296
         20       0.00100      4.29     40.00     5   4.2070
         21       0.00100      7.52     20.00     5   4.2070
         22       0.00100      4.37     40.00     4   4.2846
         23       0.00100      5.94     40.00     5   4.3026
         24       0.00100      7.92     20.00     4   4.3756
         25       0.00100      4.85     20.00     4   4.3756
         29       0.00100     10.50     40.00     4   4.5947
         31       0.00100      6.55     40.00     5   4.6483
         32       0.00100      8.42     40.00     4   4.8092
         33       0.00100     10.93     40.00     4   4.8092
         34       0.00100      5.51     40.00     3   4.8132
         35       0.00100      4.66     20.00     6   4.9211
         36       0.00100      5.57     40.00     4   4.9698
   30/  34 paths used
 xsedge+50, used to normalize mu           3.1306E-04
 -----------------------------------------------------------------------
  e, e(wrt edge), k, mu=(1+chi)*mu0, mu0, chi @#
    7115.674      5.790   0.000  1.00469E-01  5.19456E-01 -4.01516E-01
    7115.683      5.800   0.050  1.14826E-01  5.29042E-01 -3.96945E-01
    7115.712      5.828   0.100  1.29216E-01  5.38629E-01 -3.92341E-01
    7115.760      5.876   0.150  1.72011E-01  5.66855E-01 -3.78397E-01
    7115.826      5.942   0.200  2.15093E-01  5.95082E-01 -3.64178E-01
    7115.912      6.028   0.250  2.82352E-01  6.37076E-01 -3.39995E-01
    7116.017      6.133   0.300  3.50347E-01  6.79071E-01 -3.15103E-01
    7116.141      6.257   0.350  4.31909E-01  7.23306E-01 -2.79367E-01
    7116.284      6.400   0.400  5.14731E-01  7.67542E-01 -2.42410E-01
