 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000    10.000     2   2.0681
      2    33.068    20.000     3   2.7821
      3     8.390    10.000     2   2.8339
      4    12.372    20.000     3   2.9922
      5     4.496    10.000     4   3.1505
      6    11.878    20.000     3   3.2234
      7    12.245    20.000     4   3.4962
      8     6.182    40.000     4   3.7063
      9    12.060    20.000     3   3.7833
     10     5.882    40.000     5   3.8646
     11    12.703    40.000     4   3.9375
     12    23.007    20.000     3   4.0089
     13    15.516    10.000     3   4.1361
     14    10.533    10.000     4   4.1361
     15     3.651    20.000     4   4.1361
     16     4.995    10.000     4   4.1361
     17     1.685    20.000     4   4.1361 neglected
     18     7.043    20.000     4   4.1361
     19     4.356    20.000     4   4.1361
     20     2.341    40.000     4   4.1476 neglected
     21     4.292    40.000     5   4.2103
     22     7.507    20.000     5   4.2103
     23     4.375    40.000     4   4.2863
     24     5.896    40.000     5   4.3059
     25     7.897    20.000     4   4.3788
     26     4.847    20.000     4   4.3788
     27     3.557    40.000     5   4.4204
     28     3.281    40.000     5   4.4446
     29     8.567    40.000     4   4.4973
     30     2.804    40.000     6   4.5787
     31     6.531    40.000     5   4.6516
     32     4.105    40.000     3   4.6639
     33     4.680    40.000     4   4.8222
     34    10.178    40.000     4   4.8502
     35     3.025    20.000     3   4.8720
     36     4.652    20.000     6   4.9243
   34 paths kept,   36 examined.
 Done with module 5: F_eff.
