 Ferrocene PUBLISHED DATA
 Rmax  5.0000,  keep limit  0.000, heap limit  0.000
 Plane wave chi amplitude filter   2.50%
 -----------------------------------------------------------------------
     1    2  10.000  index, nleg, degeneracy, r=  2.0681
      x           y           z     ipot  label      rleg      beta        eta
    0.000000   -1.214852   -1.673614   1 'C     '     2.0681  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.0681  180.0000    0.0000
     2    3  20.000  index, nleg, degeneracy, r=  2.7821
      x           y           z     ipot  label      rleg      beta        eta
   -0.714072    0.982836   -1.673614   1 'C     '     2.0681  110.1993    0.0000
    0.714072    0.982836   -1.673614   1 'C     '     1.4281  110.1993    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.0681  139.6014    0.0000
     3    2  10.000  index, nleg, degeneracy, r=  2.8339
      x           y           z     ipot  label      rleg      beta        eta
   -2.184779    0.709878    1.659522   2 'H     '     2.8339  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.8339  180.0000    0.0000
     4    3  20.000  index, nleg, degeneracy, r=  2.9922
      x           y           z     ipot  label      rleg      beta        eta
    2.184779    0.709878    1.659522   2 'H     '     2.8339  143.4095    0.0000
    1.155393    0.375410    1.673614   1 'C     '     1.0825   54.7706    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.0681  161.8200    0.0000
     5    4  10.000  index, nleg, degeneracy, r=  3.1505
      x           y           z     ipot  label      rleg      beta        eta
    1.155393   -0.375410   -1.673614   1 'C     '     2.0681   54.7706    0.0000
    2.184779   -0.709878   -1.659522   2 'H     '     1.0825  180.0000    0.0000
    1.155393   -0.375410   -1.673614   1 'C     '     1.0825   54.7706    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.0681  180.0000    0.0000
     6    3  20.000  index, nleg, degeneracy, r=  3.2234
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    1.214852    1.673614   1 'C     '     2.0681  123.9650    0.0000
    0.714072   -0.982836    1.673614   1 'C     '     2.3108  123.9650    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.0681  112.0701    0.0000
     7    4  20.000  index, nleg, degeneracy, r=  3.4962
      x           y           z     ipot  label      rleg      beta        eta
    0.714072   -0.982836    1.673614   1 'C     '     2.0681  110.1993    0.0000
    1.155393    0.375410    1.673614   1 'C     '     1.4281  180.0000    0.0000
    0.714072   -0.982836    1.673614   1 'C     '     1.4281  110.1993    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.0681  180.0000    0.0000
     8    4  40.000  index, nleg, degeneracy, r=  3.7063
      x           y           z     ipot  label      rleg      beta        eta
    2.184779    0.709878    1.659522   2 'H     '     2.8339  143.4095   89.4581
    1.155393    0.375410    1.673614   1 'C     '     1.0825   54.0035 -119.5017
    0.000000    1.214852    1.673614   1 'C     '     1.4281  110.1993   20.0694
    0.000000    0.000000    0.000000   0 'Fe    '     2.0681  128.3927  -45.4645
     9    3  20.000  index, nleg, degeneracy, r=  3.7833
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    1.214852    1.673614   1 'C     '     2.0681  146.0350    0.0000
    0.714072    0.982836   -1.673614   1 'C     '     3.4304  146.0350    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.0681   67.9299    0.0000
    10    5  40.000  index, nleg, degeneracy, r=  3.8646
      x           y           z     ipot  label      rleg      beta        eta
   -1.155393    0.375410    1.673614   1 'C     '     2.0681   54.7706    0.0000
   -2.184779    0.709878    1.659522   2 'H     '     1.0825  180.0000    0.0000
