 Ferrocene eclipsed structure                           Feff 6L.02    potph 4.12
 Abs   Z=26 Rmt= 1.119 Rnm= 1.282 K shell
 Pot 1 Z= 6 Rmt= 0.729 Rnm= 1.072
 Gam_ch=1.325E+00 H-L exch
 Mu=-4.350E+00 kf=2.571E+00 Vint=-2.954E+01 Rs_int= 1.411
 Path    4      icalc       2                           Feff 6L.02   genfmt 1.44
 -------------------------------------------------------------------------------
   4  20.000   3.4701    2.0686   -4.34989 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  26 Fe       absorbing atom
    -1.6639    0.3721   -1.1455  1   6 C     
    -1.6639    1.2044    0.0000  1   6 C     
    -1.6639    0.3721   -1.1455  1   6 C     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  2.3506E+00  0.0000E+00 -3.0945E+00  0.1016E+01  2.9575E+01  2.5714E+00
  0.200  2.3472E+00  2.0693E-02 -4.4370E+00  0.1016E+01  2.9658E+01  2.5788E+00
  0.400  2.3370E+00  3.9669E-02 -5.6904E+00  0.1016E+01  2.9875E+01  2.6009E+00
  0.600  2.3203E+00  5.5485E-02 -6.8598E+00  0.1015E+01  3.0138E+01  2.6374E+00
  0.800  2.2974E+00  6.7222E-02 -7.9529E+00  0.1015E+01  3.0307E+01  2.6877E+00
  1.000  2.2687E+00  7.4627E-02 -8.9790E+00  0.1015E+01  3.0218E+01  2.7512E+00
  1.200  2.2347E+00  7.8125E-02 -9.9478E+00  0.1016E+01  2.9726E+01  2.8272E+00
  1.400  2.1958E+00  7.8664E-02 -1.0867E+01  0.1016E+01  2.8756E+01  2.9150E+00
  1.600  2.1524E+00  7.7435E-02 -1.1743E+01  0.1018E+01  2.7337E+01  3.0142E+00
  1.800  2.1047E+00  7.5539E-02 -1.2574E+01  0.1020E+01  2.5594E+01  3.1240E+00
  2.000  2.0527E+00  7.3695E-02 -1.3355E+01  0.1023E+01  2.3709E+01  3.2443E+00
  2.200  1.9959E+00  7.2089E-02 -1.4076E+01  0.1026E+01  2.1868E+01  3.3748E+00
  2.400  1.9338E+00  7.0434E-02 -1.4730E+01  0.1030E+01  2.0222E+01  3.5152E+00
  2.600  1.8650E+00  6.8196E-02 -1.5311E+01  0.1035E+01  1.8882E+01  3.6657E+00
  2.800  1.8019E+00  6.4850E-02 -1.5816E+01  0.1031E+01  1.7922E+01  3.8263E+00
  3.000  1.6154E+00  6.1021E-02 -1.6160E+01  0.1056E+01  1.3007E+01  4.0362E+00
  3.200  1.6117E+00  6.9074E-02 -1.6739E+01  0.1131E+01  8.6660E+00  4.1643E+00
  3.400  1.6050E+00  7.1568E-02 -1.7233E+01  0.1168E+01  7.2567E+00  4.2988E+00
  3.600  1.5793E+00  6.8902E-02 -1.7661E+01  0.1185E+01  6.6089E+00  4.4391E+00
  3.800  1.5413E+00  6.2698E-02 -1.8059E+01  0.1192E+01  6.2794E+00  4.5848E+00
  4.000  1.4896E+00  5.4586E-02 -1.8445E+01  0.1189E+01  6.1172E+00  4.7354E+00
  4.200  1.4419E+00  4.6317E-02 -1.8837E+01  0.1184E+01  6.0561E+00  4.8904E+00
  4.400  1.3813E+00  3.8834E-02 -1.9218E+01  0.1177E+01  6.0621E+00  5.0494E+00
  4.600  1.3216E+00  3.2466E-02 -1.9578E+01  0.1166E+01  6.1159E+00  5.2121E+00
  4.800  1.2493E+00  2.7063E-02 -1.9923E+01  0.1156E+01  6.2057E+00  5.3780E+00
  5.000  1.1729E+00  2.2608E-02 -2.0250E+01  0.1146E+01  6.3236E+00  5.5469E+00
  5.200  1.0991E+00  1.8906E-02 -2.0565E+01  0.1135E+01  6.4643E+00  5.7183E+00
  5.400  1.0180E+00  1.5907E-02 -2.0865E+01  0.1124E+01  6.6242E+00  5.8922E+00
  5.600  9.3592E-01  1.3373E-02 -2.1154E+01  0.1113E+01  6.8003E+00  6.0681E+00
  5.800  8.5500E-01  1.1289E-02 -2.1435E+01  0.1103E+01  6.9907E+00  6.2460E+00
  6.000  7.7285E-01  9.5550E-03 -2.1698E+01  0.1093E+01  7.1937E+00  6.4256E+00
  6.500  5.7170E-01  6.2663E-03 -2.2308E+01  0.1068E+01  7.7487E+00  6.8811E+00
  7.000  3.8059E-01  4.0659E-03 -2.2855E+01  0.1045E+01  8.3612E+00  7.3441E+00
  7.500  2.0399E-01  2.6224E-03 -2.3325E+01  0.1026E+01  9.0225E+00  7.8131E+00
  8.000  3.5563E-02  1.7096E-03 -2.3723E+01  0.1009E+01  9.7269E+00  8.2867E+00
  8.500 -1.2703E-01  1.1576E-03 -2.4066E+01  0.9940E+00  1.0470E+01  8.7642E+00
  9.000 -2.9562E-01  8.3119E-04 -2.4371E+01  0.9790E+00  1.1249E+01  9.2447E+00
  9.500 -4.6505E-01  6.3404E-04 -2.4666E+01  0.9659E+00  1.2062E+01  9.7277E+00
 10.000 -6.2783E-01  5.0508E-04 -2.4955E+01  0.9540E+00  1.2907E+01  1.0213E+01
 11.000 -9.3142E-01  3.4176E-04 -2.5540E+01  0.9343E+00  1.4687E+01  1.1188E+01
 12.000 -1.2069E+00  2.3241E-04 -2.6231E+01  0.9231E+00  1.6579E+01  1.2168E+01
 13.000 -1.4665E+00  1.4230E-04 -2.6997E+01  0.9168E+00  1.8578E+01  1.3152E+01
 14.000 -1.7078E+00  7.6012E-05 -2.7581E+01  0.9100E+00  2.0677E+01  1.4138E+01
 15.000 -1.9277E+00  4.2164E-05 -2.7760E+01  0.9058E+00  2.2873E+01  1.5127E+01
 16.000 -2.1327E+00  2.9300E-05 -2.7885E+01  0.9044E+00  2.5161E+01  1.6118E+01
 17.000 -2.3251E+00  2.3335E-05 -2.8232E+01  0.9017E+00  2.7539E+01  1.7109E+01
 18.000 -2.5024E+00  2.1096E-05 -2.8706E+01  0.8998E+00  3.0004E+01  1.8102E+01
 19.000 -2.6677E+00  1.4626E-05 -2.9259E+01  0.8996E+00  3.2552E+01  1.9096E+01
 20.000 -2.8231E+00  1.5009E-05 -2.8545E+01  0.8978E+00  3.5182E+01  2.0090E+01
