 Ferrocene eclipsed structure                           Feff 6L.02    potph 4.12
 Abs   Z=26 Rmt= 1.103 Rnm= 1.266 K shell
 Pot 1 Z= 6 Rmt= 0.719 Rnm= 1.061
 Gam_ch=1.325E+00 H-L exch
 Mu=-4.524E+00 kf=2.606E+00 Vint=-3.040E+01 Rs_int= 1.392
 Path   27      icalc       2                           Feff 6L.02   genfmt 1.44
 -------------------------------------------------------------------------------
   4  24.000   4.6295    2.0468   -4.52442 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  26 Fe       absorbing atom
     1.6424   -0.9618    0.6988  1   6 C     
    -1.6424   -0.3673   -1.1307  1   6 C     
    -1.6424    0.9618   -0.6988  1   6 C     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  2.3114E+00  0.0000E+00 -3.7700E-01  0.1016E+01  2.9978E+01  2.6065E+00
  0.200  2.3079E+00  2.4103E-02 -2.1567E+00  0.1016E+01  3.0060E+01  2.6138E+00
  0.400  2.2977E+00  4.6814E-02 -3.7942E+00  0.1016E+01  3.0275E+01  2.6356E+00
  0.600  2.2808E+00  6.6796E-02 -5.2948E+00  0.1016E+01  3.0536E+01  2.6716E+00
  0.800  2.2577E+00  8.2872E-02 -6.6667E+00  0.1015E+01  3.0705E+01  2.7212E+00
  1.000  2.2287E+00  9.4177E-02 -7.9198E+00  0.1015E+01  3.0621E+01  2.7840E+00
  1.200  2.1945E+00  1.0029E-01 -9.0647E+00  0.1016E+01  3.0140E+01  2.8591E+00
  1.400  2.1553E+00  1.0129E-01 -1.0112E+01  0.1017E+01  2.9183E+01  2.9459E+00
  1.600  2.1117E+00  9.7717E-02 -1.1069E+01  0.1018E+01  2.7772E+01  3.0439E+00
  1.800  2.0639E+00  9.0390E-02 -1.1946E+01  0.1020E+01  2.6028E+01  3.1526E+00
  2.000  2.0119E+00  8.0294E-02 -1.2746E+01  0.1023E+01  2.4128E+01  3.2715E+00
  2.200  1.9554E+00  6.8427E-02 -1.3476E+01  0.1026E+01  2.2257E+01  3.4005E+00
  2.400  1.8939E+00  5.5735E-02 -1.4139E+01  0.1030E+01  2.0568E+01  3.5394E+00
