# data from ifeffit
#------------------------
#   k         chi       k         chi         dchi         win
  0.0000000       0.20078020        0.0000000      -0.45088207       0.27280517E-01    0.0000000
  0.50000000E-01   0.20133084       0.50000000E-01  -0.44515352       0.28132898E-01    0.0000000
  0.10000000       0.20299931       0.10000000      -0.42942497       0.27541137E-01    0.0000000
  0.15000000       0.20583776       0.15000000      -0.41369642       0.27060424E-01    0.0000000
  0.20000000       0.20994230       0.20000000      -0.39796787       0.27117630E-01    0.0000000
  0.25000000       0.21547074       0.25000000      -0.38223932       0.27245932E-01    0.0000000
  0.30000000       0.22267883       0.30000000      -0.36651077       0.27149163E-01    0.0000000
  0.35000000       0.23199957       0.35000000      -0.35006694       0.26884656E-01    0.0000000
  0.40000000       0.24424746       0.40000000      -0.33338932       0.26523588E-01    0.0000000
  0.45000000       0.26132398       0.45000000      -0.32038238       0.27041081E-01    0.0000000
  0.50000000       0.29150074       0.50000000      -0.31184631       0.26488582E-01    0.0000000
  0.55000000      -0.36250700       0.55000000      -0.30777071       0.26876095E-01    0.0000000
  0.60000000      -0.43410054       0.60000000      -0.30798927       0.26471086E-01    0.0000000
  0.65000000      -0.48829213       0.65000000      -0.30949549       0.26441226E-01    0.0000000
  0.70000000      -0.55738404       0.70000000      -0.30970168       0.26242393E-01    0.0000000
  0.75000000      -0.61473131       0.75000000      -0.30583683       0.26325060E-01    0.0000000
  0.80000000      -0.66467075       0.80000000      -0.29585881       0.26543309E-01    0.0000000
  0.85000000      -0.70971633       0.85000000      -0.28078391       0.26098532E-01    0.0000000
  0.90000000      -0.74011218       0.90000000      -0.26030827       0.25428501E-01    0.0000000
  0.95000000      -0.75660477       0.95000000      -0.23311361       0.25360954E-01    0.0000000
  1.0000000      -0.75089366        1.0000000      -0.19974311       0.24832585E-01    0.0000000
  1.0500000      -0.72570668        1.0500000      -0.16214337       0.24755780E-01    0.0000000
  1.1000000      -0.68264178        1.1000000      -0.12260952       0.25000923E-01    0.0000000
  1.1500000      -0.61335664        1.1500000      -0.80677903E-01   0.24781598E-01    0.0000000
  1.2000000      -0.51770760        1.2000000      -0.41346717E-01   0.25386396E-01    0.0000000
  1.2500000      -0.40743522        1.2500000      -0.37809822E-02   0.24545888E-01    0.0000000
  1.3000000      -0.28649080        1.3000000       0.35341751E-01   0.25058655E-01    0.0000000
  1.3500000      -0.13937487        1.3500000       0.72813933E-01   0.25030671E-01    0.0000000
  1.4000000       0.10565556E-01    1.4000000       0.11283095       0.24661851E-01    0.0000000
  1.4500000       0.15577603        1.4500000       0.15678201       0.24748792E-01    0.0000000
  1.5000000       0.29415596        1.5000000       0.20398024       0.25076592E-01    0.0000000
  1.5500000       0.42764702        1.5500000       0.25764457       0.25252609E-01    0.0000000
  1.6000000       0.53883898        1.6000000       0.29863523       0.24948510E-01    0.0000000
  1.6500000       0.62550240        1.6500000       0.33776320       0.24930965E-01    0.0000000
  1.7000000       0.68739709        1.7000000       0.36413527       0.24225479E-01    0.0000000
  1.7500000       0.72157548        1.7500000       0.37322317       0.24276777E-01    0.0000000
  1.8000000       0.72815577        1.8000000       0.35773205       0.25034679E-01    0.0000000
  1.8500000       0.71102038        1.8500000       0.31983868       0.24070842E-01    0.0000000
  1.9000000       0.67113719        1.9000000       0.26881470       0.24630577E-01    0.0000000
  1.9500000       0.61302903        1.9500000       0.19101022       0.24561483E-01    0.0000000
  2.0000000       0.54509475        2.0000000       0.13857843       0.24407489E-01    0.0000000
  2.0500000       0.47284362        2.0500000       0.84976222E-01   0.24448499E-01    0.0000000
  2.1000000       0.39604242        2.1000000       0.29100565E-01   0.24276014E-01    0.0000000
  2.1500000       0.32173671        2.1500000      -0.24952554E-02   0.24253561E-01    0.0000000
  2.2000000       0.25447136        2.2000000      -0.22026915E-01   0.24511360E-01    0.0000000
  2.2500000       0.19528293        2.2500000      -0.40413259E-01   0.24775499E-01    0.0000000
  2.3000000       0.14079753        2.3000000      -0.51194313E-01   0.23997443E-01    0.0000000
  2.3500000       0.93614253E-01    2.3500000      -0.60185423E-01   0.23902885E-01    0.0000000
  2.4000000       0.52918813E-01    2.4000000      -0.64068723E-01   0.24566071E-01    0.0000000
  2.4500000       0.17003056E-01    2.4500000      -0.69135683E-01   0.24281902E-01    0.0000000
  2.5000000      -0.17593658E-01    2.5000000      -0.75064148E-01   0.24044681E-01    0.0000000
  2.5500000      -0.49521134E-01    2.5500000      -0.79418152E-01   0.24172612E-01    0.0000000
  2.6000000      -0.79044847E-01    2.6000000      -0.85197679E-01   0.24042202E-01    0.0000000
  2.6500000      -0.10605870        2.6500000      -0.93198912E-01   0.23806786E-01    0.0000000
  2.7000000      -0.13139513        2.7000000      -0.99342021E-01   0.23967600E-01    0.0000000
  2.7500000      -0.15210647        2.7500000      -0.10614198       0.23715746E-01    0.0000000
  2.8000000      -0.16760103        2.8000000      -0.10899277       0.23801489E-01    0.0000000
  2.8500000      -0.17752664        2.8500000      -0.11385421       0.23609353E-01    0.0000000
  2.9000000      -0.17996681        2.9000000      -0.11668069       0.23524090E-01    0.0000000
  2.9500000      -0.17674660        2.9500000      -0.11906781       0.23942424E-01    0.0000000
  3.0000000      -0.16945997        3.0000000      -0.11853480       0.22944834E-01    0.0000000
  3.0500000      -0.16034999        3.0500000      -0.11764419       0.23857538E-01    0.0000000
  3.1000000      -0.15334165        3.1000000      -0.11427387       0.23405479E-01    0.0000000
  3.1500000      -0.14533617        3.1500000      -0.10919315       0.23472184E-01    0.0000000
  3.2000000      -0.13655757        3.2000000      -0.10126963       0.23282216E-01    0.0000000
  3.2500000      -0.12694530        3.2500000      -0.91625048E-01   0.24242018E-01    0.0000000
  3.3000000      -0.11753414        3.3000000      -0.81858497E-01   0.23582762E-01    0.0000000
  3.3500000      -0.10762034        3.3500000      -0.73187156E-01   0.23693027E-01   0.89232366E-30
  3.4000000      -0.96769163E-01    3.4000000      -0.59547669E-01   0.22919309E-01   0.66986993E-01
  3.4500000      -0.84890534E-01    3.4500000      -0.48319503E-01   0.23265255E-01   0.24999894
  3.5000000      -0.72564977E-01    3.5000000      -0.37150374E-01   0.23431199E-01   0.49999817
  3.5500000      -0.58874182E-01    3.5500000      -0.24607683E-01   0.23488225E-01   0.74999788
  3.6000000      -0.43916834E-01    3.6000000      -0.12304871E-01   0.23111459E-01   0.93301117
  3.6500000      -0.28102847E-01    3.6500000       0.19757816E-02   0.23202119E-01   1.00000000
  3.7000000      -0.11930513E-01    3.7000000       0.17942736E-01   0.22700022E-01    1.0000000
  3.7500000       0.44437843E-02    3.7500000       0.29766498E-01   0.22821729E-01    1.0000000
  3.8000000       0.20447142E-01    3.8000000       0.39934461E-01   0.23006441E-01    1.0000000
  3.8500000       0.35527462E-01    3.8500000       0.49749876E-01   0.22249196E-01    1.0000000
  3.9000000       0.49269907E-01    3.9000000       0.58847540E-01   0.22587295E-01    1.0000000
  3.9500000       0.61196524E-01    3.9500000       0.67454676E-01   0.22392636E-01    1.0000000
  4.0000000       0.70951277E-01    4.0000000       0.73300702E-01   0.22833320E-01    1.0000000
  4.0500000       0.78418698E-01    4.0500000       0.78545539E-01   0.22453221E-01    1.0000000
  4.1000000       0.83574341E-01    4.1000000       0.84087470E-01   0.22315085E-01    1.0000000
  4.1500000       0.86181637E-01    4.1500000       0.86801143E-01   0.22621917E-01    1.0000000
