# data from ifeffit
#------------------------
#   k         chi         dchi         e0
  0.71652300E-01  -0.13642792E-01   0.81741248E-03    20006.008
  0.36983496       0.39885219E-02   0.69660827E-03    20006.008
  0.51853727       0.18090883E-01   0.58272912E-03    20006.008
  0.63288090       0.26463730E-01   0.52225371E-03    20006.008
  0.72983203       0.32135777E-01   0.45219862E-03    20006.008
  0.81478411       0.32912377E-01   0.37140263E-03    20006.008
  0.89193649       0.29057379E-01   0.33954658E-03    20006.008
  0.96316537       0.22650902E-01   0.57112852E-03    20006.008
  1.0292612       0.13272724E-01   0.53801313E-03    20006.008
  1.0913645      -0.22515038E-03   0.55189098E-03    20006.008
  1.1501221      -0.15833298E-01   0.44122826E-03    20006.008
  1.2007575      -0.30285005E-01   0.32456738E-03    20006.008
  1.2544067      -0.43181112E-01   0.21553563E-03    20006.008
  1.3060294      -0.56104986E-01   0.69347215E-03    20006.008
  1.7391619      -0.39962660E-01   0.61276501E-03    20006.008
  1.7765217      -0.33549939E-01   0.46160689E-03    20006.008
  1.8133636      -0.27854298E-01   0.42898886E-03    20006.008
  1.8493511      -0.24587792E-01   0.41339771E-03    20006.008
  1.8811649      -0.22041192E-01   0.38654632E-03    20006.008
  1.9160008      -0.20552525E-01   0.36036974E-03    20006.008
  1.9499840      -0.19701550E-01   0.34036111E-03    20006.008
  1.9836151      -0.20160127E-01   0.31857402E-03    20006.008
  2.0165748      -0.21005984E-01   0.28932092E-03    20006.008
  2.0491166      -0.21603412E-01   0.25442285E-03    20006.008
  2.0810424      -0.21878273E-01   0.59811819E-03    20006.008
  2.1124873      -0.24166078E-01   0.86281018E-03    20006.008
  2.1434726      -0.24139422E-01   0.81752298E-03    20006.008
  2.1741220      -0.23942921E-01   0.76291115E-03    20006.008
  2.2042441      -0.22982727E-01   0.71809755E-03    20006.008
  2.2339616      -0.21206626E-01   0.65674194E-03    20006.008
  2.2632905      -0.18669135E-01   0.59614605E-03    20006.008
  2.2923444      -0.14738231E-01   0.54275141E-03    20006.008
  2.3181047      -0.10379354E-01   0.46113874E-03    20006.008
  2.3463861      -0.45487165E-02   0.35017450E-03    20006.008
  2.3744277       0.20837118E-02   0.38135374E-03    20006.008
  2.4019546       0.63772284E-02   0.50074235E-03    20006.008
  2.4293575       0.11808613E-01   0.48554434E-03    20006.008
  2.4563640       0.17374195E-01   0.46660381E-03    20006.008
  2.4831693       0.22941474E-01   0.44955846E-03    20006.008
  2.5095091       0.28674616E-01   0.41567744E-03    20006.008
  2.5357554       0.33654175E-01   0.38923605E-03    20006.008
  2.5616456       0.39291052E-01   0.37808436E-03    20006.008
  2.5873657       0.45208608E-01   0.36101863E-03    20006.008
  2.6127472       0.51231868E-01   0.30515920E-03    20006.008
  2.6378857       0.58654365E-01   0.43019385E-03    20006.008
  2.6603169       0.63834025E-01   0.54915938E-03    20006.008
  2.6850124       0.70205914E-01   0.53305421E-03    20006.008
  2.7095679       0.76927098E-01   0.50604626E-03    20006.008
  2.7338211       0.82573033E-01   0.49205568E-03    20006.008
  2.7578623       0.87612475E-01   0.44309871E-03    20006.008
  2.7816968       0.91991324E-01   0.41241922E-03    20006.008
  2.8054110       0.95217567E-01   0.38431025E-03    20006.008
  2.8288474       0.96560304E-01   0.35015384E-03    20006.008
  2.8521719       0.95350574E-01   0.40576488E-03    20006.008
  2.8751506       0.94101969E-01   0.36632394E-03    20006.008
  2.8981049       0.89473715E-01   0.13027138E-02    20006.008
  2.9208022       0.82542074E-01   0.12450781E-02    20006.008
  2.9410888       0.74963510E-01   0.12071814E-02    20006.008
  2.9635357       0.65857418E-01   0.11557534E-02    20006.008
  2.9856630       0.55959059E-01   0.11383768E-02    20006.008
  3.0077795       0.45189570E-01   0.10815763E-02    20006.008
  3.0296608       0.34842298E-01   0.10556438E-02    20006.008
  3.0514607       0.24470272E-01   0.98309966E-03    20006.008
  3.0730331       0.14609319E-01   0.92245389E-03    20006.008
  3.0944563       0.64953960E-02   0.57609115E-03    20006.008
  3.2992484      -0.35699387E-01   0.51636662E-03    20006.008
  3.3192914      -0.36205984E-01   0.82744374E-03    20006.008
  3.3391471      -0.35984543E-01   0.80626268E-03    20006.008
  3.3589541      -0.35253822E-01   0.80489735E-03    20006.008
  3.3766281      -0.33309818E-01   0.80657182E-03    20006.008
  3.3960846      -0.32046576E-01   0.81593010E-03    20006.008
  3.4155643      -0.29723855E-01   0.82673607E-03    20006.008
  3.4348683      -0.27322369E-01   0.82244584E-03    20006.008
  3.4541313      -0.24435409E-01   0.82261898E-03    20006.008
  3.4732230      -0.20587862E-01   0.84110620E-03    20006.008
  3.4922113      -0.17153271E-01   0.73190711E-03    20006.008
  3.6751470       0.12795865E-02   0.40908776E-03    20006.008
  3.6931073       0.11904329E-02   0.93621961E-03    20006.008
  3.7110428      -0.23538032E-03   0.10038129E-02    20006.008
  3.7288320      -0.97434388E-03   0.13530586E-02    20006.008
  3.7447768      -0.26202572E-02   0.15940010E-02    20006.008
  3.7624082      -0.37921019E-02   0.14197564E-02    20006.008
  3.7799583      -0.52583321E-02   0.91110838E-03    20006.008
