# data from ifeffit
#------------------------
#   k         chi         dchi         e0
  55.608573       0.47220530E-10   0.54825891E-03    20006.008
  56.311147       0.56459757E-10   0.91312469E-03    20006.008
  57.005048       0.82692765E-10   0.15766294E-02    20006.008
  57.051002       0.86228552E-10   0.20428767E-02    20006.008
  57.096905       0.90142127E-10   0.13117590E-02    20006.008
  57.142757       0.94686922E-10   0.19371954E-02    20006.008
  57.188667       0.99949961E-10   0.30022073E-02    20006.008
  57.234412       0.10599032E-09   0.18544848E-02    20006.008
  57.280216       0.11350514E-09   0.16815877E-02    20006.008
  57.325971       0.12200631E-09   0.30260037E-02    20006.008
  57.371670       0.13250423E-09   0.36006331E-02    20006.008
  57.417316       0.14597874E-09   0.37383798E-02    20006.008
  57.463020       0.16359955E-09   0.18041118E-02    20006.008
  57.508561       0.18649033E-09   0.15072170E-02    20006.008
  57.554159       0.21937828E-09   0.23924682E-02    20006.008
  57.599593       0.26802306E-09   0.28679391E-02    20006.008
  57.645080       0.34978478E-09   0.12220474E-01    20006.008
  57.690630       0.51094592E-09   0.52778620E-02    20006.008
  57.736009       0.94837891E-09   0.13125595E-01    20006.008
  57.781338       0.68115891E-08   0.89562215E-01    20006.008
  57.826716      -0.12960050E-08  -0.19185872E-01    20006.008
  57.872048      -0.62289235E-09  -0.17830500E-01    20006.008
  57.993090      -0.12398723E-07  -0.13269945        20006.008
  57.994225       0.13544444E-07   0.23437349        20006.008
  57.995352       0.49709761E-08   0.60457368E-01    20006.008
  57.996487       0.25532969E-08   0.14385228        20006.008
  57.997618       0.16379123E-08   0.10595857        20006.008
  57.998637       0.12567926E-08   0.20674309        20006.008
  57.999772       0.88179015E-09   0.26078717E-01    20006.008
  58.000903       0.62314602E-09   0.87102111E-02    20006.008
  58.002034       0.73874158E-09   0.56538027E-01    20006.008
  58.003166       0.70708956E-09   0.12669433        20006.008
  58.004301       0.76131343E-09   0.78925352E-01    20006.008
  58.005432       0.54893996E-09   0.41196226E-01    20006.008
  58.006564       0.47148573E-09   0.27628437E-01    20006.008
  58.008831       0.36584281E-09   0.24380824E-01    20006.008
  58.009962       0.35659257E-09   0.14518101E-01    20006.008
  58.011098       0.31172595E-09   0.18450647E-01    20006.008
  58.012225       0.27520878E-09   0.22626238E-01    20006.008
  58.013361       0.22521006E-09   0.21780037E-01    20006.008
  58.014493       0.19849629E-09   0.10197235E-01    20006.008
  58.015628       0.17936682E-09   0.73971569E-02    20006.008
  58.016756       0.16442224E-09   0.56097252E-02    20006.008
  58.017892       0.14915766E-09   0.39001914E-02    20006.008
  58.019024       0.13285150E-09   0.96560991E-02    20006.008
  58.020159       0.12042917E-09   0.85955876E-02    20006.008
  58.021291       0.10727598E-09   0.50302649E-02    20006.008
  58.022419       0.10100248E-09   0.10287294E-01    20006.008
  58.024691       0.80587482E-10   0.38338714E-02    20006.008
  58.025823       0.74694803E-10   0.11250591E-01    20006.008
  58.031488       0.43099960E-10   0.49698671E-02    20006.008
  58.032620       0.37502432E-10   0.41792466E-02    20006.008
  58.033753       0.31677038E-10   0.47886580E-02    20006.008
  58.034889       0.27302516E-10   0.33176034E-02    20006.008
  58.035908       0.23224471E-10   0.34798969E-02    20006.008
  58.037045       0.19902699E-10   0.40058089E-02    20006.008
  58.038173       0.16872317E-10   0.38073849E-02    20006.008
  58.039310       0.14827574E-10   0.52857809E-02    20006.008
  58.040442       0.13132019E-10   0.37068822E-02    20006.008
  58.041579       0.11910380E-10   0.27211906E-02    20006.008
  58.042711       0.10973261E-10   0.20504360E-02    20006.008
  58.043844       0.10199459E-10   0.16713048E-02    20006.008
  58.044976       0.96061040E-11   0.24494403E-02    20006.008
  58.046113       0.90513090E-11   0.13693490E-02    20006.008
  58.047246       0.85759831E-11   0.18386451E-02    20006.008
  58.048375       0.81160023E-11   0.18419060E-02    20006.008
