#------------------------
#   k         chi         dchi         e0
  0.71652300E-01   0.17942674       0.94776072E-03    20008.000
  0.36983496      -0.49281157E-04   0.67303604E-03    20008.000
  0.51853727       0.13634088E-01   0.56297558E-03    20008.000
  0.63288090       0.21780089E-01   0.50451880E-03    20008.000
  0.72983203       0.27315821E-01   0.43681514E-03    20008.000
  0.81478411       0.28121338E-01   0.35874511E-03    20008.000
  0.89193649       0.24452956E-01   0.32795374E-03    20008.000
  0.96316537       0.18320510E-01   0.55159325E-03    20008.000
  1.0292612       0.93182911E-02   0.51957670E-03    20008.000
  1.0913645      -0.36615179E-02   0.53294396E-03    20008.000
  1.1501221      -0.18677798E-01   0.42605216E-03    20008.000
  1.2007575      -0.32581383E-01   0.31338491E-03    20008.000
  1.2544067      -0.44976304E-01   0.20809566E-03    20008.000
  1.3060294      -0.57396623E-01   0.66948884E-03    20008.000
  1.7391619      -0.41275806E-01   0.59115205E-03    20008.000
  1.7765217      -0.35038799E-01   0.44529255E-03    20008.000
  1.8133636      -0.29494503E-01   0.41379630E-03    20008.000
  1.8493511      -0.26294590E-01   0.39872731E-03    20008.000
  1.8811649      -0.23794719E-01   0.37280336E-03    20008.000
  1.9160008      -0.22310880E-01   0.34753084E-03    20008.000
  1.9499840      -0.21442968E-01   0.32820992E-03    20008.000
  1.9836151      -0.21838007E-01   0.30717680E-03    20008.000
  2.0165748      -0.22606984E-01   0.27894852E-03    20008.000
  2.0491166      -0.23136616E-01   0.24528226E-03    20008.000
  2.0810424      -0.23355805E-01   0.57658419E-03    20008.000
  2.1124873      -0.25515711E-01   0.83168037E-03    20008.000
  2.1434726      -0.25444923E-01   0.78796404E-03    20008.000
  2.1741220      -0.25210731E-01   0.73526734E-03    20008.000
  2.2042441      -0.24241195E-01   0.69202142E-03    20008.000
  2.2339616      -0.22486027E-01   0.63284215E-03    20008.000
  2.2632905      -0.19997948E-01   0.57440424E-03    20008.000
  2.2923444      -0.16168072E-01   0.52291355E-03    20008.000
  2.3181047      -0.11931211E-01   0.44425060E-03    20008.000
  2.3463861      -0.62735539E-02   0.33732196E-03    20008.000
  2.3744277       0.15516384E-03   0.36732579E-03    20008.000
  2.4019546       0.43294156E-02   0.48228203E-03    20008.000
  2.4293575       0.95986253E-02   0.46760434E-03    20008.000
  2.4563640       0.14995604E-01   0.44932512E-03    20008.000
  2.4831693       0.20392988E-01   0.43287352E-03    20008.000
  2.5095091       0.25948458E-01   0.40021538E-03    20008.000
  2.5357554       0.30777288E-01   0.37472474E-03    20008.000
  2.5616456       0.36237482E-01   0.36395688E-03    20008.000
  2.5873657       0.41966566E-01   0.34749807E-03    20008.000
  2.6127472       0.47795830E-01   0.29370458E-03    20008.000
  2.6378857       0.54970222E-01   0.41400892E-03    20008.000
  2.6603169       0.59981705E-01   0.52845602E-03    20008.000
  2.6850124       0.66142055E-01   0.51291178E-03    20008.000
  2.7095679       0.72637020E-01   0.48688010E-03    20008.000
  2.7338211       0.78095842E-01   0.47337627E-03    20008.000
  2.7578623       0.82969818E-01   0.42623876E-03    20008.000
  2.7816968       0.87207067E-01   0.39669009E-03    20008.000
  2.8054110       0.90334639E-01   0.36961883E-03    20008.000
  2.8288474       0.91649777E-01   0.33673683E-03    20008.000
  2.8521719       0.90509885E-01   0.39018037E-03    20008.000
  2.8751506       0.89332242E-01   0.35222127E-03    20008.000
  2.8981049       0.84905320E-01   0.12524435E-02    20008.000
  2.9208022       0.78264446E-01   0.11969183E-02    20008.000
  2.9410888       0.71000252E-01   0.11603877E-02    20008.000
  2.9635357       0.62271242E-01   0.11108464E-02    20008.000
  2.9856630       0.52781931E-01   0.10940400E-02    20008.000
  3.0077795       0.42457103E-01   0.10393508E-02    20008.000
  3.0296608       0.32539498E-01   0.10143321E-02    20008.000
  3.0514607       0.22599748E-01   0.94453437E-03    20008.000
  3.0730331       0.13152458E-01   0.88618067E-03    20008.000
  3.0944563       0.53848223E-02   0.55338323E-03    20008.000
  3.2992484      -0.34856067E-01   0.49551675E-03    20008.000
  3.3192914      -0.35314561E-01   0.79395081E-03    20008.000
  3.3391471      -0.35074881E-01   0.77354679E-03    20008.000
  3.3589541      -0.34346917E-01   0.77215607E-03    20008.000
  3.3766281      -0.32458313E-01   0.77368952E-03    20008.000
  3.3960846      -0.31220796E-01   0.78258434E-03    20008.000
  3.4155643      -0.28967607E-01   0.79286476E-03    20008.000
  3.4348683      -0.26639768E-01   0.78866678E-03    20008.000
  3.4541313      -0.23847169E-01   0.78874865E-03    20008.000
  3.4732230      -0.20134627E-01   0.80638862E-03    20008.000
  3.4922113      -0.16819060E-01   0.70162166E-03    20008.000
  3.6751470       0.10405134E-02   0.39173542E-03    20008.000
  3.6931073       0.97257887E-03   0.89640787E-03    20008.000
  3.7110428      -0.37525463E-03   0.96101893E-03    20008.000
  3.7288320      -0.10656451E-02   0.12952303E-02    20008.000
  3.7447768      -0.26259380E-02   0.15257203E-02    20008.000
  3.7624082      -0.37307705E-02   0.13587861E-02    20008.000
  3.7799583      -0.51173508E-02   0.87188272E-03    20008.000
  3.7974881      -0.62223366E-02   0.87101008E-03    20008.000
  3.8148785      -0.79579002E-02   0.90785770E-03    20008.000
  3.8322503      -0.10087335E-01   0.87460973E-03    20008.000
  3.8494264      -0.11111214E-01   0.36551069E-03    20008.000
  4.0162898      -0.24982805E-01   0.53938649E-03    20008.000
  4.0327477      -0.25952134E-01   0.99162234E-03    20008.000
  4.0475090      -0.25797488E-01   0.94957171E-03    20008.000
  4.0638981      -0.24857570E-01   0.95027086E-03    20008.000
  4.0801664      -0.23436079E-01   0.90379769E-03    20008.000
  4.0963709      -0.21572789E-01   0.91742738E-03    20008.000
  4.1125124      -0.19226451E-01   0.87010733E-03    20008.000
  4.1286468      -0.16413510E-01   0.85020493E-03    20008.000
  4.1446642      -0.13156501E-01   0.84707755E-03    20008.000
