#------------------------
#   k         chi         dchi         e0
  0.42818430      -0.19815923        155.29334        19999.700
  0.66727704      -0.16219022        155.17103        19999.700
  0.84093727      -0.11593677        155.04988        19999.700
  0.98442488      -0.60962105E-01    154.92987        19999.700
  1.1095085      -0.75169160E-02    154.81101        19999.700
  1.2218535       0.33135421E-01    154.69328        19999.700
  1.3247048       0.51094793E-01    154.57667        19999.700
  1.4201267       0.47694814E-01    154.46118        19999.700
  1.5095286       0.25705917E-01    154.34680        19999.700
  1.5939239      -0.10794760E-01    154.23352        19999.700
  1.6740700      -0.50503537E-01    154.12134        19999.700
  1.7505505      -0.80839217E-01    154.01024        19999.700
  1.8238267      -0.93645901E-01    153.90022        19999.700
  1.8942705      -0.85015092E-01    153.79127        19999.700
  1.9621870      -0.57391150E-01    153.68339        19999.700
  2.0278300      -0.24855053E-01    153.57656        19999.700
  2.0914137      -0.83099949E-02    153.47078        19999.700
  2.1531206      -0.10323774E-01    153.36604        19999.700
  2.2131076      -0.18695574E-01    153.26234        19999.700
  2.2715109      -0.25843523E-01    153.15967        19999.700
  2.3284499      -0.28104483E-01    153.05801        19999.700
  2.3840293      -0.23996903E-01    152.95738        19999.700
  2.4383422      -0.13996445E-01    152.85774        19999.700
  2.4914713       0.18837906E-03    152.75911        19999.700
  2.5434909       0.16557465E-01    152.66148        19999.700
  2.5944678       0.33392054E-01    152.56482        19999.700
  2.6444621       0.49374195E-01    152.46915        19999.700
  2.6935287       0.63649392E-01    152.37446        19999.700
  2.7417173       0.76125105E-01    152.28073        19999.700
  2.7890734       0.86652652E-01    152.18796        19999.700
  2.8356388       0.95660092E-01    152.09614        19999.700
  2.8814517       0.10292837        152.00527        19999.700
  2.9265476       0.10766315        151.91535        19999.700
  2.9709591       0.10897928        151.82636        19999.700
  3.0147163       0.10526826        151.73830        19999.700
  3.0578475       0.95175402E-01    151.65116        19999.700
  3.1003787       0.80606081E-01    151.56494        19999.700
  3.1423344       0.62997634E-01    151.47962        19999.700
  3.1837371       0.43876409E-01    151.39522        19999.700
  3.2246083       0.25661053E-01    151.31171        19999.700
  3.2649680       0.99376624E-02    151.22910        19999.700
  3.3048347      -0.31847515E-02    151.14737        19999.700
  3.3442263      -0.13195494E-01    151.06652        19999.700
  3.3831592      -0.19011120E-01    150.98655        19999.700
  3.4216492      -0.22390436E-01    150.90745        19999.700
  3.4597110      -0.23587716E-01    150.82922        19999.700
  3.4973585      -0.21985295E-01    150.75184        19999.700
  3.5346052      -0.18969165E-01    150.67531        19999.700
  3.5714634      -0.14922471E-01    150.59964        19999.700
  3.6079450      -0.10037889E-01    150.52480        19999.700
  3.6440615      -0.51892260E-02    150.45080        19999.700
  3.6798235      -0.54329659E-03    150.37764        19999.700
  3.7152413       0.33892074E-02    150.30529        19999.700
  3.7503246       0.66514194E-02    150.23377        19999.700
  3.7850828       0.93869792E-02    150.16307        19999.700
  3.8195246       0.10724609E-01    150.09317        19999.700
  3.8536587       0.11293360E-01    150.02408        19999.700
  3.8874930       0.11340210E-01    149.95579        19999.700
  3.9210354       0.10645515E-01    149.88829        19999.700
  3.9542933       0.98350008E-02    149.82158        19999.700
  3.9872738       0.88803373E-02    149.75566        19999.700
  4.0199838       0.84777410E-02    149.69051        19999.700
  4.0524297       0.84514030E-02    149.62614        19999.700
  4.0846179       0.94379540E-02    149.56254        19999.700
  4.1165544       0.11312012E-01    149.49971        19999.700
  4.1482450       0.13887162E-01    149.43763        19999.700
  4.1796954       0.18152913E-01    149.37631        19999.700
  4.2109109       0.22879847E-01    149.31574        19999.700
  4.2418967       0.28594325E-01    149.25591        19999.700
  4.2726578       0.34486571E-01    149.19682        19999.700
  4.3031989       0.40556435E-01    149.13847        19999.700
  4.3335249       0.46138872E-01    149.08085        19999.700
  4.3636401       0.51535531E-01    149.02396        19999.700
  4.3935489       0.55618991E-01    148.96779        19999.700
  4.4232554       0.58983442E-01    148.91234        19999.700
  4.4527638       0.60398659E-01    148.85760        19999.700
  4.4820779       0.60353376E-01    148.80357        19999.700
  4.5112015       0.58791149E-01    148.75024        19999.700
  4.5401383       0.55332899E-01    148.69761        19999.700
  4.5688919       0.51024065E-01    148.64568        19999.700
  4.5974656       0.44514736E-01    148.59444        19999.700
  4.6258628       0.37644568E-01    148.54388        19999.700
  4.6540867       0.29610465E-01    148.49400        19999.700
  4.6821406       0.21599549E-01    148.44481        19999.700
  4.7100273       0.13665093E-01    148.39628        19999.700
  4.7377499       0.60932137E-02    148.34843        19999.700
  4.7653112      -0.63161303E-03    148.30124        19999.700
  4.7927140      -0.66615209E-02    148.25471        19999.700
  4.8199610      -0.11656380E-01    148.20884        19999.700
  4.8470549      -0.15408323E-01    148.16362        19999.700
  4.8739982      -0.17848939E-01    148.11905        19999.700
  4.9007933      -0.18932077E-01    148.07512        19999.700
  4.9274427      -0.18909151E-01    148.03183        19999.700
  4.9513046      -0.17653169E-01    147.99341        19999.700
  4.9776836      -0.15610807E-01    147.95133        19999.700
  5.0039235      -0.12790527E-01    147.90988        19999.700
  5.0300266      -0.95034937E-02    147.86905        19999.700
  5.0559949      -0.57929427E-02    147.82884        19999.700
  5.0818305      -0.18365415E-02    147.78924        19999.700
  5.1075354       0.21601672E-02    147.75026        19999.700
  5.1331116       0.61853625E-02    147.71189        19999.700
  5.1585610       0.10045597E-01    147.67413        19999.700
  5.1838855       0.13794173E-01    147.63696        19999.700
  5.2090868       0.17184705E-01    147.60039        19999.700
  5.2341668       0.20279457E-01    147.56442        19999.700
  5.2591272       0.23164226E-01    147.52903        19999.700
  5.2839697       0.25821479E-01    147.49423        19999.700
  5.3086960       0.28345761E-01    147.46001        19999.700
  5.3333076       0.30664933E-01    147.42637        19999.700
  5.3578061       0.32898532E-01    147.39331        19999.700
  5.3821932       0.34918415E-01    147.36081        19999.700
  5.4064702       0.36855848E-01    147.32889        19999.700
  5.4306387       0.38352955E-01    147.29752        19999.700
  5.4547002       0.39840030E-01    147.26672        19999.700
  5.4786559       0.40728130E-01    147.23647        19999.700
  5.5025074       0.41619690E-01    147.20678        19999.700
  5.5262559       0.41708162E-01    147.17764        19999.700
  5.5499028       0.41667946E-01    147.14904        19999.700
  5.5734494       0.40769377E-01    147.12098        19999.700
  5.5968969       0.39463021E-01    147.09346        19999.700
  5.6202466       0.37457880E-01    147.06648        19999.700
  5.6434997       0.34683718E-01    147.04003        19999.700
  5.6666574       0.31548129E-01    147.01411        19999.700
  5.6897208       0.27354524E-01    146.98871        19999.700
  5.7126911       0.23145360E-01    146.96383        19999.700
  5.7355694       0.17783270E-01    146.93947        19999.700
  5.7583568       0.12426446E-01    146.91562        19999.700
  5.7810544       0.65562812E-02    146.89229        19999.700
  5.8036632       0.52689458E-03    146.86946        19999.700
  5.8261843      -0.53680262E-02    146.84714        19999.700
  5.8486187      -0.11118344E-01    146.82532        19999.700
  5.8709673      -0.16719797E-01    146.80400        19999.700
  5.8932312      -0.21699884E-01    146.78317        19999.700
  5.9154113      -0.26675341E-01    146.76283        19999.700
  5.9375085      -0.30491372E-01    146.74298        19999.700
  5.9595239      -0.34137422E-01    146.72361        19999.700
  5.9814581      -0.36893291E-01    146.70472        19999.700
  6.0033123      -0.38884053E-01    146.68631        19999.700
  6.0250871      -0.40552973E-01    146.66838        19999.700
  6.0467836      -0.40828185E-01    146.65092        19999.700
  6.0684025      -0.41101765E-01    146.63392        19999.700
  6.0899446      -0.40161208E-01    146.61739        19999.700
  6.1114108      -0.38942252E-01    146.60132        19999.700
  6.1328019      -0.37280821E-01    146.58571        19999.700
  6.1541186      -0.35012899E-01    146.57056        19999.700
  6.1753618      -0.32736621E-01    146.55586        19999.700
  6.1965321      -0.29972797E-01    146.54160        19999.700
  6.2176303      -0.27206570E-01    146.52779        19999.700
  6.2386572      -0.24465772E-01    146.51443        19999.700
  6.2596134      -0.21743067E-01    146.50150        19999.700
  6.2804998      -0.19077995E-01    146.48901        19999.700
  6.3013169      -0.16798648E-01    146.47695        19999.700
  6.3220654      -0.14516794E-01    146.46533        19999.700
  6.3427461      -0.12620539E-01    146.45413        19999.700
  6.3633595      -0.10916491E-01    146.44335        19999.700
  6.3839065      -0.93167536E-02    146.43300        19999.700
  6.4043874      -0.81888312E-02    146.42306        19999.700
  6.4248031      -0.70582583E-02    146.41354        19999.700
  6.4451542      -0.61095150E-02    146.40443        19999.700
  6.4654411      -0.52459579E-02    146.39573        19999.700
  6.4856646      -0.43592574E-02    146.38743        19999.700
  6.5058253      -0.33557469E-02    146.37954        19999.700
  6.5259237      -0.23510905E-02    146.37204        19999.700
  6.5459603      -0.10320789E-02    146.36495        19999.700
  6.5659358       0.49146438E-03    146.35824        19999.700
  6.5858507       0.20511992E-02    146.35193        19999.700
  6.6057056       0.43320127E-02    146.34600        19999.700
  6.6255010       0.66182109E-02    146.34046        19999.700
  6.6452374       0.92551425E-02    146.33530        19999.700
  6.6649154       0.12302767E-01    146.33052        19999.700
  6.6845355       0.15352797E-01    146.32612        19999.700
  6.7040981       0.18848592E-01    146.32208        19999.700
  6.7236038       0.22418473E-01    146.31842        19999.700
  6.7430531       0.26000990E-01    146.31513        19999.700
  6.7624464       0.29616630E-01    146.31220        19999.700
  6.7817843       0.33233212E-01    146.30963        19999.700
  6.8010672       0.36492288E-01    146.30741        19999.700
  6.8202956       0.39516775E-01    146.30556        19999.700
  6.8394699       0.42543695E-01    146.30405        19999.700
  6.8585907       0.44308993E-01    146.30290        19999.700
  6.8776582       0.46003589E-01    146.30209        19999.700
  6.8966731       0.47229536E-01    146.30162        19999.700
  6.9156357       0.47180705E-01    146.30150        19999.700
  6.9345464       0.47135756E-01    146.30171        19999.700
  6.9534057       0.45944731E-01    146.30226        19999.700
  6.9722139       0.43895806E-01    146.30314        19999.700
  6.9909716       0.41850664E-01    146.30435        19999.700
  7.0096791       0.38141384E-01    146.30589        19999.700
  7.0283368       0.34162180E-01    146.30775        19999.700
  7.0469450       0.29989078E-01    146.30993        19999.700
  7.0655043       0.24429573E-01    146.31243        19999.700
  7.0840150       0.18873535E-01    146.31524        19999.700
  7.1024774       0.12966817E-01    146.31837        19999.700
  7.1208919       0.64635172E-02    146.32180        19999.700
  7.1392590      -0.39457754E-04    146.32554        19999.700
  7.1575789      -0.66416728E-02    146.32959        19999.700
  7.1758520      -0.13312467E-01    146.33393        19999.700
  7.1940788      -0.19980200E-01    146.33857        19999.700
  7.2122594      -0.26118095E-01    146.34351        19999.700
  7.2303944      -0.32127150E-01    146.34874        19999.700
  7.2484840      -0.38134736E-01    146.35426        19999.700
  7.2665285      -0.42785611E-01    146.36007        19999.700
  7.2845284      -0.47430619E-01    146.36616        19999.700
  7.3024838      -0.51765352E-01    146.37253        19999.700
  7.3203953      -0.54555835E-01    146.37918        19999.700
  7.3382630      -0.57344802E-01    146.38611        19999.700
  7.3560873      -0.59477909E-01    146.39331        19999.700
  7.3738686      -0.60201126E-01    146.40077        19999.700
  7.3916070      -0.60922709E-01    146.40851        19999.700
  7.4093030      -0.60767109E-01    146.41651        19999.700
  7.4269569      -0.59542385E-01    146.42477        19999.700
  7.4445688      -0.58314401E-01    146.43329        19999.700
  7.4621392      -0.56203053E-01    146.44206        19999.700
  7.4796684      -0.53408826E-01    146.45109        19999.700
  7.4971565      -0.50614105E-01    146.46037        19999.700
  7.5146039      -0.47142203E-01    146.46989        19999.700
  7.5320110      -0.43316709E-01    146.47966        19999.700
  7.5493779      -0.39490593E-01    146.48967        19999.700
  7.5667049      -0.35350344E-01    146.49992        19999.700
  7.5839923      -0.31096616E-01    146.51041        19999.700
  7.6012405      -0.26839272E-01    146.52113        19999.700
  7.6184496      -0.22677953E-01    146.53208        19999.700
  7.6356198      -0.18539410E-01    146.54326        19999.700
  7.6527516      -0.14398733E-01    146.55467        19999.700
