# Mo -- molybdenum metal                                         Feff 8.20   
# crystal structure from www.webelements.com
# POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=42 Rmt= 1.509 Rnm= 1.565 K  shell
#   RGRID 0.0100
# Pot 1 Z=42 Rmt= 1.479 Rnm= 1.530
# Gam_ch=5.613E+00 H-L exch
# Mu=-8.700E+00 kf=2.140E+00 Vint=-2.043E+01 Rs_int= 1.694
# PATH  Rmax=10.400,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.7254
#           2       0.00000     52.67      6.00     2   3.1470
#           3       0.00000      4.34     24.00     3   4.2989
#           4       0.00000     17.80     48.00     3   4.2989
#           5       0.00000     40.00     12.00     2   4.4505
#           6       0.00000     22.80     48.00     3   4.9506
#           7       0.00000     48.19     24.00     2   5.2187
#           8       0.00000      6.16     48.00     3   5.3723
#           9       0.00000     13.90      8.00     2   5.4508
#          10       0.00000      7.02      8.00     3   5.4508
#          11       0.00000     62.32     16.00     3   5.4508
#          12       0.00000     13.37      8.00     4   5.4508
#          14       0.00000     71.65      8.00     4   5.4508
#          16       0.00000      8.73     48.00     3   5.5455
#          17       0.00000     20.40     48.00     3   5.5455
#          18       0.00000     22.66     48.00     3   5.5455
#          20       0.00000      5.13     24.00     4   5.8724
#          21       0.00000      6.14     24.00     4   5.8724
#          22       0.00000      4.36     48.00     4   5.8724
#          23       0.00000      7.35     96.00     3   6.1973
#          24       0.00000      8.69     96.00     3   6.1973
#          25       0.00000      6.35      6.00     2   6.2940
#          27       0.00000     26.61     12.00     3   6.2940
#          28       0.00000      5.02      6.00     4   6.2940
#          29       0.00000     28.39      6.00     4   6.2940
#          30       0.00000      6.10     48.00     4   6.5241
#          31       0.00000      5.72     48.00     4   6.5241
#          32       0.00000      4.81     48.00     3   6.6974
#          33       0.00000     11.04     48.00     4   6.6974
#          34       0.00000      4.91     48.00     4   6.6974
#          35       0.00000     18.66     24.00     2   6.8587
#          36       0.00000      7.29     48.00     3   7.0173
#          37       0.00000     15.82     48.00     3   7.0173
#          38       0.00000     16.04     48.00     3   7.0173
#          40       0.00000     17.00     24.00     2   7.0369
#          42       0.00000      4.72     48.00     4   7.1190
#          43       0.00000      4.09     48.00     4   7.1759
#          44       0.00000      4.32     24.00     4   7.1759
#          47       0.00000     12.33     48.00     4   7.1759
#          49       0.00000      6.78     48.00     3   7.3172
#          50       0.00000      6.97     48.00     3   7.3172
#          51       0.00000      4.17     96.00     3   7.4905
#          52       0.00000      7.57     96.00     3   7.4905
#          53       0.00000      9.69     96.00     3   7.4905
#          54       0.00000      5.30     48.00     4   7.5174
#          55       0.00000      4.37     48.00     4   7.5174
#          57       0.00000     12.12     24.00     2   7.7085
#          58       0.00000      5.50     48.00     3   7.8263
#          59       0.00000     11.39     48.00     3   7.8263
#          60       0.00000     10.77     48.00     3   7.8263
#          63       0.00000      8.61     48.00     4   7.9441
#    51/  64 paths used
#  xsedge+50, used to normalize mu           1.0652E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   20020.899     -8.700   0.000  3.87478E-01  3.91971E-01 -6.44486E-03
   20020.908     -8.691   0.050  3.90021E-01  3.93563E-01 -5.07562E-03
   20020.937     -8.662   0.100  3.92554E-01  3.95155E-01 -3.72438E-03
   20020.985     -8.615   0.150  4.00268E-01  4.00157E-01  1.58890E-04
   20021.051     -8.548   0.200  4.07855E-01  4.05158E-01  3.84198E-03
   20021.137     -8.462   0.250  4.20028E-01  4.13479E-01  9.28966E-03
   20021.242     -8.357   0.300  4.31708E-01  4.21801E-01  1.39970E-02
   20021.366     -8.234   0.350  4.46682E-01  4.33322E-01  1.87683E-02
   20021.508     -8.091   0.400  4.60372E-01  4.44844E-01  2.16919E-02
   20021.670     -7.929   0.450  4.74961E-01  4.59207E-01  2.18549E-02
   20021.851     -7.748   0.500  4.87050E-01  4.73570E-01  1.85695E-02
   20022.051     -7.548   0.550  4.96801E-01  4.90109E-01  9.14364E-03
   20022.270     -7.329   0.600  5.02890E-01  5.06648E-01 -5.09385E-03
   20022.509     -7.091   0.650  5.03799E-01  5.24443E-01 -2.77294E-02
   20022.766     -6.833   0.700  5.00980E-01  5.42239E-01 -5.49221E-02
   20023.042     -6.557   0.750  4.92445E-01  5.60330E-01 -8.94819E-02
   20023.337     -6.262   0.800  4.82239E-01  5.78420E-01 -1.25555E-01
   20023.652     -5.948   0.850  4.69278E-01  5.96044E-01 -1.63787E-01
   20023.985     -5.614   0.900  4.58721E-01  6.13668E-01 -1.98167E-01
   20024.337     -5.262   0.950  4.50742E-01  6.30374E-01 -2.27322E-01
   20024.709     -4.890   1.000  4.49335E-01  6.47079E-01 -2.47641E-01
   20025.099     -4.500   1.050  4.54922E-01  6.62677E-01 -2.57433E-01
   20025.509     -4.090   1.100  4.68553E-01  6.78275E-01 -2.57157E-01
   20025.938     -3.662   1.150  4.89513E-01  6.92738E-01 -2.46600E-01
   20026.385     -3.214   1.200  5.16133E-01  7.07201E-01 -2.29461E-01
   20026.852     -2.747   1.250  5.46490E-01  7.20585E-01 -2.06973E-01
   20027.338     -2.261   1.300  5.78441E-01  7.33969E-01 -1.83056E-01
   20027.843     -1.757   1.350  6.10405E-01  7.46326E-01 -1.58447E-01
   20028.366     -1.233   1.400  6.42343E-01  7.58682E-01 -1.34335E-01
   20028.909     -0.690   1.450  6.74539E-01  7.70062E-01 -1.09314E-01
   20029.471     -0.128   1.500  7.09356E-01  7.81442E-01 -8.17631E-02
   20030.052      0.453   1.550  7.48102E-01  7.91874E-01 -4.92415E-02
   20030.652      1.053   1.600  7.92467E-01  8.02306E-01 -1.09788E-02
   20031.272      1.672   1.650  8.41875E-01  8.11808E-01  3.33035E-02
   20031.910      2.311   1.700  8.93261E-01  8.21310E-01  7.91166E-02
   20032.567      2.968   1.750  9.42509E-01  8.29886E-01  1.23045E-01
   20033.243      3.644   1.800  9.82282E-01  8.38462E-01  1.56128E-01
   20033.939      4.339   1.850  1.00745E+00  8.46115E-01  1.74185E-01
   20034.653      5.054   1.900  1.01303E+00  8.53768E-01  1.71014E-01
   20035.386      5.787   1.950  9.98669E-01  8.60495E-01  1.47708E-01
   20036.139      6.540   2.000  9.68329E-01  8.67222E-01  1.07602E-01
   20036.910      7.311   2.050  9.28277E-01  8.72582E-01  5.90939E-02
