 name:     molybdenum                                             Feff 8.20
 formula:  Mo
 sites:    Mo1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, bcc
 POT  SCF  20  4.0092   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=42 Rmt= 1.509 Rnm= 1.565 K  shell
 Pot 1 Z=42 Rmt= 1.479 Rnm= 1.530
 Gam_ch=5.613E+00 H-L exch
 Mu=-8.794E+00 kf=2.129E+00 Vint=-2.037E+01 Rs_int= 1.704
 PATH  Rmax= 6.014,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   17      icalc       2
 -----------------------------------------------------------------------
   3  48.000   5.5459    2.8926   -8.79445 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  42 Mo       absorbing atom
    -1.5736    1.5736    4.7208  1  42 Mo    
    -1.5736    1.5736    1.5736  1  42 Mo    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -1.960  9.8402E+00  1.6966E+00 -9.7986E+00  1.020E+00  1.0277E+00  3.7853E-01
 -1.820  9.5843E+00  1.5261E+00 -1.0594E+01  1.121E+00  1.3733E+00  5.0583E-01
 -1.680  9.4338E+00  1.1198E+00 -1.0834E+01  1.167E+00  1.9035E+00  7.0114E-01
 -1.540  9.3197E+00  7.5258E-01 -1.0857E+01  1.177E+00  2.4732E+00  9.1098E-01
 -1.400  9.2240E+00  5.7358E-01 -1.1014E+01  1.175E+00  2.9639E+00  1.0917E+00
 -1.260  9.1424E+00  4.9937E-01 -1.1381E+01  1.168E+00  3.3675E+00  1.2404E+00
 -1.214  9.1182E+00  4.8958E-01 -1.1542E+01  1.166E+00  3.4842E+00  1.2834E+00
 -1.051  9.0426E+00  4.9137E-01 -1.2209E+01  1.159E+00  3.8402E+00  1.4145E+00
 -0.858  8.9706E+00  4.9823E-01 -1.3123E+01  1.152E+00  4.1697E+00  1.5359E+00
 -0.607  8.9016E+00  4.0814E-01 -1.4597E+01  1.145E+00  4.4771E+00  1.6491E+00
  0.000  8.8354E+00  1.9103E-04 -1.3740E+01  1.140E+00  4.7662E+00  1.7556E+00
  0.100  8.8337E+00  6.8391E-02 -1.4814E+01  1.139E+00  4.7735E+00  1.7583E+00
