# data from ifeffit
#------------------------
#   k         chi         chi       dchi         win
  0.0000000      -0.16480359E-01  -0.22481354       0.24703043E-02    0.0000000
  0.50000000E-01  -0.51038449E-01  -0.22478517       0.24362682E-02    0.0000000
  0.10000000      -0.85596540E-01  -0.22469989       0.24022320E-02    0.0000000
  0.15000000      -0.12015463      -0.22455720       0.23681958E-02    0.0000000
  0.20000000      -0.15471272      -0.22435619       0.23341597E-02    0.0000000
  0.25000000      -0.18927081      -0.22409561       0.23001235E-02    0.0000000
  0.30000000      -0.16437582      -0.22377375       0.22660873E-02    0.0000000
  0.35000000      -0.13828873      -0.22338842       0.22320512E-02    0.0000000
  0.40000000      -0.10921312      -0.22293686       0.21980150E-02    0.0000000
  0.45000000      -0.77182694E-01  -0.22241567       0.21639788E-02    0.0000000
  0.50000000      -0.34333725E-01  -0.22182059       0.21299426E-02    0.0000000
  0.55000000       0.50547987E-02  -0.22114638       0.20959065E-02    0.0000000
  0.60000000       0.44905234E-01  -0.22038647       0.20618703E-02    0.0000000
  0.65000000       0.85874365E-01  -0.21953262       0.20278341E-02    0.0000000
  0.70000000       0.12494506      -0.21857426       0.19937980E-02    0.0000000
  0.75000000       0.15510254      -0.21749760       0.19597618E-02    0.0000000
  0.80000000       0.19254459      -0.21628412       0.19257256E-02    0.0000000
  0.85000000       0.22027960      -0.21490808       0.18916895E-02    0.0000000
  0.90000000       0.24553546      -0.21333183       0.18755589E-02    0.0000000
  0.95000000       0.26649019      -0.21149636       0.18699591E-02    0.0000000
  1.0000000       0.28780653      -0.20929893       0.18643593E-02    0.0000000
  1.0500000       0.29843309      -0.20652641       0.18587594E-02    0.0000000
  1.1000000       0.30825153      -0.20253402       0.18531596E-02    0.0000000
  1.1500000       0.31704550       0.18517716       0.18535863E-02    0.0000000
  1.2000000       0.32457793       0.15643594       0.18683173E-02    0.0000000
  1.2500000       0.32674649       0.13167030       0.18830482E-02    0.0000000
  1.3000000       0.32371862       0.11208973       0.18977791E-02    0.0000000
  1.3500000       0.32318850       0.98398158E-01   0.19115958E-02    0.0000000
  1.4000000       0.31313491       0.90920943E-01   0.18696749E-02    0.0000000
  1.4500000       0.30328173       0.89606261E-01   0.18277540E-02    0.0000000
  1.5000000       0.28743454       0.94444277E-01   0.17858330E-02    0.0000000
  1.5500000       0.26991440       0.10438238       0.17987272E-02    0.0000000
  1.6000000       0.25244912       0.11825331       0.19242062E-02    0.0000000
  1.6500000       0.23667055       0.13471468       0.20496852E-02    0.0000000
  1.7000000       0.21851480       0.15257915       0.21325067E-02    0.0000000
  1.7500000       0.19883733       0.16963794       0.20663904E-02    0.0000000
  1.8000000       0.18607527       0.18436987       0.20002741E-02    0.0000000
  1.8500000       0.16594128       0.19547316       0.19342314E-02    0.0000000
  1.9000000       0.14528245       0.20152513       0.18683775E-02    0.0000000
  1.9500000       0.12881757       0.20173357       0.18025235E-02    0.0000000
  2.0000000       0.10824476       0.19567436       0.18218190E-02    0.0000000
  2.0500000       0.85765706E-01   0.18359009       0.19089613E-02    0.0000000
