# data from ifeffit
#------------------------
#   k         chi         chi       dchi         win
  0.0000000      -0.42344461      -0.20069425       0.24703043E-02    0.0000000
  0.50000000E-01  -0.41777671      -0.20068194       0.24362682E-02    0.0000000
  0.10000000      -0.41210881      -0.20064488       0.24022320E-02    0.0000000
  0.15000000      -0.40644091      -0.20058264       0.23681958E-02    0.0000000
  0.20000000      -0.40077301      -0.20049448       0.23341597E-02    0.0000000
  0.25000000      -0.39510512      -0.20037932       0.23001235E-02    0.0000000
  0.30000000      -0.38943722      -0.20023567       0.22660873E-02    0.0000000
  0.35000000      -0.38376932      -0.20006151       0.22320512E-02    0.0000000
  0.40000000      -0.37810142      -0.19985416       0.21980150E-02    0.0000000
  0.45000000      -0.37243352      -0.19961006       0.21639788E-02    0.0000000
  0.50000000      -0.36676562      -0.19932436       0.21299426E-02    0.0000000
  0.55000000      -0.36109772      -0.19899036       0.20959065E-02    0.0000000
  0.60000000      -0.35542983      -0.19859835       0.20618703E-02    0.0000000
  0.65000000      -0.34976193      -0.19813350       0.20278341E-02    0.0000000
  0.70000000      -0.34409403      -0.19757114       0.19937980E-02    0.0000000
  0.75000000      -0.33067081      -0.19686404       0.19597618E-02    0.0000000
  0.80000000      -0.28777639      -0.19589445       0.19257256E-02    0.0000000
  0.85000000      -0.24488196      -0.19388591       0.18916895E-02    0.0000000
  0.90000000      -0.20198754       0.18597897       0.18755589E-02    0.0000000
  0.95000000      -0.15909312       0.17817010       0.18699591E-02    0.0000000
  1.0000000      -0.11619869       0.17042721       0.18643593E-02    0.0000000
  1.0500000      -0.75135430E-01   0.16298992       0.18587594E-02    0.0000000
  1.1000000      -0.41075821E-01   0.15599105       0.18531596E-02    0.0000000
  1.1500000      -0.70162118E-02   0.14971462       0.18535863E-02    0.0000000
  1.2000000       0.27043397E-01   0.14436567       0.18683173E-02    0.0000000
  1.2500000       0.61103006E-01   0.14015879       0.18830482E-02    0.0000000
  1.3000000       0.84231564E-01   0.13716621       0.18977791E-02    0.0000000
  1.3500000       0.99630875E-01   0.13549250       0.19115958E-02    0.0000000
  1.4000000       0.11503019       0.13520663       0.18696749E-02    0.0000000
  1.4500000       0.13042950       0.13613147       0.18277540E-02    0.0000000
  1.5000000       0.14352779       0.13815013       0.17858330E-02    0.0000000
  1.5500000       0.15385918       0.14091728       0.17987272E-02    0.0000000
  1.6000000       0.16176146       0.14391758       0.19242062E-02    0.0000000
  1.6500000       0.16638834       0.14673816       0.20496852E-02    0.0000000
  1.7000000       0.16761540       0.14881433       0.21325067E-02    0.0000000
  1.7500000       0.16633854       0.14934206       0.20663904E-02    0.0000000
  1.8000000       0.16367992       0.14764286       0.20002741E-02    0.0000000
  1.8500000       0.15966025       0.14310169       0.19342314E-02    0.0000000
  1.9000000       0.15183981       0.13529685       0.18683775E-02    0.0000000
  1.9500000       0.13659577       0.12330100       0.18025235E-02    0.0000000
  2.0000000       0.11634230       0.10737511       0.18218190E-02    0.0000000
  2.0500000       0.96901880E-01   0.87026693E-01   0.19089613E-02    0.0000000
  2.1000000       0.82750726E-01   0.62871934E-01   0.19743730E-02    0.0000000
  2.1500000       0.67915394E-01   0.35120705E-01   0.19735136E-02    0.0000000
  2.2000000       0.47485576E-01   0.44377848E-02   0.19726543E-02    0.0000000
  2.2500000       0.23456450E-01  -0.28161197E-01   0.19284222E-02    0.0000000
  2.3000000      -0.20786748E-03  -0.60577814E-01   0.18714799E-02    0.0000000
  2.3500000      -0.22093744E-01  -0.91441663E-01   0.18946756E-02    0.0000000
  2.4000000      -0.45258603E-01  -0.12091285       0.20060839E-02    0.0000000
  2.4500000      -0.71594517E-01  -0.14627297       0.20544945E-02    0.0000000
  2.5000000      -0.95687207E-01  -0.16601747       0.19970076E-02    0.0000000
  2.5500000      -0.11132871      -0.17941152       0.19853373E-02    0.0000000
  2.6000000      -0.12371621      -0.18508757       0.21433281E-02    0.0000000
  2.6500000      -0.13732988      -0.18411133       0.22728050E-02    0.0000000
