#------------------------
#   k         chi       dchi
  0.0000000      -0.85095407        0.34989638E-02 
  0.50000000E-01  -0.87730561       0.33399558E-02 
  0.10000000      -0.90365715       0.31809478E-02 
  0.15000000      -0.93000869       0.30219398E-02 
  0.20000000      -0.95636023       0.28629318E-02 
  0.25000000      -0.98271177       0.27039238E-02 
  0.30000000       -1.0090633       0.25449158E-02 
  0.35000000       -1.0354149       0.23859078E-02 
  0.40000000       -1.0177209       0.23192326E-02 
  0.45000000      -0.94886365       0.23532165E-02 
  0.50000000      -0.88000642       0.23872004E-02 
  0.55000000      -0.80764798       0.23942842E-02 
  0.60000000      -0.72852551       0.23541410E-02 
  0.65000000      -0.64940304       0.23139978E-02 
  0.70000000      -0.56112271       0.23337036E-02 
  0.75000000      -0.46972174       0.23710110E-02 
  0.80000000      -0.38621864       0.24601787E-02 
  0.85000000      -0.30506460       0.24656612E-02 
  0.90000000      -0.22681576       0.23241546E-02 
  0.95000000      -0.16180106       0.23608067E-02 
  1.0000000      -0.10099466       0.24017123E-02  
  1.0500000      -0.44649565E-01   0.24330440E-02  
  1.1000000       0.46545445E-02   0.24400149E-02  
  1.1500000       0.61623335E-01   0.24569264E-02  
  1.2000000       0.10472687       0.24925508E-02  
  1.2500000       0.14167397       0.30118564E-02  
  1.3000000       0.16321403       0.39967082E-02  
  1.3500000       0.19286321       0.38678301E-02  
  1.4000000       0.21836491       0.39999895E-02  
  1.4500000       0.23354452       0.39619293E-02  
  1.5000000       0.24946080       0.27762946E-02  
  1.5500000       0.24056551       0.25409572E-02  
  1.6000000       0.23353868       0.31376637E-02  
  1.6500000       0.23578203       0.28483839E-02  
  1.7000000       0.21519587       0.26543699E-02  
  1.7500000       0.21602039       0.25461267E-02  
  1.8000000       0.19105525       0.27644769E-02  
  1.8500000       0.17022084       0.43194797E-02  
  1.9000000       0.16113050       0.26953145E-02  
  1.9500000       0.13427685       0.26134926E-02  
  2.0000000       0.12297401       0.28070906E-02  
  2.0500000       0.84611996E-01   0.28062978E-02  
  2.1000000       0.77460045E-01   0.26906194E-02  
  2.1500000       0.45586818E-01   0.27353389E-02  
  2.2000000       0.69790272E-02   0.28444246E-02  
  2.2500000      -0.13964705E-01   0.28203521E-02  
  2.3000000      -0.20161072E-01   0.26854953E-02  
  2.3500000      -0.53718094E-01   0.27743024E-02  
  2.4000000      -0.76310384E-01   0.27841111E-02  
  2.4500000      -0.97986335E-01   0.29785352E-02  
  2.5000000      -0.10168564       0.34054602E-02  
  2.5500000      -0.12931953       0.27809160E-02  
  2.6000000      -0.14639075       0.27805910E-02  
  2.6500000      -0.16102456       0.31285212E-02  
  2.7000000      -0.17326594       0.57170424E-02  
  2.7500000      -0.16639653       0.36691437E-02  
  2.8000000      -0.17337462       0.33005302E-02  
  2.8500000      -0.16746628       0.45983724E-02  
  2.9000000      -0.14891507       0.41778315E-02  
  2.9500000      -0.13233036       0.29021016E-02  
  3.0000000      -0.10796606       0.28384685E-02  
  3.0500000      -0.81370360E-01   0.27953569E-02  
  3.1000000      -0.55632965E-01   0.28178275E-02  
  3.1500000      -0.24741119E-01   0.28169827E-02  
  3.2000000       0.89347836E-02   0.27881090E-02  
  3.2500000       0.26718611E-01   0.29145349E-02  
  3.3000000       0.36420274E-01   0.29856937E-02  
  3.3500000       0.47270056E-01   0.28177419E-02  
  3.4000000       0.54349799E-01   0.32256446E-02  
  3.4500000       0.62060524E-01   0.36478502E-02  
  3.5000000       0.77435812E-01   0.31144835E-02  
  3.5500000       0.84444785E-01   0.31014536E-02  
  3.6000000       0.89358188E-01   0.31727542E-02  
  3.6500000       0.10068353       0.30556899E-02  
  3.7000000       0.10304698       0.30341499E-02  
  3.7500000       0.95105986E-01   0.30290677E-02  
  3.8000000       0.83752787E-01   0.30081443E-02  
  3.8500000       0.93703638E-01   0.27484499E-02  
  3.9000000       0.84643789E-01   0.27838333E-02  
  3.9500000       0.63800511E-01   0.29219890E-02  
  4.0000000       0.55327126E-01   0.29733682E-02  
  4.0500000       0.44326002E-01   0.29825233E-02  
  4.1000000       0.22861487E-01   0.37517580E-02  
  4.1500000       0.13595169E-01   0.34643599E-02  
  4.2000000       0.14654456E-01   0.29875692E-02  
  4.2500000       0.52291645E-02   0.28633276E-02  
  4.3000000      -0.98956506E-02   0.29897563E-02  
  4.3500000      -0.18653892E-01   0.28867589E-02  
  4.4000000      -0.16013638E-01   0.27281319E-02  
  4.4500000      -0.14166703E-01   0.27912063E-02  
  4.5000000      -0.29152016E-01   0.28342025E-02  
  4.5500000      -0.32863453E-01   0.28606315E-02  
  4.6000000      -0.20464852E-01   0.27486925E-02  
  4.6500000      -0.27828172E-01   0.27532925E-02  
  4.7000000      -0.35062416E-01   0.27770113E-02  
  4.7500000      -0.44484215E-01   0.28238983E-02  
  4.8000000      -0.54043203E-01   0.28414668E-02  
  4.8500000      -0.52800683E-01   0.28401723E-02  
  4.9000000      -0.46099295E-01   0.29012894E-02  
  4.9500000      -0.38988120E-01   0.29687798E-02  
  5.0000000      -0.43416945E-01   0.27728166E-02  
  5.0500000      -0.38119552E-01   0.27297749E-02  
  5.1000000      -0.33928330E-01   0.28185004E-02  
  5.1500000      -0.30269151E-01   0.30755736E-02  
  5.2000000      -0.21233726E-01   0.61215858E-02  
  5.2500000      -0.92218498E-02   0.28744563E-02  
  5.3000000       0.37482034E-02   0.28903628E-02  
  5.3500000      -0.78598643E-02   0.29076476E-02  
  5.4000000      -0.66765257E-02   0.29000967E-02  
  5.4500000      -0.26767065E-02   0.27866613E-02  
  5.5000000      -0.40388151E-03   0.28855012E-02  
  5.5500000       0.28522919E-02   0.28082301E-02  
  5.6000000       0.73675771E-02   0.28191029E-02  
  5.6500000       0.66227746E-02   0.28628380E-02  
  5.7000000       0.43711550E-02   0.28050884E-02  
  5.7500000       0.34492955E-02   0.27464764E-02  
  5.8000000       0.65970390E-02   0.27015339E-02  
  5.8500000       0.99714677E-02   0.27580644E-02  
  5.9000000       0.13670764E-01   0.27797549E-02  
  5.9500000       0.21089791E-01   0.49999354E-02  
  6.0000000       0.24313346E-01   0.28486006E-02  
  6.0500000       0.26659418E-01   0.28505838E-02  
  6.1000000       0.31310752E-01   0.27552426E-02  
  6.1500000       0.30279347E-01   0.28222229E-02  
  6.2000000       0.32068461E-01   0.27460941E-02  
  6.2500000       0.29132964E-01   0.28394597E-02  
  6.3000000       0.30292162E-01   0.29097346E-02  
  6.3500000       0.24332531E-01   0.27385935E-02  
  6.4000000       0.20608888E-01   0.27775218E-02  
  6.4500000       0.14567449E-01   0.27903870E-02  
  6.5000000       0.93320043E-02   0.27624407E-02  
  6.5500000       0.42820736E-02   0.38655435E-02  
  6.6000000       0.82411948E-02   0.54935170E-02  
  6.6500000       0.18273583E-02   0.28382001E-02  
  6.7000000      -0.10115147E-01   0.21068146E-02  
  6.7500000      -0.17235825E-01   0.22805393E-02  
  6.8000000      -0.21740358E-01   0.24542640E-02  
  6.8500000      -0.23929517E-01   0.26279886E-02  
  6.9000000      -0.24137033E-01   0.27835995E-02  
  6.9500000      -0.22262852E-01   0.28366565E-02  
  7.0000000      -0.19261151E-01   0.28897136E-02  
  7.0500000      -0.15652023E-01   0.29427706E-02  
  7.1000000      -0.12044705E-01   0.29799236E-02  
  7.1500000      -0.99112659E-02   0.29606596E-02  
  7.2000000      -0.80673480E-02   0.29413956E-02  
  7.2500000      -0.64803022E-02   0.29221315E-02  
  7.3000000      -0.53618535E-02   0.29655492E-02  
  7.3500000      -0.45373781E-02   0.30384311E-02  
  7.4000000      -0.35283647E-02   0.31113130E-02  
  7.4500000      -0.20764921E-02   0.31711774E-02  
  7.5000000       0.18199929E-02   0.31409224E-02  
  7.5500000       0.58620381E-02   0.31106675E-02  
  7.6000000       0.93386078E-02   0.30804125E-02  
  7.6500000       0.10598845E-01   0.30703813E-02  
  7.7000000       0.90075660E-02   0.30774636E-02  
  7.7500000       0.68956312E-02   0.30845460E-02  
  7.8000000       0.51509262E-02   0.31091859E-02  
  7.8500000       0.62223805E-02   0.31890899E-02  
  7.9000000       0.75142664E-02   0.32689938E-02  
  7.9500000       0.84424957E-02   0.33488977E-02  
  8.0000000       0.70219485E-02   0.32330770E-02  
  8.0500000       0.43073844E-02   0.30948009E-02  
  8.1000000       0.13234268E-02   0.29565248E-02  
  8.1500000      -0.12582149E-02   0.29675348E-02  
  8.2000000      -0.29415132E-02   0.31083881E-02  
  8.2500000      -0.38504346E-02   0.32492414E-02  
  8.3000000      -0.35847222E-02   0.37683215E-02  
  8.3500000      -0.15053297E-02   0.49303580E-02  
  8.4000000       0.11666541E-02   0.60923945E-02  
  8.4500000       0.38510072E-02   0.67966018E-02  
  8.5000000       0.44949094E-02   0.61913763E-02  
  8.5500000       0.44461874E-02   0.55861507E-02  
  8.6000000       0.37935588E-02   0.49809251E-02  
  8.6500000       0.26257413E-02   0.43756995E-02  
  8.7000000       0.10314523E-02   0.37704739E-02  
  8.7500000      -0.90059039E-03   0.31993809E-02  
  8.8000000      -0.36280141E-02   0.32417425E-02  
  8.8500000      -0.64965123E-02   0.32841040E-02  
  8.9000000      -0.92248802E-02   0.33264656E-02  
  8.9500000      -0.11617699E-01   0.33688272E-02  
  9.0000000      -0.13479552E-01   0.34111887E-02  
  9.0500000      -0.14609819E-01   0.34434398E-02  
  9.1000000      -0.12267883E-01   0.34332330E-02  
  9.1500000      -0.93236847E-02   0.34230262E-02  
  9.2000000      -0.60618345E-02   0.34128194E-02  
  9.2500000      -0.27669453E-02   0.34026126E-02  
  9.3000000       0.27637066E-03   0.33924059E-02  
  9.3500000       0.17207856E-02   0.34028429E-02  
  9.4000000       0.57982378E-03   0.34305758E-02  
  9.4500000      -0.88635000E-03   0.34583086E-02  
  9.5000000      -0.23860409E-02   0.34860415E-02  
  9.5500000      -0.36275542E-02   0.35137744E-02  
  9.6000000      -0.43191950E-02   0.35415073E-02  
  9.6500000      -0.17359853E-02   0.35816510E-02  
  9.7000000       0.24184801E-02   0.36229922E-02  
  9.7500000       0.67173420E-02   0.36643334E-02  
  9.8000000       0.10748805E-01   0.37056745E-02  
  9.8500000       0.14101075E-01   0.37470157E-02  
  9.9000000       0.14875936E-01   0.38155485E-02  
  9.9500000       0.12276893E-01   0.39016494E-02  
  10.000000       0.88953049E-02   0.39877502E-02  
  10.050000       0.51189308E-02   0.40738511E-02  
  10.100000       0.13355310E-02   0.41599519E-02  
  10.150000      -0.17289892E-02   0.41834200E-02  
  10.200000      -0.20100412E-02   0.40899477E-02  
  10.250000      -0.17949101E-02   0.39964755E-02  
  10.300000      -0.12534370E-02   0.39030032E-02  
  10.350000      -0.55546268E-03   0.38095309E-02  
  10.400000       0.11109626E-03   0.37056704E-02  
  10.450000      -0.55741949E-03   0.35676534E-02  
  10.500000      -0.12655135E-02   0.34296364E-02  
  10.550000      -0.18913585E-02   0.32916194E-02  
  10.600000      -0.23131270E-02   0.31536024E-02  
  10.650000      -0.22887429E-02   0.32568736E-02  
  10.700000      -0.39381030E-03   0.39306480E-02  
  10.750000       0.16506347E-02   0.46044225E-02  
  10.800000       0.35707488E-02   0.52781969E-02  
  10.850000       0.50926882E-02   0.59519714E-02  
  10.900000       0.56773319E-02   0.62404918E-02  
  10.950000       0.30022850E-02   0.57251077E-02  
  11.000000      -0.62045191E-04   0.52097236E-02  
  11.050000      -0.30845060E-02   0.46943395E-02  
  11.100000      -0.56339449E-02   0.41789554E-02  
  11.150000      -0.62209369E-02   0.39958946E-02  
  11.200000      -0.39321509E-02   0.40358662E-02  
  11.250000      -0.95420924E-03   0.40758379E-02  
  11.300000       0.23569198E-02   0.41158096E-02  
  11.350000       0.56452677E-02   0.41557812E-02  
  11.400000       0.66138307E-02   0.43274699E-02  
  11.450000       0.58035253E-02   0.45161386E-02  
  11.500000       0.43978066E-02   0.47048074E-02  
  11.550000       0.25783800E-02   0.48934762E-02  
  11.600000       0.52695077E-03   0.50821449E-02  
  11.650000      -0.15747759E-02   0.52708137E-02  
  11.700000      -0.35450946E-02   0.54594824E-02  
  11.750000      -0.38333693E-02   0.52927380E-02  
  11.800000      -0.33769522E-02   0.51257380E-02  
  11.850000      -0.26937256E-02   0.49587381E-02  
  11.900000      -0.18454136E-02   0.47917381E-02  
  11.950000      -0.89374003E-03   0.46247381E-02  
  12.000000       0.99570903E-04   0.44577381E-02  
  12.050000       0.10615815E-02   0.42901226E-02  
  12.100000       0.18772135E-02   0.41215626E-02  
  12.150000       0.25623473E-02   0.39530027E-02  
  12.200000       0.30662794E-02   0.37844428E-02  
  12.250000       0.33383068E-02   0.36158828E-02  
  12.300000       0.33277261E-02   0.34473229E-02  
  12.350000       0.29838342E-02   0.32787629E-02  
  12.400000       0.13562495E-02   0.35919122E-02  
  12.450000      -0.10421177E-02   0.39507113E-02  
  12.500000      -0.35720663E-02   0.43095104E-02  
  12.550000      -0.60787420E-02   0.46683095E-02  
  12.600000      -0.84072906E-02   0.50271087E-02  
  12.650000      -0.10402858E-01   0.53859078E-02  
  12.700000      -0.11315468E-01   0.54379909E-02  
  12.750000      -0.10677836E-01   0.53139212E-02  
  12.800000      -0.96055842E-02   0.51898516E-02  
  12.850000      -0.81977346E-02   0.50657820E-02  
  12.900000      -0.65533084E-02   0.49417124E-02  
  12.950000      -0.47713267E-02   0.48176428E-02  
  13.000000      -0.30963234E-02   0.47795215E-02  
  13.050000      -0.18511972E-02   0.48148840E-02  
  13.100000      -0.65060056E-03   0.48502466E-02  
  13.150000       0.49553757E-03   0.48856091E-02  
  13.200000       0.15772882E-02   0.49209716E-02  
