#------------------------
#   k         chi               dchi         eo
  0.0000000       0.26256406E-01    0.34989638E-02   8347.7210
  0.50000000E-01   0.25657408E-02   0.33399558E-02  8347.7210
  0.10000000      -0.21124924E-01   0.31809478E-02  8347.7210
  0.15000000      -0.44815589E-01   0.30219398E-02  8347.7210
  0.20000000      -0.68506254E-01   0.28629318E-02  8347.7210
  0.25000000      -0.92196919E-01   0.27039238E-02  8347.7210
  0.30000000      -0.72770696E-01   0.25449158E-02  8347.7210
  0.35000000      -0.52479932E-01   0.23859078E-02  8347.7210
  0.40000000      -0.22815260E-01   0.23192326E-02  8347.7210
  0.45000000       0.11935943E-01   0.23532165E-02  8347.7210
  0.50000000       0.51724138E-01   0.23872004E-02  8347.7210
  0.55000000       0.86726028E-01   0.23942842E-02  8347.7210
  0.60000000       0.12882492       0.23541410E-02  8347.7210
  0.65000000       0.17995068       0.23139978E-02  8347.7210
  0.70000000       0.22978987       0.23337036E-02  8347.7210
  0.75000000       0.28141776       0.23710110E-02  8347.7210
  0.80000000       0.32952798       0.24601787E-02  8347.7210
  0.85000000       0.37132371       0.24656612E-02  8347.7210
  0.90000000       0.41832216       0.23241546E-02  8347.7210
  0.95000000       0.44967687       0.23608067E-02  8347.7210
  1.0000000       0.47912942       0.24017123E-02  8347.7210
  1.0500000       0.50076156       0.24330440E-02  8347.7210
  1.1000000       0.50565692       0.24400149E-02  8347.7210
  1.1500000       0.51367136       0.24569264E-02  8347.7210
  1.2000000       0.50906627       0.24925508E-02  8347.7210
  1.2500000       0.49984888       0.30118564E-02  8347.7210
  1.3000000       0.49586307       0.39967082E-02  8347.7210
  1.3500000       0.48073956       0.38678301E-02  8347.7210
  1.4000000       0.46529744       0.39999895E-02  8347.7210
  1.4500000       0.45489862       0.39619293E-02  8347.7210
  1.5000000       0.43867512       0.27762946E-02  8347.7210
  1.5500000       0.40547417       0.25409572E-02  8347.7210
  1.6000000       0.37758607       0.31376637E-02  8347.7210
  1.6500000       0.35505704       0.28483839E-02  8347.7210
  1.7000000       0.32289973       0.26543699E-02  8347.7210
  1.7500000       0.28098811       0.25461267E-02  8347.7210
  1.8000000       0.24623434       0.27644769E-02  8347.7210
  1.8500000       0.21477532       0.43194797E-02  8347.7210
  1.9000000       0.19210472       0.26953145E-02  8347.7210
  1.9500000       0.16556266       0.26134926E-02  8347.7210
  2.0000000       0.13767659       0.28070906E-02  8347.7210
  2.0500000       0.11262507       0.28062978E-02  8347.7210
  2.1000000       0.83507524E-01   0.26906194E-02  8347.7210
  2.1500000       0.55545141E-01   0.27353389E-02  8347.7210
  2.2000000       0.28608511E-01   0.28444246E-02  8347.7210
  2.2500000       0.20698263E-02   0.28203521E-02  8347.7210
  2.3000000      -0.21489633E-01   0.26854953E-02  8347.7210
  2.3500000      -0.44319388E-01   0.27743024E-02  8347.7210
  2.4000000      -0.68839530E-01   0.27841111E-02  8347.7210
  2.4500000      -0.88234841E-01   0.29785352E-02  8347.7210
  2.5000000      -0.11139293       0.34054602E-02  8347.7210
