#   ee             mu              mu_err      
  7016.7500        21.522600       0.60127 
  7618.0500        14.864100       0.26742 
  8019.3600        13.408700       0.34315 
  8059.1500        13.453800       0.17494 
  8099.4200        12.754600       0.20210 
  8139.1400        12.902300       0.16399 
  8179.6000        10.773900       0.16299 
  8219.5000        11.662700       0.15247 
  8259.8000        11.089800       0.23781 
  8299.6900        12.191700       0.13820 
  8328.9200        13.085400       0.13526 
  8329.9300        13.114800       0.12871 
  8330.8800        13.635000       0.13672 
  8331.9500        13.432100       0.14198 
  8332.8400        13.645300       0.15815 
  8333.7400        14.116100       0.13160 
  8334.7500        14.518800       0.12731 
  8335.7000        14.789400       0.15555 
  8336.6500        14.755100       0.13317 
  8337.7100        14.601000       0.12660 
  8338.7200        15.368200       0.13100 
  8339.2100        15.417500       0.12969 
  8339.6300        15.779200       0.13225 
  8340.1000        16.282800       0.13530 
  8340.6400        17.241500       0.13311 
  8341.1100        17.922700       0.13336 
  8341.6500        19.427300       0.12909 
  8342.1200        20.552100       0.12335 
  8342.6000        21.924400       0.12089 
  8343.1300        23.820700       0.13217 
  8343.7300        26.066600       0.13375 
  8344.2000        28.813600       0.13655 
  8344.6800        32.425300       0.17867 
  8344.7500        32.429600       0.23458 
  8345.2300        35.351100       0.12616 
  8345.6400        39.172200       0.21570 
  8345.7000        39.177300       0.16199 
  8346.1800        42.701300       0.12745 
  8346.7100        46.962200       0.13109 
  8347.2500        51.288800       0.12394 
  8347.7200        56.625500       0.15974 
  8348.2600        61.110600       0.12545 
  8348.8000        65.940000       0.13048 
  8349.3900        70.215300       0.12409 
  8349.8800        73.797900       0.12710 
  8350.3600        76.111700       0.13423 
  8350.8300        77.889600       0.12294 
  8351.3100        78.522500       0.12563 
  8351.8500        78.933100       0.12774 
  8352.3200        78.774800       0.12755 
  8352.9200        79.079800       0.12804 
  8353.4000        78.403000       0.12993 
  8353.8100        77.446500       0.16635 
  8353.8700        77.472600       0.21534 
  8354.3500        76.811400       0.19965 
  8354.4100        76.796300       0.15363 
  8354.9600        75.800400       0.24309 
  8355.4300        75.645700       0.16756 
  8355.9100        73.896900       0.21736 
  8355.9700        74.128000       0.16014 
  8356.4500        73.045800       0.13182 
  8356.9200        71.710300       0.12717 
  8357.4000        70.409800       0.13971 
  8357.8200        69.649900       0.21407 
  8357.8800        69.696700       0.15015 
  8358.3600        68.457800       0.13234 
  8358.8300        66.869400       0.13081 
  8359.3700        66.424500       0.12446 
  8359.7900        65.060500       0.13010 
  8360.2800        64.095000       0.13810 
  8360.8200        62.972100       0.21442 
  8361.3500        62.969000       0.12393 
  8361.7700        61.513900       0.14108 
  8362.2500        60.736100       0.12518 
  8362.7300        60.446200       0.12728 
  8363.2100        59.826900       0.13977 
  8363.6800        58.637200       0.12993 
  8364.1000        57.989400       0.14670 
  8364.5800        58.014400       0.12620 
  8365.1800        56.956300       0.12578 
  8365.6100        56.250000       0.13208 
  8366.0900        55.256800       0.13507 
  8366.5600        54.505300       0.12603 
  8367.1600        53.893500       0.13226 
  8367.6400        54.238800       0.12531 
  8368.1200        53.283400       0.12335 
  8368.6000        52.558900       0.12529 
  8369.0200        51.982800       0.13000 
  8369.5000        51.566100       0.12017 
  8370.0300        51.028700       0.13811 
  8370.5100        50.857300       0.13398 
  8371.0000        49.877500       0.14003 
  8371.5400        50.264500       0.15701 
  8372.0200        49.380300       0.12559 
  8372.5600        48.674800       0.12529 
  8373.1000        48.358000       0.12236 
  8373.6400        48.273500       0.12526 
  8374.1200        47.974600       0.12814 
  8374.6600        47.447100       0.14314 
  8375.1400        47.248300       0.12422 
  8375.6200        47.178900       0.27474 
  8376.1100        47.932300       0.12912 
  8376.7100        47.302100       0.17014 
  8377.2500        47.581300       0.16316 
  8377.7300        47.157900       0.14192 
  8378.2700        47.424700       0.13448 
  8378.9300        48.032700       0.23018 
  8380.9100        49.571500       0.12633 
  8382.9600        51.867200       0.12058 
  8385.0600        54.217600       0.12160 
  8386.9900        56.836000       0.11906 
  8388.9800        57.851300       0.12896 
  8390.9600        58.722500       0.11739 
  8392.9000        59.243400       0.15887 
  8394.8300        60.338100       0.12575 
  8396.7500        60.627400       0.13528 
  8398.7500        61.433400       0.12794 
  8400.7400        61.382000       0.12727 
  8402.7400        60.657900       0.12711 
  8404.8000        61.274000       0.11170 
  8406.7900        59.934700       0.12184 
  8408.9800        59.359700       0.12495 
  8411.0300        58.583800       0.12518 
  8412.9700        57.503600       0.19667 
  8413.0400        57.518900       0.15097 
  8415.0300        57.561200       0.12552 
  8417.0300        56.957200       0.11910 
  8418.9800        56.131800       0.12886 
  8420.9800        56.061400       0.11347 
  8422.9200        56.328300       0.11680 
  8424.7500        55.575700       0.11889 
  8426.7500        55.376000       0.12023 
  8428.7600        56.035300       0.11482 
  8430.6500        55.367300       0.11589 
  8432.6600        55.150900       0.11699 
  8434.8000        54.397300       0.11987 
  8436.7400        54.308300       0.11869 
  8438.8100        54.560500       0.12014 
  8440.9500        54.972500       0.12614 
  8442.9000        54.725600       0.11660 
  8444.9900        54.965300       0.11425 
  8447.0600        55.136200       0.11816 
  8448.8900        55.267400       0.12570 
  8450.8500        55.433600       0.19056 
  8450.9200        55.860500       0.25889 
  8452.9300        55.647900       0.12021	
  8456.6700        56.173100       0.12127 
  8458.7500        56.168600       0.12220 
  8460.6600        56.305200       0.11467 
  8462.6800        56.364500       0.12113 
  8464.8200        56.450100       0.11728 
  8466.7900        56.629800       0.11551 
  8468.8800        56.576600       0.12066 
  8470.9600        56.415600       0.11539 
  8472.9400        56.308900       0.11759 
  8475.0200        56.273700       0.10965 
  8477.0600        56.485900       0.11332 
  8479.0300        56.439600       0.11415 
  8481.0000        56.657200       0.11471 
  8482.9800        56.897600       0.21029 
  8483.0400        56.786300       0.14367 
  8484.8800        56.938100       0.11644 
  8486.7900        56.935500       0.12061 
  8488.8400        57.164200       0.10961 
  8490.8100        57.010500       0.11632 
  8492.7200        57.006500       0.11496 
  8494.7700        57.004500       0.11159 
  8496.8100        56.780200       0.11552 
  8498.8500        56.795300       0.12040 
  8500.9500        56.470200       0.10942 
  8503.0700        56.262700       0.11427 
  8505.1100        55.990900       0.11062 
  8507.1500        55.644000       0.11352 
  8509.1400        55.446300       0.11117 
  8511.0600        55.172800       0.10556 
  8513.0500        55.290900       0.31932 
  8515.0400        55.156300       0.11917 
  8516.8400        54.667300       0.11249 
  8519.0800        54.203500       0.08397 
  8529.1000        53.585300       0.10957 
  8539.5900        53.533600       0.11642 
  8549.2900        53.548500       0.11246 
  8559.2700        53.435900       0.12095 
  8569.5800        53.749300       0.11529 
  8579.2900        53.198100       0.11470 
  8589.3400        52.800830       0.12296 
  8599.6600        52.364100       0.10447 
  8609.5700        51.930300       0.11897 
  8619.5000        51.691920       0.24456	
  8639.8600        51.234600       0.10951 
  8659.7600        50.707250       0.11515 
  8679.5600        50.134570       0.11063 
  8699.9100        49.754470       0.11315 
  8719.6300        49.630100       0.11769 
  8739.7100        48.885100       0.12924 
  8759.7500        48.479000       0.11243 
  8779.5600        48.220800       0.09031 
  8799.9900        48.117100       0.18600 
  8819.8400        47.879800       0.11341 
  8840.0600        47.677700       0.11686 
  8870.3700        46.969200       0.14972 
  8900.2900        47.004300       0.11669 
  8930.4600        46.804900       0.08533 
  8960.4500        46.353360       0.14060 
  8990.2900        46.163900       0.11806 
  9020.4700        46.172700       0.11969 
  9060.6700        45.852700       0.11477 
  9100.9600        45.369300       0.20165 
  9141.0200        44.151700       0.11691 
  9181.2500        43.563700       0.14552 
  9221.3100        43.447800       0.09301 
  9261.3000        42.951800       0.20844 
  9301.2100        43.268000       0.12419 
  9341.2300        42.607500       0.15485 
  9381.1600        42.750500       0.12981 
  9421.5000        42.417500       0.13440 
  9471.7900        42.825700       0.24120 
