# data from ifeffit
#------------------------
#   k         chi         chi       dchi         win
  0.0000000      -0.17199341      -0.11812221       0.34989638E-02    0.0000000
  0.50000000E-01  -0.19075042      -0.11811098       0.33399558E-02    0.0000000
  0.10000000      -0.20950742      -0.11807719       0.31809478E-02    0.0000000
  0.15000000      -0.22826443      -0.11802055       0.30219398E-02    0.0000000
  0.20000000      -0.24702143      -0.11794055       0.28629318E-02    0.0000000
  0.25000000      -0.26577844      -0.11783642       0.27039238E-02    0.0000000
  0.30000000      -0.28453544      -0.11770711       0.25449158E-02    0.0000000
  0.35000000      -0.30329245      -0.11755118       0.23859078E-02    0.0000000
  0.40000000      -0.29291359      -0.11736667       0.23192326E-02    0.0000000
  0.45000000      -0.24881631      -0.11715091       0.23532165E-02    0.0000000
  0.50000000      -0.20471902      -0.11690018       0.23872004E-02    0.0000000
  0.55000000      -0.15896328      -0.11660908       0.23942842E-02    0.0000000
  0.60000000      -0.11001450      -0.11626932       0.23541410E-02    0.0000000
  0.65000000      -0.61065721E-01  -0.11586708       0.23139978E-02    0.0000000
  0.70000000      -0.52055435E-02  -0.11537576       0.23337036E-02    0.0000000
  0.75000000       0.52996270E-01  -0.11472836       0.23710110E-02    0.0000000
  0.80000000       0.10208653      -0.11342082       0.24601787E-02    0.0000000
  0.85000000       0.14818145       0.11260396       0.24656612E-02    0.0000000
  0.90000000       0.19100701       0.11440334       0.23241546E-02    0.0000000
  0.95000000       0.22053440       0.11871573       0.23608067E-02    0.0000000
  1.0000000       0.24601545       0.12541719       0.24017123E-02    0.0000000
  1.0500000       0.26745934       0.13495135       0.24330440E-02    0.0000000
  1.1000000       0.28254340       0.14697541       0.24400149E-02    0.0000000
  1.1500000       0.30618480       0.16105585       0.24569264E-02    0.0000000
  1.2000000       0.31716821       0.17685803       0.24925508E-02    0.0000000
  1.2500000       0.31303209       0.19442701       0.30118564E-02    0.0000000
  1.3000000       0.31589663       0.21222811       0.39967082E-02    0.0000000
  1.3500000       0.31826956       0.22960785       0.38678301E-02    0.0000000
  1.4000000       0.31871843       0.24589841       0.39999895E-02    0.0000000
  1.4500000       0.30267449       0.25979185       0.39619293E-02    0.0000000
  1.5000000       0.30574526       0.27053439       0.27762946E-02    0.0000000
