E	   wm	        REL_ERR
7013.61	23.298481	2.253542
7053.82	22.787513	0.853964
7092.89	20.626254	0.248961
7094.46	21.063988	0.618682
7096.39	20.974657	0.494788
7098.43	20.839743	0.536944
7100.26	20.323968	0.445479
7102.22	19.576709	0.271003
7103.26	19.711482	0.523908
7104.20	19.229895	0.423165
7105.18	18.764507	0.288554
7106.16	19.585771	0.299163
7107.23	19.600024	0.342869
7108.21	19.619934	0.297446
7109.19	20.876988	1.177967
7110.22	19.074541	0.332471
7111.34	20.127391	0.457203
7112.32	20.689379	0.599242
7113.26	22.164108	0.374530
7114.33	22.383279	0.404204
7115.36	24.803021	0.550720
7116.39	26.960166	0.254784
7117.33	30.393322	1.032481
7118.37	35.559463	0.293511
7119.35	38.732199	0.286099
7120.34	48.851694	1.097032
7121.28	58.100806	0.311450
7122.22	72.224620	0.390718
7123.17	81.526649	0.856859
7124.24	82.663724	0.902833
7125.18	77.505375	0.425089
7126.14	77.666552	0.333149
7127.13	82.699435	0.341014
7128.16	96.254369	0.279296
7129.15	110.696550	0.328654
7130.13	127.194790	0.310756
7131.17	138.769400	0.840804
7132.20	143.346360	0.333194
7133.27	145.503690	0.626146
7134.27	144.342940	0.349991
7135.26	144.596550	0.313781
7136.30	139.303440	0.346587
7137.37	131.833580	0.420359
7138.37	123.631710	0.282493
7139.31	117.769460	0.301078
7140.30	108.287460	0.764763
7141.35	104.963430	0.434748
7142.30	102.044850	0.351896
7143.20	100.160250	1.162080
7144.24	98.421934	1.086382
7145.19	97.156271	0.331381
7146.18	97.277584	0.644376
7147.13	95.385195	0.921334
7148.08	95.333512	0.391307
7149.09	96.716715	0.549664
7150.13	94.896350	0.304870
7151.12	94.673521	0.312939
7152.07	96.889616	0.475732
7153.20	94.736601	0.565535
7154.80	94.858835	0.340646
7156.27	93.032133	0.266393
7157.84	93.199028	0.366238
7159.40	94.432268	0.512073
7160.83	94.536708	0.296931
7162.35	94.927962	0.662350
7163.87	96.766909	0.478145
7165.27	94.543802	0.361381
7166.75	95.486228	0.225656
7168.27	95.301745	0.312768
7169.66	96.967125	0.276382
7171.14	97.196996	0.489158
7172.71	98.344686	0.682879
7174.76	99.678770	0.613428
7176.90	100.192780	0.939907
7178.90	102.368620	0.346004
7181.00	102.408850	0.424708
7182.92	103.622050	0.535825
7184.93	105.574560	0.417504
7184.98	105.256350	0.737880
7186.86	105.172860	0.313187
7188.83	105.599160	0.340868
7190.76	106.844500	0.526445
7192.73	105.820980	0.390786
7194.78	106.739940	0.645139
7196.81	108.039000	0.868622
7198.91	106.223640	0.339776
7200.93	106.864640	0.363533
7203.05	105.504410	0.271685
7205.03	103.307910	0.535283
7207.00	104.721510	0.786921
7208.89	100.215010	0.339469
7210.88	101.481150	0.472678
7212.78	97.489876	0.330419
7214.80	96.781344	0.231990
7217.84	95.099590	0.283739
7221.03	93.332145	0.310045
7224.08	91.532538	0.275573
7227.09	91.511160	0.417884
7230.06	90.732800	0.401313
7232.93	90.717500	0.453521
7235.87	91.097102	0.494985
7238.88	90.595194	0.666813
7241.96	92.035924	0.308357
7245.07	94.434427	0.252271
7248.09	95.929365	0.671062
7251.08	96.044544	0.383303
7253.98	96.522287	0.327609
7256.93	97.003233	0.269950
7259.92	96.982358	0.304397
7263.00	98.040715	0.351014
7267.17	97.494191	0.250031
7271.15	97.911095	0.286468
7275.10	97.547822	0.358895
