#------------------------
#   k         chi         dchi         e0
  0.0000000       0.15618016       0.20277305E-02    7130.1300
  0.50000000E-01   0.15076186       0.19933606E-02    7130.1300
  0.10000000       0.14534356       0.19589907E-02    7130.1300
  0.15000000       0.13992525       0.19246208E-02    7130.1300
  0.20000000       0.13450695       0.18902509E-02    7130.1300
  0.25000000       0.12908865       0.18558810E-02    7130.1300
  0.30000000       0.12367035       0.18215111E-02    7130.1300
  0.35000000       0.11825205       0.17871412E-02    7130.1300
  0.40000000       0.11283374       0.17527713E-02    7130.1300
  0.45000000       0.10741544       0.17184013E-02    7130.1300
  0.50000000       0.10199714       0.16840314E-02    7130.1300
  0.55000000       0.11000689       0.16496615E-02    7130.1300
  0.60000000       0.12896994       0.16152916E-02    7130.1300
  0.65000000       0.14793300       0.15809217E-02    7130.1300
  0.70000000       0.16689605       0.15465518E-02    7130.1300
  0.75000000       0.18493711       0.15731483E-02    7130.1300
  0.80000000       0.20032784       0.16297440E-02    7130.1300
  0.85000000       0.21571858       0.16863398E-02    7130.1300
  0.90000000       0.23110931       0.17653669E-02    7130.1300
  0.95000000       0.23678338       0.19045867E-02    7130.1300
  1.0000000       0.24065402       0.20438066E-02    7130.1300
  1.0500000       0.24611681       0.20353840E-02    7130.1300
  1.1000000       0.26011116       0.17534059E-02    7130.1300
  1.1500000       0.26898712       0.14714277E-02    7130.1300
  1.2000000       0.26102463       0.15137219E-02    7130.1300
  1.2500000       0.24130703       0.15720331E-02    7130.1300
  1.3000000       0.21525752       0.27138439E-02    7130.1300
  1.3500000       0.18409849       0.39664754E-02    7130.1300
  1.4000000       0.14586991       0.32610838E-02    7130.1300
  1.4500000       0.10335003       0.23836862E-02    7130.1300
  1.5000000       0.69326370E-01   0.21046477E-02    7130.1300
  1.5500000       0.36499409E-01   0.28078646E-02    7130.1300
  1.6000000      -0.22776459E-01   0.58162275E-02    7130.1300
  1.6500000      -0.67485565E-01   0.62701861E-02    7130.1300
  1.7000000      -0.79597440E-01   0.56685648E-02    7130.1300
  1.7500000      -0.91871129E-01   0.27408175E-02    7130.1300
  1.8000000      -0.10390793       0.27696487E-02    7130.1300
  1.8500000      -0.11056044       0.40231326E-02    7130.1300
  1.9000000      -0.11540530       0.52561693E-02    7130.1300
  1.9500000      -0.11938794       0.31181929E-02    7130.1300
  2.0000000      -0.11751260       0.27565932E-02    7130.1300
  2.0500000      -0.10714436       0.28878005E-02    7130.1300
  2.1000000      -0.11660951       0.18146171E-02    7130.1300
  2.1500000      -0.11482647       0.18657266E-02    7130.1300
  2.2000000      -0.95652778E-01   0.25696307E-02    7130.1300
  2.2500000      -0.86276564E-01   0.31538625E-02    7130.1300
  2.3000000      -0.96751725E-01   0.31837600E-02    7130.1300
  2.3500000      -0.89122686E-01   0.24344299E-02    7130.1300
  2.4000000      -0.57801990E-01   0.19392113E-02    7130.1300
  2.4500000      -0.71294905E-01   0.16607639E-02    7130.1300
  2.5000000      -0.71909386E-01   0.20059179E-02    7130.1300
  2.5500000      -0.65969012E-01   0.24465590E-02    7130.1300
  2.6000000      -0.76177511E-01   0.30268345E-02    7130.1300
  2.6500000      -0.78490290E-01   0.25260514E-02    7130.1300
  2.7000000      -0.70534814E-01   0.23227710E-02    7130.1300
  2.7500000      -0.57013729E-01   0.38940690E-02    7130.1300
  2.8000000      -0.49140331E-01   0.34848773E-02    7130.1300
  2.8500000      -0.46271111E-01   0.27730682E-02    7130.1300
  2.9000000      -0.40898677E-01   0.21922597E-02    7130.1300
  2.9500000      -0.22008979E-01   0.15476680E-02    7130.1300
  3.0000000      -0.24885453E-01   0.17495649E-02    7130.1300
  3.0500000      -0.39716003E-01   0.18757746E-02    7130.1300
  3.1000000      -0.28956981E-01   0.20371021E-02    7130.1300
  3.1500000      -0.31328786E-01   0.31039868E-02    7130.1300
  3.2000000      -0.18662308E-01   0.40388032E-02    7130.1300
  3.2500000      -0.99393873E-02   0.40780001E-02    7130.1300
  3.3000000      -0.62293039E-02   0.39470985E-02    7130.1300
  3.3500000       0.45501355E-02   0.51532000E-02    7130.1300
  3.4000000       0.13973640E-01   0.48575988E-02    7130.1300
  3.4500000       0.18361951E-01   0.24388323E-02    7130.1300
  3.5000000       0.21439887E-01   0.24232835E-02    7130.1300
  3.5500000       0.37682377E-01   0.27854414E-02    7130.1300
  3.6000000       0.46753170E-01   0.32706141E-02    7130.1300
  3.6500000       0.45422454E-01   0.28607060E-02    7130.1300
  3.7000000       0.53245131E-01   0.37346683E-02    7130.1300
  3.7500000       0.95029230E-01   0.19447792E-02    7130.1300
  3.8000000       0.78892008E-01   0.20675977E-02    7130.1300
  3.8500000       0.66368990E-01   0.27308671E-02    7130.1300
  3.9000000       0.76938877E-01   0.29788397E-02    7130.1300
  3.9500000       0.85921737E-01   0.25101285E-02    7130.1300
  4.0000000       0.92128858E-01   0.36653751E-02    7130.1300
  4.0500000       0.81716720E-01   0.47347050E-02    7130.1300
  4.1000000       0.87216506E-01   0.42854310E-02    7130.1300
  4.1500000       0.10074391       0.20923990E-02    7130.1300
  4.2000000       0.10207166       0.22058359E-02    7130.1300
  4.2500000       0.85209661E-01   0.18703317E-02    7130.1300
  4.3000000       0.91604087E-01   0.23520871E-02    7130.1300
  4.3500000       0.85038392E-01   0.36771339E-02    7130.1300
  4.4000000       0.63836390E-01   0.44934498E-02    7130.1300
  4.4500000       0.56705640E-01   0.20801784E-02    7130.1300
  4.5000000       0.61049860E-01   0.27785526E-02    7130.1300
  4.5500000       0.15527848E-01   0.22165214E-02    7130.1300
  4.6000000       0.30217988E-01   0.16268288E-02    7130.1300
  4.6500000      -0.93512404E-02   0.15263555E-02    7130.1300
  4.7000000      -0.23414712E-01   0.17113142E-02    7130.1300
  4.7500000      -0.30860038E-01   0.18132192E-02    7130.1300
  4.8000000      -0.42610285E-01   0.18764448E-02    7130.1300
  4.8500000      -0.53720546E-01   0.17494569E-02    7130.1300
  4.9000000      -0.65935709E-01   0.19420390E-02    7130.1300
  4.9500000      -0.78389706E-01   0.24849306E-02    7130.1300
  5.0000000      -0.81297997E-01   0.24978290E-02    7130.1300
  5.0500000      -0.80179421E-01   0.25227501E-02    7130.1300
  5.1000000      -0.85204705E-01   0.27397354E-02    7130.1300
  5.1500000      -0.87154154E-01   0.29189255E-02    7130.1300
  5.2000000      -0.84754910E-01   0.32690161E-02    7130.1300
  5.2500000      -0.79929268E-01   0.39694343E-02    7130.1300
  5.3000000      -0.80843762E-01   0.28971812E-02    7130.1300
  5.3500000      -0.81157238E-01   0.18254187E-02    7130.1300
  5.4000000      -0.68807594E-01   0.15997562E-02    7130.1300
  5.4500000      -0.49509356E-01   0.29541380E-02    7130.1300
  5.5000000      -0.29097873E-01   0.37161089E-02    7130.1300
  5.5500000      -0.14376965E-01   0.24694423E-02    7130.1300
  5.6000000      -0.86332478E-02   0.21365027E-02    7130.1300
  5.6500000      -0.54749491E-02   0.18815496E-02    7130.1300
  5.7000000       0.10487031E-02   0.17029451E-02    7130.1300
  5.7500000       0.77989715E-02   0.18617640E-02    7130.1300
  5.8000000       0.10839883E-01   0.20638022E-02    7130.1300
  5.8500000       0.15592110E-01   0.20392831E-02    7130.1300
  5.9000000       0.27392667E-01   0.17039257E-02    7130.1300
  5.9500000       0.28701216E-01   0.16367759E-02    7130.1300
  6.0000000       0.26901290E-01   0.17700783E-02    7130.1300
  6.0500000       0.32412387E-01   0.20156334E-02    7130.1300
  6.1000000       0.36804291E-01   0.22535816E-02    7130.1300
  6.1500000       0.37033672E-01   0.22496950E-02    7130.1300
  6.2000000       0.33143078E-01   0.21520041E-02    7130.1300
  6.2500000       0.27999890E-01   0.19398295E-02    7130.1300
  6.3000000       0.28241165E-01   0.17631802E-02    7130.1300
  6.3500000       0.28356466E-01   0.16133788E-02    7130.1300
  6.4000000       0.25877308E-01   0.17374133E-02    7130.1300
  6.4500000       0.21785117E-01   0.19194104E-02    7130.1300
  6.5000000       0.17591386E-01   0.21969380E-02    7130.1300
  6.5500000       0.17006236E-01   0.22733080E-02    7130.1300
  6.6000000       0.13432958E-01   0.24717634E-02    7130.1300
  6.6500000       0.57368565E-02   0.33786839E-02    7130.1300
  6.7000000       0.33498098E-02   0.28437956E-02    7130.1300
  6.7500000       0.18179287E-02   0.19760908E-02    7130.1300
  6.8000000      -0.21523068E-02   0.39148174E-02    7130.1300
  6.8500000      -0.20002469E-02   0.40168352E-02    7130.1300
  6.9000000      -0.21899622E-02   0.22682436E-02    7130.1300
  6.9500000      -0.89567607E-02   0.26675515E-02    7130.1300
  7.0000000      -0.11597516E-01   0.38341555E-02    7130.1300
  7.0500000      -0.11978966E-01   0.57722934E-02    7130.1300
  7.1000000      -0.18018729E-01   0.49799742E-02    7130.1300
  7.1500000      -0.18193932E-01   0.36106492E-02    7130.1300
  7.2000000      -0.15918767E-01   0.19136933E-02    7130.1300
  7.2500000      -0.17600273E-01   0.20768569E-02    7130.1300
  7.3000000      -0.18969809E-01   0.27150039E-02    7130.1300
  7.3500000      -0.19166540E-01   0.34670534E-02    7130.1300
  7.4000000      -0.17643827E-01   0.21223936E-02    7130.1300
  7.4500000      -0.12249747E-01   0.15934886E-02    7130.1300
  7.5000000      -0.11428470E-01   0.16048326E-02    7130.1300
  7.5500000      -0.13669526E-01   0.20145263E-02    7130.1300
  7.6000000      -0.33953442E-02   0.30053273E-02    7130.1300
  7.6500000      -0.34491149E-02   0.33155997E-02    7130.1300
