# data from ifeffit
#------------------------
#   energy         xmu         bkg         k
  6912.1800        17.498890      -0.12590817E-10   0.36548268
  7098.4400        13.094150      -0.14040324E-10   0.59242601
  7099.1700        12.913671      -0.16321571       0.75215716
  7099.9800        12.456625      -0.60110655       0.88937556
  7100.7400        13.025529      -0.14229816E-01   0.99632568
  7101.5500        13.041346       0.20742341E-01    1.0940567
  7102.3200        12.762457      -0.23993744        1.1881632
  7103.1000        12.558974      -0.42497473        1.2701999
  7103.8700        14.060653        1.0949135        1.3482221
  7104.6800        13.290098       0.34351365        1.3521019
  7105.5300        13.878814       0.95233074        1.4293185
  7106.3000        13.359909       0.45163496        1.4920768
  7107.1100        13.278957       0.38983812        1.5556708
  7107.8800        13.508437       0.63752734        1.6232324
  7108.7300        13.593755       0.74294643        1.6842089
  7109.5500        13.718609       0.88719207        1.7475556
  7110.4000        15.928156        3.1168402        1.8043355
  7111.2200        14.691365        1.8994408        1.8572681
  7111.9500        16.880916        4.1062551        1.9107906
  7111.9900        17.096241        4.3225260        1.9668533
  7112.8100        16.359333        3.6050097        2.0207137
  7113.6200        17.025026        4.2898578        2.0712793
  7114.4800        17.473451        4.7586204        2.1194041
  7115.2900        19.561020        6.8653445        2.1700841
  7116.0200        23.308491        10.630079        2.2237334
  7116.8300        26.365048        13.705791        2.3166088
  7117.6000        30.810868        18.169820        2.3982690
  7117.6400        31.550170        58.201696        2.4793524
  7118.4300        36.166598        69.929515        2.5614482
  7119.2400        43.657714        70.018856        2.6335448
  7119.9700        52.245264        70.099067        2.7075917
  7120.7000        59.251108        70.178987        2.7801378
  7121.5100        63.871557        70.267325        2.8448604
  7122.2900        64.107479        70.352054        2.9126426
  7123.1000        65.132512        70.439692        2.9784432
  7123.8700        68.547186        70.522672        3.0389452
  7124.6000        72.950085        70.601045        3.1037561
  7125.3800        79.249722        70.684468        3.1709601
  7126.2000        85.854775        70.771815        3.2529126
  7127.0200        92.887374        70.858800        3.3379549
  7127.8300        98.476759        70.944369        3.4155199
  7128.6500        104.72916        71.030636        3.4951111
  7129.3800        110.01120        71.107131        3.5666933
  7130.2400        116.65064        71.196883        3.6411854
  7131.0600        121.38631        71.282093        3.7081848
  7131.9200        128.60027        71.371074        3.7767700
  7132.7400        132.35280        71.455550        3.8448130
  7133.5100        134.03264        71.534551        3.9113378
  7134.3400        132.63018        71.619355        3.9783961
  7135.1600        130.25665        71.702779        4.0453139
  7136.0200        125.25859        71.789892        4.1120982
  7136.7900        119.05209        71.867557        4.1756203
  7137.5700        113.38677        71.945913        4.2412792
  7138.3900        106.73143        72.027942        4.3022859
  7139.1600        103.83146        72.104648        4.3618390
  7139.9400        101.62379        72.182035        4.4182194
  7139.9800        101.03721        72.185995        4.4197012
  7140.8000        98.825048        72.266990        4.4765230
  7141.5000        96.315797        72.335854        4.5332103
  7142.2400        95.276348        72.408376        4.5900535
  7143.0600        94.430189        72.488406        4.6487374
  7143.8300        94.254359        72.563238        4.7655860
  7144.6600        92.937730        72.643558        4.8772214
  7145.4300        92.161751        72.717753        4.9842565
  7146.1700        91.910380        72.788768        5.0833765
  7146.9400        91.830975        72.862364        5.1831275
  7147.7700        90.727533        72.941352        5.2852088
  7148.5900        91.041625        73.019041        5.3858417
  7149.3800        89.544918        73.093562        5.4831957
  7150.1500        89.089518        73.165890        5.5762683
  7150.9800        88.912945        73.243514        5.6687369
  7151.8800        87.999864        73.327288        5.7599485
  7153.4900        86.904294        73.476123        5.8535427
  7154.9600        85.705447        73.610869        5.9452232
  7156.4700        85.214034        73.748146        6.0294327
  7158.0500        85.685056        73.890558        6.1126964
  7159.4800        85.054785        74.018370        6.1967434
  7160.9900        85.671753        74.152224        6.2819592
  7162.5100        86.303930        74.285818        6.3666515
  7163.9000        87.805094        74.406982        6.4506379
  7165.3900        88.487979        74.535803        6.5305375
  7166.8700        89.908636        74.662676        6.6082824
  7168.2600        91.030756        74.780854        6.6857108
  7169.7800        92.058453        74.909002        6.7641891
  7171.3900        93.952742        75.043509        6.8436811
  7173.4000        94.682129        75.209668        6.9213143
  7175.5400        96.550352        75.384427        6.9941554
  7177.5400        97.857060        75.545762        7.0669870
  7179.6400        98.853911        75.713104        7.1418266
  7181.5700        100.76975        75.865048        7.2166160
  7183.6200        100.43376        76.024506        7.2917159
  7185.5000        101.62616        76.168998        7.3617820
  7187.4600        101.79744        76.317874        7.4299538
