# data from ifeffit
#------------------------
#   energy         xmu         bkg         k
  7500.0100        1.2791059       0.86831176E-01   0.51177812E-01
  7500.0100        1.2811187       0.90403043E-01   0.35824469
  8000.0100        1.0512844       0.14916368E-01   0.51177812
  8100.0100        1.0076667       0.24800065E-02   0.62679763
  8180.0100       0.98236850       0.21268773E-02   0.72557072
  8219.9900       0.96501200      -0.27633236E-02   0.81080903
  8259.9900       0.95445340      -0.84938826E-03   0.88494710
  8300.0100       0.94259300      -0.23101662E-03   0.95744920
  8300.0100       0.94452060       0.17168513E-02    1.0235562
  8306.5100       0.94378120       0.29839704E-02    1.0868509
  8306.9900       0.94376670       0.31191408E-02    1.1432257
  8307.4900       0.94409660       0.36049475E-02    1.1991345
  8307.9900       0.94411100       0.37752542E-02    1.2535953
  8308.4900       0.94452830       0.43484609E-02    1.3057866
  8309.0000       0.94481820       0.47973857E-02    1.3530701
  8309.5000       0.94531700       0.54520924E-02    1.4475271
  8310.0000       0.94567970       0.59706991E-02    1.5361871
  8310.5100       0.94574350       0.61935239E-02    1.6981474
  8311.0100       0.94569980       0.63057306E-02    1.6981474
  8311.5100       0.94582150       0.65833373E-02    1.8459518
  8311.9900       0.94548800       0.63995077E-02    1.9814473
  8312.4900       0.94570280       0.67702144E-02    2.1094945
  8312.9900       0.94583770       0.70610211E-02    2.2302020
  8313.5000       0.94591930       0.73016459E-02    2.3452620
  8314.0000       0.94637590       0.79141526E-02    2.4544017
  8314.5100       0.94680900       0.85062775E-02    2.5594023
  8315.0100       0.94797200       0.98251841E-02    2.6587846
  8315.5100       0.94948500       0.11494091E-01    2.7560095
  8315.9900       0.95104650       0.13205261E-01    2.8499196
  8316.4900       0.95435470       0.16669368E-01    2.9394960
  8317.0000       0.95794050       0.20414193E-01    3.0277202
  8317.5000       0.96219780       0.24827399E-01    3.1134454
  8318.0000       0.96437720       0.27162706E-01    3.1956436
  8318.5100       0.96483470       0.27779231E-01    3.2773785
  8319.0100       0.96504880       0.28149238E-01    3.3555633
  8319.4900       0.96367430       0.26924408E-01    3.4334935
  8319.9900       0.96233180       0.25737815E-01    3.5085741
