# data from ifeffit
#------------------------
#   k         chi         dchi         e0
  0.51177812E-01   0.11103228       0.46416271E-03    8330.5100
  0.35824469       0.16126945       0.35243520E-03    8330.5100
  0.51177812       0.19613160       0.41356285E-03    8330.5100
  0.62679763       0.22149587       0.58155216E-03    8330.5100
  0.72557072       0.23252122       0.24530955E-03    8330.5100
  0.81080903       0.23268698       0.41297666E-03    8330.5100
  0.88494710       0.22615826       0.56779341E-03    8330.5100
  0.95744920       0.20925487       0.39802208E-03    8330.5100
  1.0235562       0.19162516       0.41986062E-03    8330.5100
  1.0868509       0.16704486       0.40062806E-03    8330.5100
  1.1432257       0.14567856       0.36987979E-03    8330.5100
  1.1991345       0.11814663       0.27810434E-03    8330.5100
  1.2535953       0.94211751E-01   0.32801721E-03    8330.5100
  1.3057866       0.63436217E-01   0.43518043E-03    8330.5100
  1.3530701       0.39540562E-01   0.57395772E-03    8330.5100
  1.4475271      -0.30292745E-02   0.46046828E-03    8330.5100
  1.5361871      -0.36237760E-01   0.33210059E-03    8330.5100
  1.6981474      -0.96701484E-01   0.37902701E-03    8330.5100
  1.6981474      -0.94656282E-01   0.40507045E-03    8330.5100
  1.8459518      -0.11804631       0.36118830E-03    8330.5100
  1.9814473      -0.13151016       0.42770632E-03    8330.5100
  2.1094945      -0.14235245       0.42299537E-03    8330.5100
  2.2302020      -0.16833712       0.40774699E-03    8330.5100
  2.3452620      -0.18911816       0.37012710E-03    8330.5100
  2.4544017      -0.21263719       0.31698180E-03    8330.5100
  2.5594023      -0.21868639       0.57142611E-03    8330.5100
  2.6587846      -0.21181761       0.35107163E-03    8330.5100
  2.7560095      -0.18956477       0.51780640E-03    8330.5100
  2.8499196      -0.15067027       0.47065031E-03    8330.5100
  2.9394960      -0.10973276       0.61001944E-03    8330.5100
  3.0277202      -0.58413482E-01   0.54005202E-03    8330.5100
  3.1134454      -0.17093816E-01   0.45458608E-03    8330.5100
  3.1956436       0.23764901E-01   0.49584542E-03    8330.5100
  3.2773785       0.50918405E-01   0.54169205E-03    8330.5100
  3.3555633       0.74404680E-01   0.58916410E-03    8330.5100
  3.4334935       0.88725886E-01   0.60844390E-03    8330.5100
  3.5085741       0.99860879E-01   0.36963516E-03    8330.5100
  3.5820813       0.10799188       0.44055013E-03    8330.5100
  3.6551851       0.11476008       0.45695669E-03    8330.5100
  3.7258010       0.12061326       0.46741536E-03    8330.5100
  3.7951031       0.12393049       0.39323660E-03    8330.5100
  3.8641790       0.12647148       0.63391798E-03    8330.5100
