# data from ifeffit
#------------------------
#   k         chi         dchi
  0.11968115E-01  -0.66459816E-01   0.41486526E-02
  1.1815922      -0.41709225E-01   0.11587163E-02
  1.6717643       0.17217643E-02   0.70279964E-03
  2.0097017      -0.40215832E-01   0.88365260E-03
  2.3149432      -0.32080018E-01   0.97884809E-03
  2.6290928       0.48668127E-01   0.91991227E-03
  2.8691793       0.63775051E-01   0.11388564E-02
  3.1164114      -0.16101957E-01   0.81421985E-03
  3.3218519      -0.60801275E-01   0.65069689E-03
  3.6990106      -0.22769031E-02   0.12740880E-02
  4.0414450       0.64790164E-01   0.74453592E-03
  4.3570490      -0.11569791E-01   0.10687650E-02
  4.6433973      -0.42917393E-01   0.65381355E-03
  4.9053485      -0.60520326E-02   0.53755826E-03
  5.1616204       0.20183099E-01   0.74868790E-03
  5.3984841       0.11999270E-01   0.66723155E-03
  5.6328279      -0.13861772E-01   0.60644214E-03
  5.8645072      -0.13615580E-01   0.82855293E-03
  6.0746694       0.10102215E-01   0.69059653E-03
  6.2844717       0.12572771E-01   0.73030003E-03
  6.5054337       0.27139277E-02   0.65506115E-03
  6.7017643      -0.54845682E-02   0.54757160E-03
  6.9042747      -0.10166261E-01   0.70374253E-03
  7.1063585      -0.64612398E-02   0.99787545E-03
  7.2872343       0.10179033E-01   0.84525310E-03
  7.5580558       0.15281049E-01   0.55146196E-03
  7.8049192      -0.42639024E-02   0.92625165E-03
  8.0492555      -0.15025164E-01   0.44921559E-03
  8.2772189      -0.85232749E-02   0.95190733E-03
  8.5084640       0.57611079E-02   0.76047585E-03
  8.7340383       0.51736557E-02   0.27932945E-02
  8.9628489      -0.24474769E-02   0.40393252E-02
  9.1821118      -0.14530122E-01   0.48986162E-02
  9.4090731      -0.96502459E-03   0.16808796E-02
  9.6226611      -0.56642325E-02   0.76523082E-03
  9.8966635       0.33031362E-02   0.14179007E-02
  10.152065       0.61497303E-02   0.45590557E-02
  12.075801      -0.23484287E-02   0.11690903E-02
  13.122001      -0.36245985E-02   0.86228614E-03
  14.077532      -0.16803178E-03   0.11788357E-02
  14.995628      -0.24831826E-03   0.76148806E-03
  15.846047      -0.18005287E-02   0.10115412E-02
  16.651679      -0.13715783E-02   0.36005752E-02
  17.454940       0.50109685E-02   0.27447958E-02
  18.892867      -0.19828819E-02   0.12169755E-02
  20.231299       0.45253005E-03   0.14482437E-02
  21.494502      -0.15651802E-02   0.23066349E-02
  22.695156      -0.20108254E-02   0.41746273E-02
  23.827273       0.86879155E-02   0.75415690E-02
  24.901309      -0.13301254E-01   0.10746612E-01
  25.923977       0.17248683E-01   0.22870032E-01
