# data from ifeffit
# first_energy =    0.0000000     
#------------------------
#   energy         xmu         bkg         k
  11036.000        92.510260        144.31873       0.11968115E-01
  12040.010        73.013070        120.52290        1.1815922
  13043.390        58.817200        102.03108        1.6717643
  14046.180        47.967490        86.887952        2.0097017
  15048.510        39.746840        74.375850        2.3149432
  16051.730        33.297930        63.631678        2.6290928
  17054.140        28.148230        54.190185        2.8691793
  18056.750        24.074700        45.824004        3.1164114
  19061.000        20.736330        38.185963        3.3218519
  20063.420        18.019210        31.177006        3.6990106
  21067.640        15.711990        24.570243        4.0414450
  22069.920        13.844680        18.411696        4.3570490
  23073.150        12.223650        12.495361        4.6433973
  24077.210        10.849700        6.8225528        4.9053485
  25077.510        9.6720300        1.3621229        5.1616204
  25226.740        9.5397100       0.59087827        5.3984841
  25326.940        9.4928800       0.11504443        5.6328279
  25375.730        9.5243200      -0.62408758E-01    5.8645072
  25426.190        9.6545800      -0.14819201        6.0746694
  25446.780        9.7596600      -0.13126759        6.2844717
  25465.920        10.004470       0.31594971E-01    6.5054337
  25475.960        10.211090       0.19522896        6.7017643
  25485.400        10.560200       0.50392183        6.9042747
  25494.850        11.105240        1.0085019        7.1063585
  25500.170        11.721650        1.6021344        7.2872343
  25505.200        12.680000        2.5389486        7.5580558
  25510.230        15.384340        5.2217528        7.8049192
  25514.970        21.819800        11.636919        8.0492555
  25519.700        33.936100        23.732967        8.2772189
  25524.440        46.408170        38.760777        8.5084640
  25529.770        55.133190        46.840629        8.7340383
  25535.110        57.490310        47.140036        8.9628489
  25539.860        55.766780        47.382874        9.1821118
  25544.900        56.400660        47.617194        9.4090731
  25550.830        60.529090        47.863260        9.6226611
  25555.870        61.470470        48.048200        9.8966635
  25561.520        57.835800        48.230217        10.152065
  25566.570        55.833990        48.371216        12.075801
  25576.680        58.931990        48.595546        13.122001
  25586.800        62.397330        48.748488        14.077532
  25596.920        58.805460        48.836743        14.995628
  25606.760        57.345770        48.867142        15.846047
  25616.310        59.171640        48.850519        16.651679
  25626.160        60.435740        48.792027        17.454940
  25635.710        59.985440        48.701234        18.892867
  25645.580        58.647120        48.578418        20.231299
  25655.750        58.554060        48.427805        21.494502
  25665.330        59.584140        48.269863        22.695156
  25675.230        59.570410        48.096671        23.827273
  25686.020        58.949160        47.903924        24.901309
  25695.920        58.424760        47.728918        25.923977
