EN	MUT	ERR
7500.01	1.264145	0.000691
7500.01	1.266144	0.000682
8000.01	1.044109	0.000388
8100.01	1.000941	0.000572
8180.01	0.975636	0.000353
8219.99	0.958429	0.000415
8259.99	0.947814	0.000270
8300.01	0.936126	0.000275
8300.01	0.938032	0.000264
8306.51	0.937510	0.000274
8306.99	0.937428	0.000324
8307.49	0.937653	0.000355
8307.99	0.937495	0.000314
8308.49	0.937696	0.000270
8309.00	0.937775	0.000293
8309.50	0.938103	0.000342
8310.00	0.938421	0.000288
8310.51	0.938646	0.000242
8311.01	0.938787	0.000254
8311.51	0.939224	0.000292
8311.99	0.939122	0.000295
8312.49	0.939599	0.000233
8312.99	0.939896	0.000271
8313.50	0.940123	0.000256
8314.00	0.940632	0.000309
8314.51	0.941108	0.000242
8315.01	0.942278	0.000295
8315.51	0.943817	0.000286
8315.99	0.945366	0.000273
8316.49	0.948663	0.000269
8317.00	0.952209	0.000239
8317.50	0.956459	0.000229
8318.00	0.958613	0.000259
8318.51	0.959090	0.000304
8319.01	0.959319	0.000294
8319.49	0.957960	0.000353
8319.99	0.956651	0.000288
8320.50	0.955958	0.000374
8321.00	0.956437	0.000306
8321.51	0.958391	0.000314
8322.01	0.961350	0.000229
8322.49	0.966110	0.000277
8322.99	0.972178	0.000295
8323.50	0.982866	0.000278
8324.00	0.996467	0.000237
8324.51	1.017505	0.000264
8325.01	1.042025	0.000346
8325.49	1.074734	0.000275
8325.99	1.110852	0.000263
8326.50	1.157051	0.000281
8327.00	1.204276	0.000316
8327.51	1.262045	0.000221
8328.01	1.317194	0.000477
8328.49	1.380747	0.000337
8328.49	1.382914	0.000243
8330.51	1.665793	0.000416
8330.99	1.725982	0.000528
8331.49	1.794055	0.000440
8332.00	1.852527	0.000410
8332.51	1.917569	0.000346
8333.01	1.964938	0.000434
8333.49	2.006711	0.000328
8334.00	2.033533	0.000383
8334.50	2.051460	0.000536
8335.01	2.055963	0.000225
8335.51	2.050630	0.000377
8335.99	2.039490	0.000516
8336.50	2.018760	0.000360
8337.00	1.997686	0.000378
8337.51	1.970490	0.000359
8337.99	1.946714	0.000330
8338.49	1.917494	0.000247
8339.00	1.891640	0.000290
8339.51	1.860014	0.000383
8339.99	1.834964	0.000503
8341.00	1.789677	0.000400
8342.01	1.753292	0.000286
8344.01	1.687703	0.000321
8344.01	1.689303	0.000343
8346.01	1.657060	0.000301
8347.99	1.634193	0.000351
8349.99	1.614266	0.000342
8351.99	1.583109	0.000325
8354.00	1.557127	0.000291
8356.00	1.530027	0.000246
8358.01	1.517235	0.000438
8359.99	1.514932	0.000266
8362.00	1.524390	0.000388
8364.01	1.546297	0.000349
8365.99	1.569697	0.000448
8368.00	1.600459	0.000393
8370.01	1.623838	0.000328
8371.99	1.646986	0.000355
8374.01	1.660322	0.000385
8375.99	1.671404	0.000416
8378.01	1.676214	0.000427
8380.00	1.679227	0.000258
8381.99	1.680519	0.000306
8384.01	1.681189	0.000316
8386.00	1.681665	0.000322
8387.99	1.680765	0.000270
8390.01	1.679655	0.000434
8392.00	1.676856	0.000346
8394.00	1.673510	0.000283
8395.99	1.667512	0.000263
8397.99	1.661799	0.000331
8399.99	1.654397	0.000345
8401.98	1.647869	0.000338
8404.01	1.638657	0.000273
8406.01	1.631394	0.000273
8407.99	1.621626	0.000307
8409.99	1.614117	0.000254
8411.99	1.605784	0.000377
8413.99	1.599666	0.000361
8416.00	1.594993	0.000343
8418.01	1.591823	0.000305
8420.01	1.589688	0.000199
8421.99	1.589762	0.000400
8424.00	1.591214	0.000390
8426.01	1.592894	0.000308
8427.99	1.595250	0.000289
8430.00	1.597255	0.000255
8432.01	1.599317	0.000232
8434.00	1.600997	0.000394
8436.01	1.602322	0.000222
8438.00	1.603067	0.000225
8440.02	1.603769	0.000321
8442.00	1.604490	0.000310
8443.99	1.604788	0.000390
8446.01	1.604943	0.000331
8448.00	1.604884	0.000342
8449.99	1.605177	0.000179
8452.01	1.605662	0.000276
8454.01	1.606060	0.000287
8456.00	1.606429	0.000369
8458.00	1.607096	0.000273
8459.99	1.607437	0.000368
8461.99	1.607782	0.000257
8463.99	1.607952	0.000303
8465.99	1.607977	0.000366
8467.99	1.607696	0.000240
8469.99	1.606827	0.000325
8471.99	1.605570	0.000202
8473.99	1.604211	0.000428
8476.00	1.601860	0.000204
8478.00	1.600074	0.000378
8480.01	1.597136	0.000312
8482.01	1.594786	0.000378
8483.99	1.591966	0.000283
8486.00	1.589722	0.000283
8488.01	1.587121	0.000422
8489.99	1.584697	0.000365
8492.00	1.582077	0.000322
8494.01	1.580412	0.000307
8495.99	1.578217	0.000406
8498.01	1.576215	0.000339
8499.99	1.571145	0.000391
8509.99	1.563149	0.000257
8520.01	1.555873	0.000326
8530.00	1.552594	0.000318
8540.01	1.548729	0.000424
8550.01	1.546173	0.000234
8560.00	1.540779	0.000221
8569.99	1.535625	0.000420
8580.00	1.527889	0.000314
8590.01	1.522927	0.000271
8600.00	1.513671	0.000355
8600.00	1.515925	0.000311
8609.99	1.508439	0.000251
8620.00	1.500817	0.000270
8630.00	1.495394	0.000285
8640.00	1.488483	0.000260
8649.99	1.484197	0.000290
8660.00	1.478112	0.000318
8670.00	1.473626	0.000273
8679.99	1.468136	0.000253
8690.01	1.463991	0.000238
8699.98	1.457553	0.000379
8709.98	1.452827	0.000329
8720.01	1.446245	0.000248
8729.99	1.441612	0.000209
8739.99	1.434928	0.000274
8749.99	1.430319	0.000385
8760.01	1.424350	0.000306
8769.98	1.420091	0.000244
8779.98	1.414447	0.000284
8790.01	1.409078	0.000204
