en	mut	err
7500.01	1.26596	0.00068
7500.01	1.26409	0.00074
8000.01	1.04209	0.00045
8100.01	1.00004	0.00037
8180.01	0.97355	0.00033
8219.99	0.95687	0.00033
8259.99	0.94581	0.00047
8300.01	0.93799	0.00029
8300.01	0.93567	0.00028
8306.51	0.93515	0.00035
8306.99	0.93532	0.00032
8307.49	0.93547	0.00032
8307.99	0.93527	0.00026
8308.49	0.93562	0.00030
8309.00	0.93544	0.00027
8309.50	0.93584	0.00029
8310.00	0.93600	0.00022
8310.51	0.93642	0.00036
8311.01	0.93631	0.00031
8311.51	0.93663	0.00033
8311.99	0.93697	0.00026
8312.49	0.93726	0.00031
8312.99	0.93744	0.00031
8313.50	0.93786	0.00031
8314.00	0.93836	0.00027
8314.51	0.93893	0.00028
8315.01	0.93976	0.00020
8315.51	0.94126	0.00028
8315.99	0.94307	0.00033
8316.49	0.94617	0.00028
8317.00	0.94996	0.00028
8317.50	0.95397	0.00041
8318.00	0.95604	0.00025
8318.51	0.95705	0.00028
8319.01	0.95676	0.00027
8319.49	0.95566	0.00026
8319.99	0.95438	0.00028
8320.50	0.95358	0.00026
8321.00	0.95415	0.00025
8321.51	0.95606	0.00036
8322.01	0.95900	0.00029
8322.49	0.96360	0.00027
8322.99	0.96951	0.00032
8323.50	0.98024	0.00024
8324.00	0.99381	0.00020
8324.51	1.01488	0.00024
8325.01	1.03909	0.00032
8325.49	1.07155	0.00028
8325.99	1.10797	0.00041
8326.50	1.15413	0.00035
8327.00	1.20119	0.00035
8327.51	1.25904	0.00039
8328.01	1.31408	0.00038
8328.49	1.37745	0.00037
8330.51	1.66169	0.00042
8330.99	1.72191	0.00042
8331.49	1.79025	0.00047
8332.00	1.84864	0.00063
8332.51	1.91367	0.00047
8333.01	1.96106	0.00037
8333.49	2.00306	0.00038
8334.00	2.03000	0.00034
8334.50	2.04767	0.00046
8335.01	2.05277	0.00040
8335.51	2.04766	0.00034
8335.99	2.03641	0.00038
8336.50	2.01608	0.00045
8337.00	1.99490	0.00041
8337.51	1.96784	0.00044
8337.99	1.94439	0.00058
8338.49	1.91473	0.00031
8339.00	1.88919	0.00036
8339.51	1.85757	0.00028
8339.99	1.83252	0.00030
8341.00	1.78768	0.00037
8342.01	1.75085	0.00031
8344.01	1.69008	0.00038
8344.01	1.68721	0.00034
8346.01	1.65470	0.00036
8347.99	1.63224	0.00027
8349.99	1.61164	0.00034
8351.99	1.58096	0.00032
8354.00	1.55469	0.00030
8356.00	1.52791	0.00024
8358.01	1.51474	0.00046
8359.99	1.51225	0.00039
8362.00	1.52145	0.00036
8364.01	1.54340	0.00026
8365.99	1.56683	0.00029
8368.00	1.59733	0.00041
8370.01	1.62070	0.00024
8371.99	1.64408	0.00038
8374.01	1.65784	0.00036
8375.99	1.66871	0.00040
8378.01	1.67363	0.00035
8380.00	1.67650	0.00043
8381.99	1.67782	0.00030
8384.01	1.67868	0.00025
8386.00	1.67884	0.00035
8387.99	1.67822	0.00028
8390.01	1.67697	0.00040
8392.00	1.67416	0.00031
8394.00	1.67070	0.00030
8395.99	1.66489	0.00037
8397.99	1.65924	0.00026
8399.99	1.65190	0.00031
8401.98	1.64519	0.00031
8404.01	1.63615	0.00034
8406.01	1.62885	0.00034
8407.99	1.61950	0.00025
8409.99	1.61173	0.00032
8411.99	1.60311	0.00035
8413.99	1.59722	0.00033
8416.00	1.59247	0.00026
8418.01	1.58934	0.00034
8420.01	1.58723	0.00037
8421.99	1.58733	0.00023
8424.00	1.58857	0.00028
8426.01	1.59035	0.00027
8427.99	1.59259	0.00034
8430.00	1.59452	0.00033
8432.01	1.59682	0.00027
8434.00	1.59826	0.00033
8436.01	1.59972	0.00030
8438.00	1.60049	0.00038
8440.02	1.60125	0.00029
8442.00	1.60170	0.00042
8443.99	1.60189	0.00024
8446.01	1.60225	0.00032
8448.00	1.60260	0.00022
8449.99	1.60279	0.00030
8452.01	1.60303	0.00025
8454.01	1.60332	0.00030
8456.00	1.60384	0.00030
8458.00	1.60449	0.00043
8459.99	1.60487	0.00033
8461.99	1.60522	0.00042
8463.99	1.60546	0.00034
8465.99	1.60533	0.00028
8467.99	1.60508	0.00028
8469.99	1.60439	0.00038
8471.99	1.60286	0.00031
8473.99	1.60187	0.00023
8476.00	1.59934	0.00029
8478.00	1.59744	0.00030
8480.01	1.59470	0.00029
8482.01	1.59229	0.00036
8483.99	1.58934	0.00026
8486.00	1.58726	0.00035
8488.01	1.58448	0.00030
8489.99	1.58227	0.00042
8492.00	1.57968	0.00041
8494.01	1.57767	0.00037
8495.99	1.57544	0.00028
8498.01	1.57377	0.00038
8499.99	1.56914	0.00023
8509.99	1.56081	0.00032
8520.01	1.55358	0.00033
8530.00	1.55011	0.00038
8540.01	1.54627	0.00024
8550.01	1.54360	0.00043
8560.00	1.53856	0.00036
8569.99	1.53316	0.00031
8580.00	1.52540	0.00038
8590.01	1.52003	0.00023
8600.00	1.51617	0.00035
8600.00	1.51310	0.00038
8609.99	1.50562	0.00036
8620.00	1.49832	0.00036
8630.00	1.49289	0.00026
8640.00	1.48601	0.00028
8649.99	1.48153	0.00027
8660.00	1.47584	0.00029
8670.00	1.47135	0.00028
8679.99	1.46586	0.00037
8690.01	1.46143	0.00032
8699.98	1.45539	0.00037
8709.98	1.45046	0.00025
8720.01	1.44429	0.00034
8729.99	1.43897	0.00029
8739.99	1.43250	0.00027
8749.99	1.42783	0.00023
8760.01	1.42173	0.00027
8769.98	1.41758	0.00033
8779.98	1.41180	0.00039
8790.01	1.41147	0.00031
8790.01	1.40876	0.00031
8799.99	1.40231	0.00037
8809.99	1.39836	0.00023
8819.98	1.39298	0.00032
8830.00	1.38866	0.00031
8840.01	1.38309	0.00034
8850.00	1.37916	0.00026
8859.99	1.37354	0.00024
8870.00	1.36941	0.00035
8880.00	1.36394	0.00026
8890.02	1.35989	0.00030
8899.99	1.35424	0.00044
8909.99	1.35020	0.00032
8920.01	1.34498	0.00026
8929.99	1.34117	0.00021
8939.99	1.33571	0.00037
8950.01	1.33211	0.00031
8959.99	1.32723	0.00031
8969.99	1.32309	0.00045
8980.01	1.31906	0.00023
8989.99	1.31581	0.00034
8999.99	1.30945	0.00028
9020.02	1.30261	0.00033
9040.00	1.29231	0.00040
9060.00	1.28567	0.00024
9079.99	1.27557	0.00028
9099.99	1.26900	0.00025
9120.02	1.25931	0.00032
9139.99	1.25275	0.00035
9160.01	1.24358	0.00023
9180.02	1.23701	0.00041
9200.00	1.22806	0.00029
9220.00	1.22192	0.00030
9239.98	1.21335	0.00029
9260.02	1.20711	0.00036
9279.99	1.19857	0.00027
9300.01	1.19196	0.00044
9500.01	1.12037	0.00039
9700.00	1.05725	0.00040
9900.01	0.99485	0.00078
